[1425, 1088]
[section-title, [243.0, 150.0, 107.0, 30.0], k-T0830oMi, 5759319]
[paragraph, [139.0, 230.0, 846.0, 18.0], shoonya_1s99JU94JJSFE1, 5759319]
[paragraph, [139.0, 248.0, 846.0, 18.0], shoonya_1s99JU94JJSFE1, 5759319]
[paragraph, [139.0, 266.0, 846.0, 18.0], shoonya_1s99JU94JJSFE1, 5759319]
[paragraph, [139.0, 284.0, 846.0, 18.0], shoonya_1s99JU94JJSFE1, 5759319]
[paragraph, [139.0, 302.0, 846.0, 18.0], shoonya_1s99JU94JJSFE1, 5759319]
[paragraph, [139.0, 320.0, 846.0, 18.0], shoonya_1s99JU94JJSFE1, 5759319]
[paragraph, [139.0, 338.0, 846.0, 18.0], shoonya_1s99JU94JJSFE1, 5759319]
[paragraph, [139.0, 356.0, 846.0, 18.0], shoonya_1s99JU94JJSFE1, 5759319]
[paragraph, [137.0, 402.0, 848.0, 18.0], QffoAYleeQ, 5759319]
[paragraph, [137.0, 420.0, 848.0, 18.0], QffoAYleeQ, 5759319]
[paragraph, [137.0, 438.0, 848.0, 18.0], QffoAYleeQ, 5759319]
[paragraph, [137.0, 456.0, 848.0, 18.0], QffoAYleeQ, 5759319]
[paragraph, [137.0, 474.0, 848.0, 18.0], QffoAYleeQ, 5759319]
[paragraph, [137.0, 492.0, 848.0, 18.0], QffoAYleeQ, 5759319]
[paragraph, [156.0, 541.0, 813.0, 18.0], x7ZzIHPjTK, 5759319]
[paragraph, [156.0, 559.0, 813.0, 18.0], x7ZzIHPjTK, 5759319]
[paragraph, [156.0, 577.0, 813.0, 18.0], x7ZzIHPjTK, 5759319]
[section-title, [140.0, 637.0, 620.0, 30.0], q6ah2iyiX7, 5759319]
[paragraph, [144.0, 679.0, 837.0, 18.0], N5nC24uttj, 5759319]
[paragraph, [144.0, 697.0, 837.0, 18.0], N5nC24uttj, 5759319]
[paragraph, [144.0, 715.0, 837.0, 18.0], N5nC24uttj, 5759319]
[unordered-list, [137.0, 800.0, 847.0, 18.0], shoonya_2sRQ9LFTWGQ191, 5759319]
[unordered-list, [137.0, 818.0, 847.0, 18.0], shoonya_2sRQ9LFTWGQ191, 5759319]
[unordered-list, [137.0, 836.0, 847.0, 18.0], shoonya_2sRQ9LFTWGQ191, 5759319]
[unordered-list, [137.0, 854.0, 847.0, 18.0], shoonya_2sRQ9LFTWGQ191, 5759319]
[unordered-list, [137.0, 872.0, 847.0, 18.0], shoonya_2sRQ9LFTWGQ191, 5759319]
[unordered-list, [137.0, 890.0, 847.0, 18.0], shoonya_2sRQ9LFTWGQ191, 5759319]
[unordered-list, [137.0, 908.0, 847.0, 18.0], shoonya_2sRQ9LFTWGQ191, 5759319]
[unordered-list, [137.0, 926.0, 847.0, 18.0], shoonya_2sRQ9LFTWGQ191, 5759319]
[unordered-list, [137.0, 944.0, 847.0, 18.0], shoonya_2sRQ9LFTWGQ191, 5759319]
[unordered-list, [137.0, 962.0, 847.0, 18.0], shoonya_2sRQ9LFTWGQ191, 5759319]
[unordered-list, [137.0, 980.0, 847.0, 18.0], shoonya_2sRQ9LFTWGQ191, 5759319]
[unordered-list, [137.0, 998.0, 847.0, 18.0], shoonya_2sRQ9LFTWGQ191, 5759319]
[unordered-list, [137.0, 1016.0, 847.0, 18.0], shoonya_2sRQ9LFTWGQ191, 5759319]
[unordered-list, [137.0, 1034.0, 847.0, 18.0], shoonya_2sRQ9LFTWGQ191, 5759319]
[unordered-list, [137.0, 1052.0, 847.0, 18.0], shoonya_2sRQ9LFTWGQ191, 5759319]
[unordered-list, [137.0, 1070.0, 847.0, 18.0], shoonya_2sRQ9LFTWGQ191, 5759319]
[unordered-list, [137.0, 1088.0, 847.0, 18.0], shoonya_2sRQ9LFTWGQ191, 5759319]
[folio, [824.0, 1348.0, 158.0, 18.0], shoonya_5s8CDS5P329ARH, 5759319]
