[1545, 2000]
[folio, [1400.0, 98.0, 399.0, 36.0], PBHLfWsvC2, 6513937]
[folio, [1400.0, 134.0, 399.0, 36.0], PBHLfWsvC2, 6513937]
[folio, [1400.0, 170.0, 399.0, 36.0], PBHLfWsvC2, 6513937]
[folio, [55.0, 101.0, 402.0, 36.0], -bxb9kbfHB, 6513937]
[folio, [55.0, 137.0, 402.0, 36.0], -bxb9kbfHB, 6513937]
[folio, [55.0, 173.0, 402.0, 36.0], -bxb9kbfHB, 6513937]
[paragraph, [1409.0, 354.0, 535.0, 36.0], shoonya_0s152LP0MBWC99, 6513937]
[paragraph, [1409.0, 390.0, 535.0, 36.0], shoonya_0s152LP0MBWC99, 6513937]
[paragraph, [1409.0, 426.0, 535.0, 36.0], shoonya_0s152LP0MBWC99, 6513937]
[paragraph, [1409.0, 462.0, 535.0, 36.0], shoonya_0s152LP0MBWC99, 6513937]
[paragraph, [1409.0, 498.0, 535.0, 36.0], shoonya_0s152LP0MBWC99, 6513937]
[unordered-list, [11.0, 372.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 408.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 444.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 480.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 516.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 552.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 588.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 624.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 660.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 696.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 732.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 768.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 804.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 840.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 876.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 912.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 948.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 984.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 1020.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 1056.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 1092.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 1128.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 1164.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 1200.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 1236.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 1272.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 1308.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 1344.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 1380.0, 629.0, 36.0], M2n8i94c28, 6513937]
[unordered-list, [11.0, 1416.0, 629.0, 36.0], M2n8i94c28, 6513937]
[figure-caption, [727.0, 630.0, 465.0, 36.0], qRxXLpY9p0, 6513937]
[figure-caption, [727.0, 666.0, 465.0, 36.0], qRxXLpY9p0, 6513937]
[section-title, [729.0, 772.0, 369.0, 49.5], jlmdG1RltO, 6513937]
[unordered-list, [720.0, 905.0, 447.0, 36.0], i07reT8EU1, 6513937]
[unordered-list, [720.0, 941.0, 447.0, 36.0], i07reT8EU1, 6513937]
[unordered-list, [720.0, 977.0, 447.0, 36.0], i07reT8EU1, 6513937]
[unordered-list, [720.0, 1013.0, 447.0, 36.0], i07reT8EU1, 6513937]
[unordered-list, [720.0, 1049.0, 447.0, 36.0], i07reT8EU1, 6513937]
[unordered-list, [720.0, 1085.0, 447.0, 36.0], i07reT8EU1, 6513937]
[unordered-list, [720.0, 1121.0, 447.0, 36.0], i07reT8EU1, 6513937]
[unordered-list, [720.0, 1157.0, 447.0, 36.0], i07reT8EU1, 6513937]
[unordered-list, [720.0, 1193.0, 447.0, 36.0], i07reT8EU1, 6513937]
[unordered-list, [720.0, 1229.0, 447.0, 36.0], i07reT8EU1, 6513937]
[unordered-list, [720.0, 1265.0, 447.0, 36.0], i07reT8EU1, 6513937]
[unordered-list, [720.0, 1301.0, 447.0, 36.0], i07reT8EU1, 6513937]
