[842, 595]
[paragraph, [73.0, 109.0, 220.0, 18.0], shoonya_2sXIRUIZNT8EBN, 5739540]
[paragraph, [73.0, 127.0, 220.0, 18.0], shoonya_2sXIRUIZNT8EBN, 5739540]
[paragraph, [73.0, 145.0, 220.0, 18.0], shoonya_2sXIRUIZNT8EBN, 5739540]
[paragraph, [73.0, 163.0, 220.0, 18.0], shoonya_2sXIRUIZNT8EBN, 5739540]
[paragraph, [73.0, 181.0, 220.0, 18.0], shoonya_2sXIRUIZNT8EBN, 5739540]
[paragraph, [351.0, 110.0, 170.0, 18.0], shoonya_0sK4P8RTGILH4N, 5739540]
[paragraph, [351.0, 128.0, 170.0, 18.0], shoonya_0sK4P8RTGILH4N, 5739540]
[paragraph, [351.0, 146.0, 170.0, 18.0], shoonya_0sK4P8RTGILH4N, 5739540]
[paragraph, [351.0, 164.0, 170.0, 18.0], shoonya_0sK4P8RTGILH4N, 5739540]
[paragraph, [351.0, 182.0, 170.0, 18.0], shoonya_0sK4P8RTGILH4N, 5739540]
[paragraph, [351.0, 200.0, 170.0, 18.0], shoonya_0sK4P8RTGILH4N, 5739540]
[paragraph, [351.0, 218.0, 170.0, 18.0], shoonya_0sK4P8RTGILH4N, 5739540]
[paragraph, [351.0, 236.0, 170.0, 18.0], shoonya_0sK4P8RTGILH4N, 5739540]
[paragraph, [351.0, 254.0, 170.0, 18.0], shoonya_0sK4P8RTGILH4N, 5739540]
[paragraph, [351.0, 272.0, 170.0, 18.0], shoonya_0sK4P8RTGILH4N, 5739540]
[paragraph, [351.0, 290.0, 170.0, 18.0], shoonya_0sK4P8RTGILH4N, 5739540]
[paragraph, [351.0, 308.0, 170.0, 18.0], shoonya_0sK4P8RTGILH4N, 5739540]
[paragraph, [72.0, 221.0, 221.0, 18.0], Sjlhmzy9hN, 5739540]
[paragraph, [72.0, 239.0, 221.0, 18.0], Sjlhmzy9hN, 5739540]
[paragraph, [72.0, 257.0, 221.0, 18.0], Sjlhmzy9hN, 5739540]
[paragraph, [72.0, 275.0, 221.0, 18.0], Sjlhmzy9hN, 5739540]
[paragraph, [72.0, 293.0, 221.0, 18.0], Sjlhmzy9hN, 5739540]
[paragraph, [72.0, 311.0, 221.0, 18.0], Sjlhmzy9hN, 5739540]
[paragraph, [72.0, 329.0, 221.0, 18.0], Sjlhmzy9hN, 5739540]
[paragraph, [72.0, 347.0, 221.0, 18.0], Sjlhmzy9hN, 5739540]
[paragraph, [72.0, 365.0, 221.0, 18.0], Sjlhmzy9hN, 5739540]
[paragraph, [72.0, 383.0, 221.0, 18.0], Sjlhmzy9hN, 5739540]
[paragraph, [297.0, 348.0, 229.0, 18.0], 1tjTV7DZGc, 5739540]
[paragraph, [297.0, 366.0, 229.0, 18.0], 1tjTV7DZGc, 5739540]
[paragraph, [297.0, 384.0, 229.0, 18.0], 1tjTV7DZGc, 5739540]
[paragraph, [297.0, 402.0, 229.0, 18.0], 1tjTV7DZGc, 5739540]
[paragraph, [297.0, 420.0, 229.0, 18.0], 1tjTV7DZGc, 5739540]
[paragraph, [297.0, 438.0, 229.0, 18.0], 1tjTV7DZGc, 5739540]
[paragraph, [297.0, 456.0, 229.0, 18.0], 1tjTV7DZGc, 5739540]
[paragraph, [297.0, 474.0, 229.0, 18.0], 1tjTV7DZGc, 5739540]
[paragraph, [297.0, 492.0, 229.0, 18.0], 1tjTV7DZGc, 5739540]
[paragraph, [297.0, 510.0, 229.0, 18.0], 1tjTV7DZGc, 5739540]
[paragraph, [297.0, 528.0, 229.0, 18.0], 1tjTV7DZGc, 5739540]
[paragraph, [297.0, 546.0, 229.0, 18.0], 1tjTV7DZGc, 5739540]
[paragraph, [297.0, 564.0, 229.0, 18.0], 1tjTV7DZGc, 5739540]
[paragraph, [69.0, 412.0, 227.0, 18.0], Amb3L-aeo8, 5739540]
[paragraph, [69.0, 430.0, 227.0, 18.0], Amb3L-aeo8, 5739540]
[paragraph, [69.0, 448.0, 227.0, 18.0], Amb3L-aeo8, 5739540]
[paragraph, [69.0, 466.0, 227.0, 18.0], Amb3L-aeo8, 5739540]
[paragraph, [69.0, 484.0, 227.0, 18.0], Amb3L-aeo8, 5739540]
[paragraph, [69.0, 502.0, 227.0, 18.0], Amb3L-aeo8, 5739540]
[paragraph, [69.0, 520.0, 227.0, 18.0], Amb3L-aeo8, 5739540]
[paragraph, [69.0, 538.0, 227.0, 18.0], Amb3L-aeo8, 5739540]
[paragraph, [69.0, 556.0, 227.0, 18.0], Amb3L-aeo8, 5739540]
[paragraph, [72.0, 581.0, 221.0, 18.0], YpDQObfo0e, 5739540]
[paragraph, [72.0, 599.0, 221.0, 18.0], YpDQObfo0e, 5739540]
[paragraph, [72.0, 617.0, 221.0, 18.0], YpDQObfo0e, 5739540]
[paragraph, [72.0, 635.0, 221.0, 18.0], YpDQObfo0e, 5739540]
[paragraph, [72.0, 653.0, 221.0, 18.0], YpDQObfo0e, 5739540]
[paragraph, [72.0, 671.0, 221.0, 18.0], YpDQObfo0e, 5739540]
[paragraph, [72.0, 689.0, 221.0, 18.0], YpDQObfo0e, 5739540]
[paragraph, [72.0, 707.0, 221.0, 18.0], YpDQObfo0e, 5739540]
[paragraph, [302.0, 602.0, 221.0, 18.0], o-JF2iWmpw, 5739540]
[paragraph, [302.0, 620.0, 221.0, 18.0], o-JF2iWmpw, 5739540]
[paragraph, [302.0, 638.0, 221.0, 18.0], o-JF2iWmpw, 5739540]
[paragraph, [302.0, 656.0, 221.0, 18.0], o-JF2iWmpw, 5739540]
[paragraph, [302.0, 674.0, 221.0, 18.0], o-JF2iWmpw, 5739540]
[paragraph, [302.0, 692.0, 221.0, 18.0], o-JF2iWmpw, 5739540]
[paragraph, [302.0, 710.0, 221.0, 18.0], o-JF2iWmpw, 5739540]
[website-link, [223.0, 795.0, 150.0, 18.0], Jx2BTuLlAa, 5739540]
