[4044, 2536]
[headline, [805.0, 666.0, 792.0, 52.5], Fqd7cxVbpK, 5779297]
[dateline, [285.0, 761.0, 431.0, 52.5], JiBoJJr34A, 5779297]
[paragraph, [244.0, 910.0, 2142.0, 52.5], yxfUsWsfTT, 5779297]
[paragraph, [244.0, 962.5, 2142.0, 52.5], yxfUsWsfTT, 5779297]
[paragraph, [244.0, 1015.0, 2142.0, 52.5], yxfUsWsfTT, 5779297]
[paragraph, [244.0, 1067.5, 2142.0, 52.5], yxfUsWsfTT, 5779297]
[paragraph, [218.0, 1303.0, 2190.0, 52.5], dlwnumy_Zx, 5779297]
[paragraph, [218.0, 1355.5, 2190.0, 52.5], dlwnumy_Zx, 5779297]
[paragraph, [218.0, 1408.0, 2190.0, 52.5], dlwnumy_Zx, 5779297]
[paragraph, [221.0, 1617.0, 2127.0, 52.5], 1Swj3qmX4h, 5779297]
[paragraph, [221.0, 1669.5, 2127.0, 52.5], 1Swj3qmX4h, 5779297]
[paragraph, [221.0, 1722.0, 2127.0, 52.5], 1Swj3qmX4h, 5779297]
[paragraph, [221.0, 1774.5, 2127.0, 52.5], 1Swj3qmX4h, 5779297]
[paragraph, [234.0, 1953.0, 2152.0, 52.5], NFIqyT_VIC, 5779297]
[paragraph, [234.0, 2005.5, 2152.0, 52.5], NFIqyT_VIC, 5779297]
[paragraph, [234.0, 2058.0, 2152.0, 52.5], NFIqyT_VIC, 5779297]
[paragraph, [234.0, 2110.5, 2152.0, 52.5], NFIqyT_VIC, 5779297]
[paragraph, [199.0, 2309.0, 2231.0, 52.5], ILjg9uLU_I, 5779297]
[paragraph, [199.0, 2361.5, 2231.0, 52.5], ILjg9uLU_I, 5779297]
[paragraph, [199.0, 2414.0, 2231.0, 52.5], ILjg9uLU_I, 5779297]
[paragraph, [199.0, 2466.5, 2231.0, 52.5], ILjg9uLU_I, 5779297]
[paragraph, [189.0, 2541.0, 2250.0, 52.5], shoonya_0s2QFTK5IHYMBF, 5779297]
[paragraph, [189.0, 2593.5, 2250.0, 52.5], shoonya_0s2QFTK5IHYMBF, 5779297]
[paragraph, [189.0, 2646.0, 2250.0, 52.5], shoonya_0s2QFTK5IHYMBF, 5779297]
[paragraph, [189.0, 2698.5, 2250.0, 52.5], shoonya_0s2QFTK5IHYMBF, 5779297]
[paragraph, [189.0, 2751.0, 2250.0, 52.5], shoonya_0s2QFTK5IHYMBF, 5779297]
[paragraph, [189.0, 2803.5, 2250.0, 52.5], shoonya_0s2QFTK5IHYMBF, 5779297]
[paragraph, [189.0, 2856.0, 2250.0, 52.5], shoonya_0s2QFTK5IHYMBF, 5779297]
[paragraph, [244.0, 3041.0, 2101.0, 52.5], VryShxpEa5, 5779297]
[paragraph, [244.0, 3093.5, 2101.0, 52.5], VryShxpEa5, 5779297]
[paragraph, [244.0, 3146.0, 2101.0, 52.5], VryShxpEa5, 5779297]
[paragraph, [244.0, 3198.5, 2101.0, 52.5], VryShxpEa5, 5779297]
[paragraph, [244.0, 3251.0, 2101.0, 52.5], VryShxpEa5, 5779297]
[paragraph, [244.0, 3303.5, 2101.0, 52.5], VryShxpEa5, 5779297]
[paragraph, [244.0, 3356.0, 2101.0, 52.5], VryShxpEa5, 5779297]
[paragraph, [244.0, 3408.5, 2101.0, 52.5], VryShxpEa5, 5779297]
[paragraph, [253.0, 3606.0, 2130.0, 52.5], 7_lL93bJk7, 5779297]
[paragraph, [253.0, 3658.5, 2130.0, 52.5], 7_lL93bJk7, 5779297]
[paragraph, [253.0, 3711.0, 2130.0, 52.5], 7_lL93bJk7, 5779297]
[paragraph, [253.0, 3763.5, 2130.0, 52.5], 7_lL93bJk7, 5779297]
[paragraph, [253.0, 3816.0, 2130.0, 52.5], 7_lL93bJk7, 5779297]
[paragraph, [253.0, 3868.5, 2130.0, 52.5], 7_lL93bJk7, 5779297]
