[1601, 1158]
[paragraph, [102.0, 81.0, 607.0, 36.0], shoonya_1s42SP3INLP8ZI, 5696028]
[paragraph, [102.0, 117.0, 607.0, 36.0], shoonya_1s42SP3INLP8ZI, 5696028]
[paragraph, [102.0, 153.0, 607.0, 36.0], shoonya_1s42SP3INLP8ZI, 5696028]
[paragraph, [102.0, 189.0, 607.0, 36.0], shoonya_1s42SP3INLP8ZI, 5696028]
[paragraph, [102.0, 225.0, 607.0, 36.0], shoonya_1s42SP3INLP8ZI, 5696028]
[paragraph, [102.0, 261.0, 607.0, 36.0], shoonya_1s42SP3INLP8ZI, 5696028]
[paragraph, [102.0, 297.0, 607.0, 36.0], shoonya_1s42SP3INLP8ZI, 5696028]
[paragraph, [102.0, 333.0, 607.0, 36.0], shoonya_1s42SP3INLP8ZI, 5696028]
[paragraph, [102.0, 369.0, 607.0, 36.0], shoonya_1s42SP3INLP8ZI, 5696028]
[paragraph, [102.0, 405.0, 607.0, 36.0], shoonya_1s42SP3INLP8ZI, 5696028]
[paragraph, [102.0, 441.0, 607.0, 36.0], shoonya_1s42SP3INLP8ZI, 5696028]
[paragraph, [102.0, 477.0, 607.0, 36.0], shoonya_1s42SP3INLP8ZI, 5696028]
[paragraph, [102.0, 513.0, 607.0, 36.0], shoonya_1s42SP3INLP8ZI, 5696028]
[paragraph, [102.0, 549.0, 607.0, 36.0], shoonya_1s42SP3INLP8ZI, 5696028]
[paragraph, [102.0, 585.0, 607.0, 36.0], shoonya_1s42SP3INLP8ZI, 5696028]
[paragraph, [102.0, 621.0, 607.0, 36.0], shoonya_1s42SP3INLP8ZI, 5696028]
[paragraph, [102.0, 657.0, 607.0, 36.0], shoonya_1s42SP3INLP8ZI, 5696028]
[paragraph, [102.0, 693.0, 607.0, 36.0], shoonya_1s42SP3INLP8ZI, 5696028]
[paragraph, [102.0, 729.0, 607.0, 36.0], shoonya_1s42SP3INLP8ZI, 5696028]
[paragraph, [102.0, 765.0, 607.0, 36.0], shoonya_1s42SP3INLP8ZI, 5696028]
[paragraph, [102.0, 801.0, 607.0, 36.0], shoonya_1s42SP3INLP8ZI, 5696028]
[paragraph, [102.0, 837.0, 607.0, 36.0], shoonya_1s42SP3INLP8ZI, 5696028]
[paragraph, [102.0, 873.0, 607.0, 36.0], shoonya_1s42SP3INLP8ZI, 5696028]
[paragraph, [102.0, 909.0, 607.0, 36.0], shoonya_1s42SP3INLP8ZI, 5696028]
[paragraph, [102.0, 945.0, 607.0, 36.0], shoonya_1s42SP3INLP8ZI, 5696028]
[paragraph, [95.0, 1005.0, 607.0, 36.0], shoonya_0s12YCAK5IHT8E, 5696028]
[paragraph, [95.0, 1041.0, 607.0, 36.0], shoonya_0s12YCAK5IHT8E, 5696028]
[paragraph, [95.0, 1077.0, 607.0, 36.0], shoonya_0s12YCAK5IHT8E, 5696028]
[paragraph, [95.0, 1113.0, 607.0, 36.0], shoonya_0s12YCAK5IHT8E, 5696028]
[paragraph, [95.0, 1149.0, 607.0, 36.0], shoonya_0s12YCAK5IHT8E, 5696028]
[paragraph, [95.0, 1185.0, 607.0, 36.0], shoonya_0s12YCAK5IHT8E, 5696028]
[paragraph, [95.0, 1221.0, 607.0, 36.0], shoonya_0s12YCAK5IHT8E, 5696028]
[paragraph, [95.0, 1257.0, 607.0, 36.0], shoonya_0s12YCAK5IHT8E, 5696028]
[paragraph, [95.0, 1293.0, 607.0, 36.0], shoonya_0s12YCAK5IHT8E, 5696028]
[paragraph, [95.0, 1329.0, 607.0, 36.0], shoonya_0s12YCAK5IHT8E, 5696028]
[paragraph, [95.0, 1365.0, 607.0, 36.0], shoonya_0s12YCAK5IHT8E, 5696028]
[paragraph, [95.0, 1401.0, 607.0, 36.0], shoonya_0s12YCAK5IHT8E, 5696028]
[sidebar, [709.0, 1009.0, 284.0, 36.0], shoonya_3sDGKUSSB4YKMY, 5696028]
[sidebar, [709.0, 1045.0, 284.0, 36.0], shoonya_3sDGKUSSB4YKMY, 5696028]
[sidebar, [709.0, 1081.0, 284.0, 36.0], shoonya_3sDGKUSSB4YKMY, 5696028]
[sidebar, [709.0, 1117.0, 284.0, 36.0], shoonya_3sDGKUSSB4YKMY, 5696028]
[sidebar, [709.0, 1153.0, 284.0, 36.0], shoonya_3sDGKUSSB4YKMY, 5696028]
[sidebar, [709.0, 1189.0, 284.0, 36.0], shoonya_3sDGKUSSB4YKMY, 5696028]
[sidebar, [709.0, 1225.0, 284.0, 36.0], shoonya_3sDGKUSSB4YKMY, 5696028]
[sidebar, [709.0, 1261.0, 284.0, 36.0], shoonya_3sDGKUSSB4YKMY, 5696028]
[sidebar, [709.0, 1297.0, 284.0, 36.0], shoonya_3sDGKUSSB4YKMY, 5696028]
[sidebar, [709.0, 1333.0, 284.0, 36.0], shoonya_3sDGKUSSB4YKMY, 5696028]
[sidebar, [709.0, 1369.0, 284.0, 36.0], shoonya_3sDGKUSSB4YKMY, 5696028]
[sidebar, [709.0, 1405.0, 284.0, 36.0], shoonya_3sDGKUSSB4YKMY, 5696028]
[folio, [505.0, 1469.0, 102.0, 36.0], _-HDG8hUJu, 5696028]
