[1267, 753]
[folio, [325.0, 69.0, 96.0, 18.0], shoonya_2sT4XRJM3VG5B4, 5700295]
[section-title, [275.0, 121.0, 203.0, 30.0], shoonya_3sGWV1I7Y2PIB7, 5700295]
[paragraph, [78.0, 157.0, 596.0, 18.0], shoonya_0s7400Q4F8Q37Y, 5700295]
[paragraph, [78.0, 175.0, 596.0, 18.0], shoonya_0s7400Q4F8Q37Y, 5700295]
[paragraph, [78.0, 193.0, 596.0, 18.0], shoonya_0s7400Q4F8Q37Y, 5700295]
[paragraph, [78.0, 211.0, 596.0, 18.0], shoonya_0s7400Q4F8Q37Y, 5700295]
[paragraph, [78.0, 229.0, 596.0, 18.0], shoonya_0s7400Q4F8Q37Y, 5700295]
[paragraph, [78.0, 247.0, 596.0, 18.0], shoonya_0s7400Q4F8Q37Y, 5700295]
[paragraph, [78.0, 265.0, 596.0, 18.0], shoonya_0s7400Q4F8Q37Y, 5700295]
[paragraph, [78.0, 283.0, 596.0, 18.0], shoonya_0s7400Q4F8Q37Y, 5700295]
[paragraph, [78.0, 301.0, 596.0, 18.0], shoonya_0s7400Q4F8Q37Y, 5700295]
[paragraph, [78.0, 319.0, 596.0, 18.0], shoonya_0s7400Q4F8Q37Y, 5700295]
[paragraph, [78.0, 337.0, 596.0, 18.0], shoonya_0s7400Q4F8Q37Y, 5700295]
[paragraph, [78.0, 355.0, 596.0, 18.0], shoonya_0s7400Q4F8Q37Y, 5700295]
[paragraph, [78.0, 373.0, 596.0, 18.0], shoonya_0s7400Q4F8Q37Y, 5700295]
[paragraph, [78.0, 391.0, 596.0, 18.0], shoonya_0s7400Q4F8Q37Y, 5700295]
[paragraph, [78.0, 409.0, 596.0, 18.0], shoonya_0s7400Q4F8Q37Y, 5700295]
[paragraph, [78.0, 427.0, 596.0, 18.0], shoonya_0s7400Q4F8Q37Y, 5700295]
[paragraph, [80.0, 458.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 476.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 494.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 512.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 530.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 548.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 566.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 584.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 602.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 620.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 638.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 656.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 674.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 692.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 710.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 728.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 746.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 764.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 782.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 800.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 818.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 836.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 854.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 872.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 890.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 908.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 926.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 944.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 962.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 980.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 998.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 1016.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 1034.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 1052.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 1070.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 1088.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 1106.0, 594.0, 18.0], MxC14S_iim, 5700295]
[paragraph, [80.0, 1124.0, 594.0, 18.0], MxC14S_iim, 5700295]
[folio, [132.0, 1162.0, 42.0, 18.0], shoonya_1sUFTG6CW8VD85, 5700295]
