[1650, 1050]
[paragraph, [103.0, 144.0, 811.0, 36.0], _cGNXfFh1J, 5732457]
[paragraph, [103.0, 180.0, 811.0, 36.0], _cGNXfFh1J, 5732457]
[paragraph, [103.0, 216.0, 811.0, 36.0], _cGNXfFh1J, 5732457]
[paragraph, [103.0, 252.0, 811.0, 36.0], _cGNXfFh1J, 5732457]
[paragraph, [103.0, 288.0, 811.0, 36.0], _cGNXfFh1J, 5732457]
[paragraph, [103.0, 324.0, 811.0, 36.0], _cGNXfFh1J, 5732457]
[paragraph, [103.0, 360.0, 811.0, 36.0], _cGNXfFh1J, 5732457]
[paragraph, [103.0, 396.0, 811.0, 36.0], _cGNXfFh1J, 5732457]
[paragraph, [103.0, 432.0, 811.0, 36.0], _cGNXfFh1J, 5732457]
[paragraph, [103.0, 468.0, 811.0, 36.0], _cGNXfFh1J, 5732457]
[paragraph, [103.0, 504.0, 811.0, 36.0], _cGNXfFh1J, 5732457]
[paragraph, [103.0, 540.0, 811.0, 36.0], _cGNXfFh1J, 5732457]
[paragraph, [103.0, 576.0, 811.0, 36.0], _cGNXfFh1J, 5732457]
[paragraph, [103.0, 612.0, 811.0, 36.0], _cGNXfFh1J, 5732457]
[paragraph, [103.0, 648.0, 811.0, 36.0], _cGNXfFh1J, 5732457]
[paragraph, [103.0, 684.0, 811.0, 36.0], _cGNXfFh1J, 5732457]
[paragraph, [103.0, 720.0, 811.0, 36.0], _cGNXfFh1J, 5732457]
[paragraph, [95.0, 798.0, 820.0, 36.0], shoonya_1sQ97I9OIMPSCD, 5732457]
[paragraph, [95.0, 834.0, 820.0, 36.0], shoonya_1sQ97I9OIMPSCD, 5732457]
[paragraph, [95.0, 870.0, 820.0, 36.0], shoonya_1sQ97I9OIMPSCD, 5732457]
[paragraph, [95.0, 906.0, 820.0, 36.0], shoonya_1sQ97I9OIMPSCD, 5732457]
[paragraph, [95.0, 942.0, 820.0, 36.0], shoonya_1sQ97I9OIMPSCD, 5732457]
[paragraph, [95.0, 978.0, 820.0, 36.0], shoonya_1sQ97I9OIMPSCD, 5732457]
[paragraph, [95.0, 1014.0, 820.0, 36.0], shoonya_1sQ97I9OIMPSCD, 5732457]
[paragraph, [95.0, 1050.0, 820.0, 36.0], shoonya_1sQ97I9OIMPSCD, 5732457]
[paragraph, [90.0, 1130.0, 824.0, 36.0], shoonya_0s7MMMXQE76LU7, 5732457]
[paragraph, [90.0, 1166.0, 824.0, 36.0], shoonya_0s7MMMXQE76LU7, 5732457]
[paragraph, [90.0, 1202.0, 824.0, 36.0], shoonya_0s7MMMXQE76LU7, 5732457]
[paragraph, [90.0, 1238.0, 824.0, 36.0], shoonya_0s7MMMXQE76LU7, 5732457]
[paragraph, [90.0, 1274.0, 824.0, 36.0], shoonya_0s7MMMXQE76LU7, 5732457]
[paragraph, [90.0, 1310.0, 824.0, 36.0], shoonya_0s7MMMXQE76LU7, 5732457]
[paragraph, [90.0, 1346.0, 824.0, 36.0], shoonya_0s7MMMXQE76LU7, 5732457]
[paragraph, [90.0, 1382.0, 824.0, 36.0], shoonya_0s7MMMXQE76LU7, 5732457]
[folio, [408.0, 1479.0, 136.0, 36.0], yCQqVIAwZ8, 5732457]
