[780, 539]
[headline, [159.0, 88.0, 232.0, 25.5], lVq3j8SpqT, 5766933]
[sub-headline, [203.0, 126.0, 142.0, 25.5], hBg4pqkqEe, 5766933]
[figure-caption, [108.0, 132.0, 73.0, 18.0], iRxIP6ln5n, 5766933]
[paragraph, [139.0, 160.0, 345.0, 18.0], vBhYLlom86, 5766933]
[paragraph, [139.0, 178.0, 345.0, 18.0], vBhYLlom86, 5766933]
[paragraph, [139.0, 196.0, 345.0, 18.0], vBhYLlom86, 5766933]
[paragraph, [139.0, 214.0, 345.0, 18.0], vBhYLlom86, 5766933]
[paragraph, [66.0, 240.0, 422.0, 18.0], nmeuXWd53l, 5766933]
[paragraph, [66.0, 258.0, 422.0, 18.0], nmeuXWd53l, 5766933]
[paragraph, [66.0, 276.0, 422.0, 18.0], nmeuXWd53l, 5766933]
[paragraph, [71.0, 303.0, 415.0, 18.0], RWVh4SuEBX, 5766933]
[paragraph, [71.0, 321.0, 415.0, 18.0], RWVh4SuEBX, 5766933]
[paragraph, [67.0, 343.0, 418.0, 18.0], shoonya_0sJ36L2PRFKHEB, 5766933]
[paragraph, [67.0, 361.0, 418.0, 18.0], shoonya_0sJ36L2PRFKHEB, 5766933]
[paragraph, [67.0, 379.0, 418.0, 18.0], shoonya_0sJ36L2PRFKHEB, 5766933]
[paragraph, [67.0, 397.0, 418.0, 18.0], shoonya_0sJ36L2PRFKHEB, 5766933]
[paragraph, [67.0, 415.0, 418.0, 18.0], shoonya_0sJ36L2PRFKHEB, 5766933]
[paragraph, [67.0, 433.0, 418.0, 18.0], shoonya_0sJ36L2PRFKHEB, 5766933]
[paragraph, [67.0, 451.0, 418.0, 18.0], shoonya_0sJ36L2PRFKHEB, 5766933]
[paragraph, [67.0, 469.0, 418.0, 18.0], shoonya_0sJ36L2PRFKHEB, 5766933]
[paragraph, [65.0, 496.0, 419.0, 18.0], shoonya_2sR8WDMIUEOOM1, 5766933]
[paragraph, [65.0, 514.0, 419.0, 18.0], shoonya_2sR8WDMIUEOOM1, 5766933]
[paragraph, [65.0, 532.0, 419.0, 18.0], shoonya_2sR8WDMIUEOOM1, 5766933]
[paragraph, [65.0, 550.0, 419.0, 18.0], shoonya_2sR8WDMIUEOOM1, 5766933]
[paragraph, [65.0, 568.0, 419.0, 18.0], shoonya_2sR8WDMIUEOOM1, 5766933]
[paragraph, [65.0, 586.0, 419.0, 18.0], shoonya_2sR8WDMIUEOOM1, 5766933]
[paragraph, [65.0, 604.0, 419.0, 18.0], shoonya_2sR8WDMIUEOOM1, 5766933]
[paragraph, [65.0, 622.0, 419.0, 18.0], shoonya_2sR8WDMIUEOOM1, 5766933]
[paragraph, [61.0, 649.0, 426.0, 18.0], uU_vLqH8b2, 5766933]
[paragraph, [61.0, 667.0, 426.0, 18.0], uU_vLqH8b2, 5766933]
[paragraph, [61.0, 685.0, 426.0, 18.0], uU_vLqH8b2, 5766933]
[folio, [75.0, 738.0, 216.0, 18.0], 2MepIP5dEp, 5766933]
