[789, 571]
[folio, [154.0, 56.0, 298.0, 18.0], 2DVoDk7UaD, 5702543]
[paragraph, [48.0, 96.0, 466.0, 18.0], shoonya_0s8365207D0KUD, 5702543]
[paragraph, [48.0, 114.0, 466.0, 18.0], shoonya_0s8365207D0KUD, 5702543]
[paragraph, [48.0, 132.0, 466.0, 18.0], shoonya_0s8365207D0KUD, 5702543]
[paragraph, [48.0, 150.0, 466.0, 18.0], shoonya_0s8365207D0KUD, 5702543]
[paragraph, [48.0, 168.0, 466.0, 18.0], shoonya_0s8365207D0KUD, 5702543]
[paragraph, [48.0, 186.0, 466.0, 18.0], shoonya_0s8365207D0KUD, 5702543]
[paragraph, [48.0, 204.0, 466.0, 18.0], shoonya_0s8365207D0KUD, 5702543]
[paragraph, [48.0, 222.0, 466.0, 18.0], shoonya_0s8365207D0KUD, 5702543]
[paragraph, [48.0, 240.0, 466.0, 18.0], shoonya_0s8365207D0KUD, 5702543]
[paragraph, [48.0, 258.0, 466.0, 18.0], shoonya_0s8365207D0KUD, 5702543]
[paragraph, [48.0, 276.0, 466.0, 18.0], shoonya_0s8365207D0KUD, 5702543]
[paragraph, [48.0, 294.0, 466.0, 18.0], shoonya_0s8365207D0KUD, 5702543]
[paragraph, [48.0, 312.0, 466.0, 18.0], shoonya_0s8365207D0KUD, 5702543]
[paragraph, [48.0, 330.0, 466.0, 18.0], shoonya_0s8365207D0KUD, 5702543]
[paragraph, [48.0, 348.0, 466.0, 18.0], shoonya_0s8365207D0KUD, 5702543]
[paragraph, [48.0, 366.0, 466.0, 18.0], shoonya_0s8365207D0KUD, 5702543]
[paragraph, [48.0, 384.0, 466.0, 18.0], shoonya_0s8365207D0KUD, 5702543]
[paragraph, [48.0, 402.0, 466.0, 18.0], shoonya_0s8365207D0KUD, 5702543]
[paragraph, [48.0, 420.0, 466.0, 18.0], shoonya_0s8365207D0KUD, 5702543]
[paragraph, [48.0, 438.0, 466.0, 18.0], shoonya_0s8365207D0KUD, 5702543]
[paragraph, [50.0, 458.0, 461.0, 18.0], shoonya_1s1L3NNUZ62NCO, 5702543]
[paragraph, [50.0, 476.0, 461.0, 18.0], shoonya_1s1L3NNUZ62NCO, 5702543]
[paragraph, [50.0, 494.0, 461.0, 18.0], shoonya_1s1L3NNUZ62NCO, 5702543]
[paragraph, [50.0, 512.0, 461.0, 18.0], shoonya_1s1L3NNUZ62NCO, 5702543]
[paragraph, [50.0, 530.0, 461.0, 18.0], shoonya_1s1L3NNUZ62NCO, 5702543]
[paragraph, [50.0, 548.0, 461.0, 18.0], shoonya_1s1L3NNUZ62NCO, 5702543]
[paragraph, [50.0, 566.0, 461.0, 18.0], shoonya_1s1L3NNUZ62NCO, 5702543]
[paragraph, [50.0, 584.0, 461.0, 18.0], shoonya_1s1L3NNUZ62NCO, 5702543]
[paragraph, [50.0, 602.0, 461.0, 18.0], shoonya_1s1L3NNUZ62NCO, 5702543]
[paragraph, [50.0, 620.0, 461.0, 18.0], shoonya_1s1L3NNUZ62NCO, 5702543]
[paragraph, [50.0, 638.0, 461.0, 18.0], shoonya_1s1L3NNUZ62NCO, 5702543]
[paragraph, [50.0, 656.0, 461.0, 18.0], shoonya_1s1L3NNUZ62NCO, 5702543]
[paragraph, [48.0, 685.0, 466.0, 18.0], Mql2Z_ypMc, 5702543]
[paragraph, [48.0, 703.0, 466.0, 18.0], Mql2Z_ypMc, 5702543]
