[3509, 2482]
[folio, [846.0, 220.0, 521.0, 52.5], rQWuscm6nC, 5691564]
[folio, [846.0, 272.5, 521.0, 52.5], rQWuscm6nC, 5691564]
[paragraph, [195.0, 372.0, 1870.0, 52.5], 69ONxoSlZ1, 5691564]
[paragraph, [195.0, 424.5, 1870.0, 52.5], 69ONxoSlZ1, 5691564]
[paragraph, [195.0, 477.0, 1870.0, 52.5], 69ONxoSlZ1, 5691564]
[paragraph, [195.0, 529.5, 1870.0, 52.5], 69ONxoSlZ1, 5691564]
[paragraph, [195.0, 582.0, 1870.0, 52.5], 69ONxoSlZ1, 5691564]
[paragraph, [212.0, 643.0, 1787.0, 52.5], shoonya_1s4WBVRLJPUALR, 5691564]
[paragraph, [212.0, 695.5, 1787.0, 52.5], shoonya_1s4WBVRLJPUALR, 5691564]
[paragraph, [212.0, 748.0, 1787.0, 52.5], shoonya_1s4WBVRLJPUALR, 5691564]
[paragraph, [212.0, 800.5, 1787.0, 52.5], shoonya_1s4WBVRLJPUALR, 5691564]
[paragraph, [212.0, 853.0, 1787.0, 52.5], shoonya_1s4WBVRLJPUALR, 5691564]
[paragraph, [212.0, 905.5, 1787.0, 52.5], shoonya_1s4WBVRLJPUALR, 5691564]
[paragraph, [212.0, 958.0, 1787.0, 52.5], shoonya_1s4WBVRLJPUALR, 5691564]
[paragraph, [212.0, 1010.5, 1787.0, 52.5], shoonya_1s4WBVRLJPUALR, 5691564]
[paragraph, [212.0, 1063.0, 1787.0, 52.5], shoonya_1s4WBVRLJPUALR, 5691564]
[paragraph, [223.0, 1166.0, 1790.0, 52.5], ueyFWyVwFo, 5691564]
[paragraph, [223.0, 1218.5, 1790.0, 52.5], ueyFWyVwFo, 5691564]
[paragraph, [223.0, 1271.0, 1790.0, 52.5], ueyFWyVwFo, 5691564]
[paragraph, [223.0, 1323.5, 1790.0, 52.5], ueyFWyVwFo, 5691564]
[paragraph, [223.0, 1376.0, 1790.0, 52.5], ueyFWyVwFo, 5691564]
[paragraph, [223.0, 1428.5, 1790.0, 52.5], ueyFWyVwFo, 5691564]
[paragraph, [220.0, 1523.0, 1805.0, 52.5], MHDy-_5OiC, 5691564]
[paragraph, [220.0, 1575.5, 1805.0, 52.5], MHDy-_5OiC, 5691564]
[paragraph, [220.0, 1628.0, 1805.0, 52.5], MHDy-_5OiC, 5691564]
[paragraph, [220.0, 1680.5, 1805.0, 52.5], MHDy-_5OiC, 5691564]
[paragraph, [220.0, 1733.0, 1805.0, 52.5], MHDy-_5OiC, 5691564]
[paragraph, [220.0, 1785.5, 1805.0, 52.5], MHDy-_5OiC, 5691564]
[paragraph, [220.0, 1838.0, 1805.0, 52.5], MHDy-_5OiC, 5691564]
[paragraph, [220.0, 1890.5, 1805.0, 52.5], MHDy-_5OiC, 5691564]
[paragraph, [220.0, 1943.0, 1805.0, 52.5], MHDy-_5OiC, 5691564]
[paragraph, [220.0, 1995.5, 1805.0, 52.5], MHDy-_5OiC, 5691564]
[paragraph, [220.0, 2082.0, 1768.0, 52.5], shoonya_0sS2NNBC2BFI5E, 5691564]
[paragraph, [220.0, 2134.5, 1768.0, 52.5], shoonya_0sS2NNBC2BFI5E, 5691564]
[paragraph, [220.0, 2187.0, 1768.0, 52.5], shoonya_0sS2NNBC2BFI5E, 5691564]
[paragraph, [220.0, 2239.5, 1768.0, 52.5], shoonya_0sS2NNBC2BFI5E, 5691564]
[paragraph, [220.0, 2292.0, 1768.0, 52.5], shoonya_0sS2NNBC2BFI5E, 5691564]
[paragraph, [220.0, 2344.5, 1768.0, 52.5], shoonya_0sS2NNBC2BFI5E, 5691564]
[paragraph, [220.0, 2397.0, 1768.0, 52.5], shoonya_0sS2NNBC2BFI5E, 5691564]
[paragraph, [220.0, 2449.5, 1768.0, 52.5], shoonya_0sS2NNBC2BFI5E, 5691564]
[paragraph, [220.0, 2502.0, 1768.0, 52.5], shoonya_0sS2NNBC2BFI5E, 5691564]
[paragraph, [220.0, 2554.5, 1768.0, 52.5], shoonya_0sS2NNBC2BFI5E, 5691564]
[paragraph, [220.0, 2607.0, 1768.0, 52.5], shoonya_0sS2NNBC2BFI5E, 5691564]
[paragraph, [220.0, 2659.5, 1768.0, 52.5], shoonya_0sS2NNBC2BFI5E, 5691564]
[paragraph, [220.0, 2712.0, 1768.0, 52.5], shoonya_0sS2NNBC2BFI5E, 5691564]
[paragraph, [210.0, 2776.0, 1818.0, 52.5], pxzm_BSn5F, 5691564]
[paragraph, [210.0, 2828.5, 1818.0, 52.5], pxzm_BSn5F, 5691564]
[paragraph, [210.0, 2881.0, 1818.0, 52.5], pxzm_BSn5F, 5691564]
[paragraph, [210.0, 2933.5, 1818.0, 52.5], pxzm_BSn5F, 5691564]
[paragraph, [210.0, 2986.0, 1818.0, 52.5], pxzm_BSn5F, 5691564]
[paragraph, [210.0, 3038.5, 1818.0, 52.5], pxzm_BSn5F, 5691564]
[paragraph, [210.0, 3091.0, 1818.0, 52.5], pxzm_BSn5F, 5691564]
[paragraph, [210.0, 3143.5, 1818.0, 52.5], pxzm_BSn5F, 5691564]
[paragraph, [210.0, 3196.0, 1818.0, 52.5], pxzm_BSn5F, 5691564]
[paragraph, [210.0, 3248.5, 1818.0, 52.5], pxzm_BSn5F, 5691564]
