[2339, 1653]
[paragraph, [325.0, 163.0, 1141.0, 36.0], shoonya_1sDB5IOMV1CUGZ, 5734103]
[paragraph, [325.0, 199.0, 1141.0, 36.0], shoonya_1sDB5IOMV1CUGZ, 5734103]
[paragraph, [325.0, 235.0, 1141.0, 36.0], shoonya_1sDB5IOMV1CUGZ, 5734103]
[paragraph, [325.0, 271.0, 1141.0, 36.0], shoonya_1sDB5IOMV1CUGZ, 5734103]
[paragraph, [322.0, 334.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 370.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 406.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 442.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 478.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 514.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 550.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 586.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 622.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 658.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 694.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 730.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 766.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 802.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 838.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 874.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 910.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 946.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 982.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 1018.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 1054.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 1090.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 1126.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 1162.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 1198.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 1234.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 1270.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 1306.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 1342.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [322.0, 1378.0, 1138.0, 36.0], shoonya_2sOZPGZWVMZKAN, 5734103]
[paragraph, [323.0, 1434.0, 1141.0, 36.0], shoonya_0s75XK6BL9808T, 5734103]
[paragraph, [323.0, 1470.0, 1141.0, 36.0], shoonya_0s75XK6BL9808T, 5734103]
[paragraph, [323.0, 1506.0, 1141.0, 36.0], shoonya_0s75XK6BL9808T, 5734103]
[paragraph, [323.0, 1542.0, 1141.0, 36.0], shoonya_0s75XK6BL9808T, 5734103]
[paragraph, [323.0, 1578.0, 1141.0, 36.0], shoonya_0s75XK6BL9808T, 5734103]
[paragraph, [323.0, 1614.0, 1141.0, 36.0], shoonya_0s75XK6BL9808T, 5734103]
[paragraph, [323.0, 1650.0, 1141.0, 36.0], shoonya_0s75XK6BL9808T, 5734103]
[paragraph, [323.0, 1686.0, 1141.0, 36.0], shoonya_0s75XK6BL9808T, 5734103]
[paragraph, [323.0, 1722.0, 1141.0, 36.0], shoonya_0s75XK6BL9808T, 5734103]
[paragraph, [323.0, 1758.0, 1141.0, 36.0], shoonya_0s75XK6BL9808T, 5734103]
[paragraph, [323.0, 1794.0, 1141.0, 36.0], shoonya_0s75XK6BL9808T, 5734103]
[paragraph, [323.0, 1830.0, 1141.0, 36.0], shoonya_0s75XK6BL9808T, 5734103]
[paragraph, [323.0, 1866.0, 1141.0, 36.0], shoonya_0s75XK6BL9808T, 5734103]
[paragraph, [323.0, 1902.0, 1141.0, 36.0], shoonya_0s75XK6BL9808T, 5734103]
[paragraph, [323.0, 1938.0, 1141.0, 36.0], shoonya_0s75XK6BL9808T, 5734103]
[paragraph, [323.0, 1974.0, 1141.0, 36.0], shoonya_0s75XK6BL9808T, 5734103]
[paragraph, [323.0, 2010.0, 1141.0, 36.0], shoonya_0s75XK6BL9808T, 5734103]
[paragraph, [323.0, 2046.0, 1141.0, 36.0], shoonya_0s75XK6BL9808T, 5734103]
[folio, [1250.0, 2155.0, 131.0, 36.0], JrRhIxrnSR, 5734103]
