[3960, 3060]
[folio, [1368.0, 660.0, 322.0, 52.5], 3o-pxdlY_B, 5697929]
[folio, [347.0, 753.0, 463.0, 52.5], 0bjieyKe2y, 5697929]
[folio, [2283.0, 761.0, 377.0, 52.5], shoonya_3s08K9EAOJI90D, 5697929]
[paragraph, [1098.0, 1171.0, 862.0, 52.5], IVa8MBO07A, 5697929]
[placeholder-text, [335.0, 1387.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1405.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1423.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1441.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1459.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1477.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1495.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1513.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1531.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1549.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1567.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1585.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1603.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1621.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1639.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1657.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1675.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1693.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1711.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1729.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1747.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1765.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1783.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1801.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1819.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1837.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1855.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1873.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1891.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1909.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1927.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1945.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [335.0, 1963.0, 2387.0, 18.0], shoonya_5s1RVSDR67GRPX, 5697929]
[placeholder-text, [2129.0, 2157.0, 440.0, 18.0], shoonya_4s0VAP9SN63O9I, 5697929]
[placeholder-text, [2129.0, 2175.0, 440.0, 18.0], shoonya_4s0VAP9SN63O9I, 5697929]
[placeholder-text, [2129.0, 2193.0, 440.0, 18.0], shoonya_4s0VAP9SN63O9I, 5697929]
[placeholder-text, [2129.0, 2211.0, 440.0, 18.0], shoonya_4s0VAP9SN63O9I, 5697929]
[placeholder-text, [2129.0, 2229.0, 440.0, 18.0], shoonya_4s0VAP9SN63O9I, 5697929]
[placeholder-text, [2129.0, 2247.0, 440.0, 18.0], shoonya_4s0VAP9SN63O9I, 5697929]
[placeholder-text, [2129.0, 2265.0, 440.0, 18.0], shoonya_4s0VAP9SN63O9I, 5697929]
[placeholder-text, [2129.0, 2283.0, 440.0, 18.0], shoonya_4s0VAP9SN63O9I, 5697929]
[placeholder-text, [2129.0, 2301.0, 440.0, 18.0], shoonya_4s0VAP9SN63O9I, 5697929]
[placeholder-text, [2129.0, 2319.0, 440.0, 18.0], shoonya_4s0VAP9SN63O9I, 5697929]
[placeholder-text, [2129.0, 2337.0, 440.0, 18.0], shoonya_4s0VAP9SN63O9I, 5697929]
[placeholder-text, [2129.0, 2355.0, 440.0, 18.0], shoonya_4s0VAP9SN63O9I, 5697929]
