[2200, 1700]
[paragraph, [371.0, 113.0, 1134.0, 36.0], shoonya_1sSCVR3U5F1HDR, 5733583]
[paragraph, [371.0, 149.0, 1134.0, 36.0], shoonya_1sSCVR3U5F1HDR, 5733583]
[paragraph, [371.0, 185.0, 1134.0, 36.0], shoonya_1sSCVR3U5F1HDR, 5733583]
[paragraph, [371.0, 221.0, 1134.0, 36.0], shoonya_1sSCVR3U5F1HDR, 5733583]
[paragraph, [371.0, 257.0, 1134.0, 36.0], shoonya_1sSCVR3U5F1HDR, 5733583]
[paragraph, [371.0, 293.0, 1134.0, 36.0], shoonya_1sSCVR3U5F1HDR, 5733583]
[paragraph, [371.0, 329.0, 1134.0, 36.0], shoonya_1sSCVR3U5F1HDR, 5733583]
[paragraph, [371.0, 365.0, 1134.0, 36.0], shoonya_1sSCVR3U5F1HDR, 5733583]
[paragraph, [371.0, 401.0, 1134.0, 36.0], shoonya_1sSCVR3U5F1HDR, 5733583]
[paragraph, [371.0, 437.0, 1134.0, 36.0], shoonya_1sSCVR3U5F1HDR, 5733583]
[paragraph, [373.0, 522.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 558.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 594.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 630.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 666.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 702.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 738.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 774.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 810.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 846.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 882.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 918.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 954.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 990.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 1026.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 1062.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 1098.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 1134.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 1170.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 1206.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 1242.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 1278.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 1314.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 1350.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 1386.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 1422.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 1458.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 1494.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 1530.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [373.0, 1566.0, 1130.0, 36.0], shoonya_2sWFQQFMY6ATOX, 5733583]
[paragraph, [372.0, 1659.0, 1134.0, 36.0], shoonya_0s4WJDD1G9A3ZT, 5733583]
[paragraph, [372.0, 1695.0, 1134.0, 36.0], shoonya_0s4WJDD1G9A3ZT, 5733583]
[paragraph, [372.0, 1731.0, 1134.0, 36.0], shoonya_0s4WJDD1G9A3ZT, 5733583]
[paragraph, [372.0, 1767.0, 1134.0, 36.0], shoonya_0s4WJDD1G9A3ZT, 5733583]
[paragraph, [372.0, 1803.0, 1134.0, 36.0], shoonya_0s4WJDD1G9A3ZT, 5733583]
[paragraph, [372.0, 1839.0, 1134.0, 36.0], shoonya_0s4WJDD1G9A3ZT, 5733583]
[paragraph, [372.0, 1875.0, 1134.0, 36.0], shoonya_0s4WJDD1G9A3ZT, 5733583]
[paragraph, [372.0, 1911.0, 1134.0, 36.0], shoonya_0s4WJDD1G9A3ZT, 5733583]
[paragraph, [372.0, 1947.0, 1134.0, 36.0], shoonya_0s4WJDD1G9A3ZT, 5733583]
[paragraph, [372.0, 1983.0, 1134.0, 36.0], shoonya_0s4WJDD1G9A3ZT, 5733583]
