[1650, 934]
[folio, [245.0, 108.0, 419.0, 36.0], u6Spl7Qh6t, 5766739]
[paragraph, [51.0, 169.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 205.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 241.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 277.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 313.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 349.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 385.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 421.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 457.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 493.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 529.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 565.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 601.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 637.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 673.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 709.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 745.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 781.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 817.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 853.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 889.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 925.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 961.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 997.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 1033.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 1069.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 1105.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 1141.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 1177.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 1213.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 1249.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 1285.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 1321.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 1357.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 1393.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 1429.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
[paragraph, [51.0, 1465.0, 809.0, 36.0], shoonya_0sQU8VBH5Z2HFT, 5766739]
