[1275, 750]
[folio, [299.0, 77.0, 134.0, 18.0], r8bcuxacNr, 5767778]
[folio, [299.0, 95.0, 134.0, 18.0], r8bcuxacNr, 5767778]
[folio, [299.0, 113.0, 134.0, 18.0], r8bcuxacNr, 5767778]
[paragraph, [74.0, 163.0, 599.0, 18.0], shoonya_1sR6F9CU3KJGL6, 5767778]
[paragraph, [74.0, 181.0, 599.0, 18.0], shoonya_1sR6F9CU3KJGL6, 5767778]
[paragraph, [74.0, 199.0, 599.0, 18.0], shoonya_1sR6F9CU3KJGL6, 5767778]
[paragraph, [74.0, 217.0, 599.0, 18.0], shoonya_1sR6F9CU3KJGL6, 5767778]
[paragraph, [74.0, 235.0, 599.0, 18.0], shoonya_1sR6F9CU3KJGL6, 5767778]
[paragraph, [74.0, 253.0, 599.0, 18.0], shoonya_1sR6F9CU3KJGL6, 5767778]
[paragraph, [74.0, 271.0, 599.0, 18.0], shoonya_1sR6F9CU3KJGL6, 5767778]
[paragraph, [74.0, 289.0, 599.0, 18.0], shoonya_1sR6F9CU3KJGL6, 5767778]
[paragraph, [74.0, 307.0, 599.0, 18.0], shoonya_1sR6F9CU3KJGL6, 5767778]
[paragraph, [74.0, 325.0, 599.0, 18.0], shoonya_1sR6F9CU3KJGL6, 5767778]
[paragraph, [74.0, 347.0, 606.0, 18.0], shoonya_2sRTEBF1VNBI27, 5767778]
[paragraph, [74.0, 365.0, 606.0, 18.0], shoonya_2sRTEBF1VNBI27, 5767778]
[paragraph, [74.0, 383.0, 606.0, 18.0], shoonya_2sRTEBF1VNBI27, 5767778]
[paragraph, [74.0, 401.0, 606.0, 18.0], shoonya_2sRTEBF1VNBI27, 5767778]
[paragraph, [74.0, 419.0, 606.0, 18.0], shoonya_2sRTEBF1VNBI27, 5767778]
[paragraph, [74.0, 437.0, 606.0, 18.0], shoonya_2sRTEBF1VNBI27, 5767778]
[paragraph, [74.0, 455.0, 606.0, 18.0], shoonya_2sRTEBF1VNBI27, 5767778]
[paragraph, [74.0, 473.0, 606.0, 18.0], shoonya_2sRTEBF1VNBI27, 5767778]
[paragraph, [74.0, 491.0, 606.0, 18.0], shoonya_2sRTEBF1VNBI27, 5767778]
[paragraph, [74.0, 509.0, 606.0, 18.0], shoonya_2sRTEBF1VNBI27, 5767778]
[paragraph, [74.0, 527.0, 606.0, 18.0], shoonya_2sRTEBF1VNBI27, 5767778]
[paragraph, [74.0, 545.0, 606.0, 18.0], shoonya_2sRTEBF1VNBI27, 5767778]
[paragraph, [74.0, 563.0, 606.0, 18.0], shoonya_2sRTEBF1VNBI27, 5767778]
[paragraph, [74.0, 581.0, 606.0, 18.0], shoonya_2sRTEBF1VNBI27, 5767778]
[paragraph, [74.0, 599.0, 606.0, 18.0], shoonya_2sRTEBF1VNBI27, 5767778]
[paragraph, [77.0, 626.0, 602.0, 18.0], shoonya_0sFFPR0OB61TP1, 5767778]
[paragraph, [77.0, 644.0, 602.0, 18.0], shoonya_0sFFPR0OB61TP1, 5767778]
[paragraph, [77.0, 662.0, 602.0, 18.0], shoonya_0sFFPR0OB61TP1, 5767778]
[paragraph, [77.0, 680.0, 602.0, 18.0], shoonya_0sFFPR0OB61TP1, 5767778]
