[2339, 1653]
[folio, [708.0, 171.0, 237.0, 36.0], 9_-o1Op27I, 5689139]
[folio, [671.0, 225.0, 307.0, 36.0], DVADdUHHCQ, 5689139]
[folio, [559.0, 342.0, 539.0, 36.0], JrPcr1OcBS, 5689139]
[folio, [611.0, 402.0, 464.0, 36.0], TmjU8D5HbJ, 5689139]
[paragraph, [178.0, 503.0, 1300.0, 36.0], shoonya_0sCSWFNKZ5CEH1, 5689139]
[paragraph, [178.0, 539.0, 1300.0, 36.0], shoonya_0sCSWFNKZ5CEH1, 5689139]
[paragraph, [178.0, 575.0, 1300.0, 36.0], shoonya_0sCSWFNKZ5CEH1, 5689139]
[paragraph, [178.0, 611.0, 1300.0, 36.0], shoonya_0sCSWFNKZ5CEH1, 5689139]
[ordered-list, [278.0, 776.0, 1194.0, 36.0], qinIBlu8OV, 5689139]
[ordered-list, [278.0, 812.0, 1194.0, 36.0], qinIBlu8OV, 5689139]
[ordered-list, [278.0, 848.0, 1194.0, 36.0], qinIBlu8OV, 5689139]
[ordered-list, [278.0, 884.0, 1194.0, 36.0], qinIBlu8OV, 5689139]
[ordered-list, [278.0, 920.0, 1194.0, 36.0], qinIBlu8OV, 5689139]
[ordered-list, [278.0, 956.0, 1194.0, 36.0], qinIBlu8OV, 5689139]
[ordered-list, [278.0, 992.0, 1194.0, 36.0], qinIBlu8OV, 5689139]
[ordered-list, [278.0, 1028.0, 1194.0, 36.0], qinIBlu8OV, 5689139]
[ordered-list, [278.0, 1064.0, 1194.0, 36.0], qinIBlu8OV, 5689139]
[reference, [368.0, 1219.0, 1122.0, 36.0], shoonya_1sA1DLMS3JYALJ, 5689139]
[reference, [368.0, 1255.0, 1122.0, 36.0], shoonya_1sA1DLMS3JYALJ, 5689139]
[reference, [368.0, 1291.0, 1122.0, 36.0], shoonya_1sA1DLMS3JYALJ, 5689139]
[reference, [368.0, 1327.0, 1122.0, 36.0], shoonya_1sA1DLMS3JYALJ, 5689139]
[reference, [368.0, 1363.0, 1122.0, 36.0], shoonya_1sA1DLMS3JYALJ, 5689139]
[reference, [368.0, 1399.0, 1122.0, 36.0], shoonya_1sA1DLMS3JYALJ, 5689139]
[reference, [368.0, 1435.0, 1122.0, 36.0], shoonya_1sA1DLMS3JYALJ, 5689139]
[reference, [368.0, 1471.0, 1122.0, 36.0], shoonya_1sA1DLMS3JYALJ, 5689139]
[reference, [368.0, 1507.0, 1122.0, 36.0], shoonya_1sA1DLMS3JYALJ, 5689139]
[reference, [368.0, 1543.0, 1122.0, 36.0], shoonya_1sA1DLMS3JYALJ, 5689139]
[reference, [368.0, 1579.0, 1122.0, 36.0], shoonya_1sA1DLMS3JYALJ, 5689139]
[reference, [368.0, 1615.0, 1122.0, 36.0], shoonya_1sA1DLMS3JYALJ, 5689139]
[reference, [368.0, 1651.0, 1122.0, 36.0], shoonya_1sA1DLMS3JYALJ, 5689139]
[reference, [368.0, 1687.0, 1122.0, 36.0], shoonya_1sA1DLMS3JYALJ, 5689139]
[reference, [368.0, 1723.0, 1122.0, 36.0], shoonya_1sA1DLMS3JYALJ, 5689139]
[reference, [368.0, 1759.0, 1122.0, 36.0], shoonya_1sA1DLMS3JYALJ, 5689139]
[reference, [368.0, 1795.0, 1122.0, 36.0], shoonya_1sA1DLMS3JYALJ, 5689139]
[reference, [368.0, 1831.0, 1122.0, 36.0], shoonya_1sA1DLMS3JYALJ, 5689139]
[reference, [368.0, 1867.0, 1122.0, 36.0], shoonya_1sA1DLMS3JYALJ, 5689139]
[reference, [368.0, 1903.0, 1122.0, 36.0], shoonya_1sA1DLMS3JYALJ, 5689139]
