[2359, 1648]
[unordered-list, [315.0, 179.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 215.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 251.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 287.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 323.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 359.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 395.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 431.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 467.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 503.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 539.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 575.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 611.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 647.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 683.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 719.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 755.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 791.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 827.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 863.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 899.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 935.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 971.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 1007.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 1043.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 1079.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 1115.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 1151.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 1187.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 1223.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 1259.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 1295.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 1331.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 1367.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 1403.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 1439.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 1475.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 1511.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[unordered-list, [315.0, 1547.0, 1221.0, 36.0], shoonya_0sO00181R0MJJ9, 5734179]
[paragraph, [323.0, 1621.0, 1184.0, 36.0], shoonya_3sFDLGF6O0ULPE, 5734179]
[paragraph, [323.0, 1657.0, 1184.0, 36.0], shoonya_3sFDLGF6O0ULPE, 5734179]
[paragraph, [323.0, 1693.0, 1184.0, 36.0], shoonya_3sFDLGF6O0ULPE, 5734179]
[paragraph, [323.0, 1729.0, 1184.0, 36.0], shoonya_3sFDLGF6O0ULPE, 5734179]
[paragraph, [322.0, 1840.0, 1188.0, 36.0], shoonya_2s6359IBV0FSXN, 5734179]
[paragraph, [322.0, 1876.0, 1188.0, 36.0], shoonya_2s6359IBV0FSXN, 5734179]
[paragraph, [322.0, 1912.0, 1188.0, 36.0], shoonya_2s6359IBV0FSXN, 5734179]
