[2640, 2040]
[dateline, [455.0, 133.0, 159.0, 64.5], HFVo9fhA7w, 5694524]
[paragraph, [182.0, 239.0, 811.0, 46.5], shoonya_6sZPSP1JLPVK7A, 5694524]
[paragraph, [182.0, 285.5, 811.0, 46.5], shoonya_6sZPSP1JLPVK7A, 5694524]
[paragraph, [182.0, 332.0, 811.0, 46.5], shoonya_6sZPSP1JLPVK7A, 5694524]
[paragraph, [162.0, 370.0, 846.0, 46.5], iZgJ3Z21kF, 5694524]
[paragraph, [162.0, 416.5, 846.0, 46.5], iZgJ3Z21kF, 5694524]
[paragraph, [162.0, 463.0, 846.0, 46.5], iZgJ3Z21kF, 5694524]
[paragraph, [162.0, 509.5, 846.0, 46.5], iZgJ3Z21kF, 5694524]
[paragraph, [162.0, 556.0, 846.0, 46.5], iZgJ3Z21kF, 5694524]
[paragraph, [162.0, 602.5, 846.0, 46.5], iZgJ3Z21kF, 5694524]
[paragraph, [162.0, 649.0, 846.0, 46.5], iZgJ3Z21kF, 5694524]
[paragraph, [162.0, 695.5, 846.0, 46.5], iZgJ3Z21kF, 5694524]
[paragraph, [162.0, 742.0, 846.0, 46.5], iZgJ3Z21kF, 5694524]
[paragraph, [162.0, 788.5, 846.0, 46.5], iZgJ3Z21kF, 5694524]
[paragraph, [162.0, 835.0, 846.0, 46.5], iZgJ3Z21kF, 5694524]
[paragraph, [162.0, 881.5, 846.0, 46.5], iZgJ3Z21kF, 5694524]
[paragraph, [162.0, 928.0, 846.0, 46.5], iZgJ3Z21kF, 5694524]
[paragraph, [171.0, 976.0, 830.0, 46.5], shoonya_0s2ORUCFDWWGL3, 5694524]
[paragraph, [171.0, 1022.5, 830.0, 46.5], shoonya_0s2ORUCFDWWGL3, 5694524]
[paragraph, [171.0, 1069.0, 830.0, 46.5], shoonya_0s2ORUCFDWWGL3, 5694524]
[paragraph, [171.0, 1115.5, 830.0, 46.5], shoonya_0s2ORUCFDWWGL3, 5694524]
[paragraph, [171.0, 1162.0, 830.0, 46.5], shoonya_0s2ORUCFDWWGL3, 5694524]
[paragraph, [171.0, 1208.5, 830.0, 46.5], shoonya_0s2ORUCFDWWGL3, 5694524]
[paragraph, [171.0, 1255.0, 830.0, 46.5], shoonya_0s2ORUCFDWWGL3, 5694524]
[paragraph, [171.0, 1301.5, 830.0, 46.5], shoonya_0s2ORUCFDWWGL3, 5694524]
[paragraph, [1062.0, 1072.0, 600.0, 46.5], shoonya_3sSR53MKCCEA18, 5694524]
[paragraph, [1062.0, 1118.5, 600.0, 46.5], shoonya_3sSR53MKCCEA18, 5694524]
[paragraph, [1062.0, 1165.0, 600.0, 46.5], shoonya_3sSR53MKCCEA18, 5694524]
[paragraph, [1062.0, 1211.5, 600.0, 46.5], shoonya_3sSR53MKCCEA18, 5694524]
[paragraph, [1062.0, 1258.0, 600.0, 46.5], shoonya_3sSR53MKCCEA18, 5694524]
[paragraph, [1062.0, 1304.5, 600.0, 46.5], shoonya_3sSR53MKCCEA18, 5694524]
[paragraph, [1062.0, 1351.0, 600.0, 46.5], shoonya_3sSR53MKCCEA18, 5694524]
[paragraph, [1062.0, 1397.5, 600.0, 46.5], shoonya_3sSR53MKCCEA18, 5694524]
[paragraph, [1062.0, 1444.0, 600.0, 46.5], shoonya_3sSR53MKCCEA18, 5694524]
[paragraph, [1062.0, 1490.5, 600.0, 46.5], shoonya_3sSR53MKCCEA18, 5694524]
[paragraph, [1062.0, 1537.0, 600.0, 46.5], shoonya_3sSR53MKCCEA18, 5694524]
[paragraph, [1062.0, 1583.5, 600.0, 46.5], shoonya_3sSR53MKCCEA18, 5694524]
[paragraph, [180.0, 1368.0, 799.0, 46.5], shoonya_8s7LW51X3M0W0K, 5694524]
[paragraph, [180.0, 1414.5, 799.0, 46.5], shoonya_8s7LW51X3M0W0K, 5694524]
[paragraph, [180.0, 1461.0, 799.0, 46.5], shoonya_8s7LW51X3M0W0K, 5694524]
[paragraph, [180.0, 1507.5, 799.0, 46.5], shoonya_8s7LW51X3M0W0K, 5694524]
[paragraph, [180.0, 1554.0, 799.0, 46.5], shoonya_8s7LW51X3M0W0K, 5694524]
[paragraph, [180.0, 1600.5, 799.0, 46.5], shoonya_8s7LW51X3M0W0K, 5694524]
[paragraph, [172.0, 1636.0, 835.0, 46.5], shoonya_9sOI1EGX57C2E8, 5694524]
[paragraph, [172.0, 1682.5, 835.0, 46.5], shoonya_9sOI1EGX57C2E8, 5694524]
