[1326, 829]
[folio, [348.0, 72.0, 136.0, 18.0], S6tXlAv6Mx, 5770172]
[folio, [348.0, 90.0, 136.0, 18.0], S6tXlAv6Mx, 5770172]
[paragraph, [421.0, 131.0, 334.0, 18.0], cKBUu09JPC, 5770172]
[paragraph, [421.0, 149.0, 334.0, 18.0], cKBUu09JPC, 5770172]
[paragraph, [421.0, 167.0, 334.0, 18.0], cKBUu09JPC, 5770172]
[paragraph, [421.0, 185.0, 334.0, 18.0], cKBUu09JPC, 5770172]
[paragraph, [421.0, 203.0, 334.0, 18.0], cKBUu09JPC, 5770172]
[paragraph, [421.0, 221.0, 334.0, 18.0], cKBUu09JPC, 5770172]
[paragraph, [421.0, 239.0, 334.0, 18.0], cKBUu09JPC, 5770172]
[paragraph, [421.0, 257.0, 334.0, 18.0], cKBUu09JPC, 5770172]
[paragraph, [421.0, 275.0, 334.0, 18.0], cKBUu09JPC, 5770172]
[paragraph, [421.0, 293.0, 334.0, 18.0], cKBUu09JPC, 5770172]
[paragraph, [421.0, 311.0, 334.0, 18.0], cKBUu09JPC, 5770172]
[paragraph, [74.0, 145.0, 337.0, 18.0], 4U6sTgHqfV, 5770172]
[paragraph, [74.0, 163.0, 337.0, 18.0], 4U6sTgHqfV, 5770172]
[paragraph, [74.0, 181.0, 337.0, 18.0], 4U6sTgHqfV, 5770172]
[paragraph, [74.0, 199.0, 337.0, 18.0], 4U6sTgHqfV, 5770172]
[paragraph, [74.0, 217.0, 337.0, 18.0], 4U6sTgHqfV, 5770172]
[paragraph, [74.0, 235.0, 337.0, 18.0], 4U6sTgHqfV, 5770172]
[paragraph, [74.0, 253.0, 337.0, 18.0], 4U6sTgHqfV, 5770172]
[paragraph, [139.0, 278.0, 204.0, 18.0], B3QDI2FDR6, 5770172]
[paragraph, [76.0, 301.0, 336.0, 18.0], FuBqmh7KUu, 5770172]
[paragraph, [76.0, 319.0, 336.0, 18.0], FuBqmh7KUu, 5770172]
[paragraph, [76.0, 337.0, 336.0, 18.0], FuBqmh7KUu, 5770172]
[paragraph, [76.0, 355.0, 336.0, 18.0], FuBqmh7KUu, 5770172]
[paragraph, [76.0, 373.0, 336.0, 18.0], FuBqmh7KUu, 5770172]
[paragraph, [76.0, 391.0, 336.0, 18.0], FuBqmh7KUu, 5770172]
[paragraph, [76.0, 409.0, 336.0, 18.0], FuBqmh7KUu, 5770172]
[paragraph, [76.0, 427.0, 336.0, 18.0], FuBqmh7KUu, 5770172]
[paragraph, [76.0, 445.0, 336.0, 18.0], FuBqmh7KUu, 5770172]
[paragraph, [76.0, 463.0, 336.0, 18.0], FuBqmh7KUu, 5770172]
[paragraph, [76.0, 481.0, 336.0, 18.0], FuBqmh7KUu, 5770172]
[paragraph, [420.0, 331.0, 332.0, 18.0], Kh_Nfgmm0H, 5770172]
[section-title, [420.0, 358.0, 138.0, 30.0], vNoJqWc8gt, 5770172]
[paragraph, [420.0, 383.0, 334.0, 18.0], 7Oy6F3bPn-, 5770172]
[paragraph, [420.0, 401.0, 334.0, 18.0], 7Oy6F3bPn-, 5770172]
[paragraph, [420.0, 419.0, 334.0, 18.0], 7Oy6F3bPn-, 5770172]
[paragraph, [420.0, 437.0, 334.0, 18.0], 7Oy6F3bPn-, 5770172]
[paragraph, [420.0, 455.0, 334.0, 18.0], 7Oy6F3bPn-, 5770172]
[paragraph, [420.0, 473.0, 334.0, 18.0], 7Oy6F3bPn-, 5770172]
[paragraph, [420.0, 491.0, 334.0, 18.0], 7Oy6F3bPn-, 5770172]
[paragraph, [76.0, 500.0, 335.0, 18.0], VqkjEfwOxJ, 5770172]
[paragraph, [76.0, 518.0, 335.0, 18.0], VqkjEfwOxJ, 5770172]
[paragraph, [77.0, 548.0, 330.0, 18.0], lntnxrzvHI, 5770172]
[paragraph, [77.0, 566.0, 330.0, 18.0], lntnxrzvHI, 5770172]
[paragraph, [77.0, 584.0, 330.0, 18.0], lntnxrzvHI, 5770172]
[paragraph, [77.0, 602.0, 330.0, 18.0], lntnxrzvHI, 5770172]
[paragraph, [77.0, 620.0, 330.0, 18.0], lntnxrzvHI, 5770172]
[paragraph, [77.0, 638.0, 330.0, 18.0], lntnxrzvHI, 5770172]
[paragraph, [455.0, 553.0, 261.0, 18.0], QAhM8DUf4o, 5770172]
[paragraph, [420.0, 579.0, 331.0, 18.0], XK8Pd-thgR, 5770172]
[paragraph, [420.0, 597.0, 331.0, 18.0], XK8Pd-thgR, 5770172]
[paragraph, [420.0, 615.0, 331.0, 18.0], XK8Pd-thgR, 5770172]
[paragraph, [420.0, 633.0, 331.0, 18.0], XK8Pd-thgR, 5770172]
[paragraph, [420.0, 651.0, 331.0, 18.0], XK8Pd-thgR, 5770172]
[paragraph, [420.0, 669.0, 331.0, 18.0], XK8Pd-thgR, 5770172]
[paragraph, [420.0, 687.0, 331.0, 18.0], XK8Pd-thgR, 5770172]
[paragraph, [420.0, 705.0, 331.0, 18.0], XK8Pd-thgR, 5770172]
[paragraph, [420.0, 723.0, 331.0, 18.0], XK8Pd-thgR, 5770172]
[paragraph, [420.0, 741.0, 331.0, 18.0], XK8Pd-thgR, 5770172]
[paragraph, [420.0, 759.0, 331.0, 18.0], XK8Pd-thgR, 5770172]
[paragraph, [420.0, 777.0, 331.0, 18.0], XK8Pd-thgR, 5770172]
[paragraph, [76.0, 654.0, 337.0, 18.0], 0Wi6kBt5BS, 5770172]
[paragraph, [76.0, 672.0, 337.0, 18.0], 0Wi6kBt5BS, 5770172]
[paragraph, [76.0, 690.0, 337.0, 18.0], 0Wi6kBt5BS, 5770172]
[paragraph, [76.0, 708.0, 337.0, 18.0], 0Wi6kBt5BS, 5770172]
[paragraph, [76.0, 726.0, 337.0, 18.0], 0Wi6kBt5BS, 5770172]
[paragraph, [76.0, 744.0, 337.0, 18.0], 0Wi6kBt5BS, 5770172]
[section-title, [75.0, 761.0, 69.0, 30.0], VprpvfKYbY, 5770172]
[paragraph, [76.0, 788.0, 330.0, 18.0], 1TtO-4E2_M, 5770172]
[paragraph, [76.0, 806.0, 330.0, 18.0], 1TtO-4E2_M, 5770172]
[paragraph, [76.0, 824.0, 330.0, 18.0], 1TtO-4E2_M, 5770172]
[paragraph, [76.0, 842.0, 330.0, 18.0], 1TtO-4E2_M, 5770172]
[paragraph, [76.0, 860.0, 330.0, 18.0], 1TtO-4E2_M, 5770172]
[paragraph, [76.0, 878.0, 330.0, 18.0], 1TtO-4E2_M, 5770172]
[paragraph, [420.0, 801.0, 317.0, 18.0], fkMcCK2r2g, 5770172]
[paragraph, [420.0, 819.0, 317.0, 18.0], fkMcCK2r2g, 5770172]
[paragraph, [420.0, 837.0, 317.0, 18.0], fkMcCK2r2g, 5770172]
[paragraph, [420.0, 855.0, 317.0, 18.0], fkMcCK2r2g, 5770172]
[paragraph, [419.0, 889.0, 329.0, 18.0], bM27tdLBXa, 5770172]
[paragraph, [419.0, 907.0, 329.0, 18.0], bM27tdLBXa, 5770172]
[paragraph, [419.0, 925.0, 329.0, 18.0], bM27tdLBXa, 5770172]
[paragraph, [419.0, 943.0, 329.0, 18.0], bM27tdLBXa, 5770172]
[paragraph, [72.0, 897.0, 336.0, 18.0], bBMwYk4B4h, 5770172]
[paragraph, [72.0, 915.0, 336.0, 18.0], bBMwYk4B4h, 5770172]
[paragraph, [72.0, 933.0, 336.0, 18.0], bBMwYk4B4h, 5770172]
[paragraph, [72.0, 951.0, 336.0, 18.0], bBMwYk4B4h, 5770172]
[paragraph, [72.0, 969.0, 336.0, 18.0], bBMwYk4B4h, 5770172]
[paragraph, [72.0, 987.0, 336.0, 18.0], bBMwYk4B4h, 5770172]
[paragraph, [72.0, 1005.0, 336.0, 18.0], bBMwYk4B4h, 5770172]
[paragraph, [72.0, 1023.0, 336.0, 18.0], bBMwYk4B4h, 5770172]
[paragraph, [72.0, 1041.0, 336.0, 18.0], bBMwYk4B4h, 5770172]
[paragraph, [72.0, 1059.0, 336.0, 18.0], bBMwYk4B4h, 5770172]
[paragraph, [72.0, 1077.0, 336.0, 18.0], bBMwYk4B4h, 5770172]
[paragraph, [417.0, 976.0, 327.0, 18.0], EOOm8sX0co, 5770172]
[paragraph, [417.0, 994.0, 327.0, 18.0], EOOm8sX0co, 5770172]
[paragraph, [417.0, 1012.0, 327.0, 18.0], EOOm8sX0co, 5770172]
[paragraph, [417.0, 1030.0, 327.0, 18.0], EOOm8sX0co, 5770172]
[paragraph, [417.0, 1048.0, 327.0, 18.0], EOOm8sX0co, 5770172]
[paragraph, [417.0, 1066.0, 327.0, 18.0], EOOm8sX0co, 5770172]
[footnote, [74.0, 1089.0, 680.0, 18.0], 7bE0NMgq8T, 5770172]
[footnote, [74.0, 1107.0, 680.0, 18.0], 7bE0NMgq8T, 5770172]
[footnote, [74.0, 1125.0, 680.0, 18.0], 7bE0NMgq8T, 5770172]
[footnote, [74.0, 1143.0, 680.0, 18.0], 7bE0NMgq8T, 5770172]
