[2339, 1653]
[headline, [716.0, 140.0, 226.0, 67.5], vPuoSqWFEb, 5752399]
[author, [1094.0, 306.0, 422.0, 36.0], usjYpNf2U1, 5752399]
[author, [1094.0, 342.0, 422.0, 36.0], usjYpNf2U1, 5752399]
[paragraph, [594.0, 441.0, 914.0, 36.0], shoonya_3s7SE11JF722KS, 5752399]
[paragraph, [594.0, 477.0, 914.0, 36.0], shoonya_3s7SE11JF722KS, 5752399]
[paragraph, [594.0, 513.0, 914.0, 36.0], shoonya_3s7SE11JF722KS, 5752399]
[paragraph, [594.0, 549.0, 914.0, 36.0], shoonya_3s7SE11JF722KS, 5752399]
[paragraph, [594.0, 585.0, 914.0, 36.0], shoonya_3s7SE11JF722KS, 5752399]
[paragraph, [594.0, 621.0, 914.0, 36.0], shoonya_3s7SE11JF722KS, 5752399]
[paragraph, [594.0, 657.0, 914.0, 36.0], shoonya_3s7SE11JF722KS, 5752399]
[paragraph, [594.0, 693.0, 914.0, 36.0], shoonya_3s7SE11JF722KS, 5752399]
[paragraph, [594.0, 729.0, 914.0, 36.0], shoonya_3s7SE11JF722KS, 5752399]
[paragraph, [594.0, 765.0, 914.0, 36.0], shoonya_3s7SE11JF722KS, 5752399]
[paragraph, [594.0, 801.0, 914.0, 36.0], shoonya_3s7SE11JF722KS, 5752399]
[paragraph, [590.0, 893.0, 910.0, 36.0], 6bdJjyY2Kq, 5752399]
[paragraph, [590.0, 929.0, 910.0, 36.0], 6bdJjyY2Kq, 5752399]
[paragraph, [142.0, 976.0, 1363.0, 36.0], GzcUKxLMU9, 5752399]
[paragraph, [142.0, 1012.0, 1363.0, 36.0], GzcUKxLMU9, 5752399]
[paragraph, [142.0, 1048.0, 1363.0, 36.0], GzcUKxLMU9, 5752399]
[paragraph, [142.0, 1084.0, 1363.0, 36.0], GzcUKxLMU9, 5752399]
[paragraph, [142.0, 1120.0, 1363.0, 36.0], GzcUKxLMU9, 5752399]
[paragraph, [142.0, 1156.0, 1363.0, 36.0], GzcUKxLMU9, 5752399]
[paragraph, [142.0, 1192.0, 1363.0, 36.0], GzcUKxLMU9, 5752399]
[paragraph, [142.0, 1228.0, 1363.0, 36.0], GzcUKxLMU9, 5752399]
[paragraph, [142.0, 1264.0, 1363.0, 36.0], GzcUKxLMU9, 5752399]
[paragraph, [144.0, 1347.0, 1359.0, 36.0], shoonya_2sHAQKGZGFWKZU, 5752399]
[paragraph, [144.0, 1383.0, 1359.0, 36.0], shoonya_2sHAQKGZGFWKZU, 5752399]
[paragraph, [144.0, 1419.0, 1359.0, 36.0], shoonya_2sHAQKGZGFWKZU, 5752399]
[paragraph, [144.0, 1455.0, 1359.0, 36.0], shoonya_2sHAQKGZGFWKZU, 5752399]
[paragraph, [144.0, 1491.0, 1359.0, 36.0], shoonya_2sHAQKGZGFWKZU, 5752399]
[paragraph, [144.0, 1527.0, 1359.0, 36.0], shoonya_2sHAQKGZGFWKZU, 5752399]
[paragraph, [144.0, 1563.0, 1359.0, 36.0], shoonya_2sHAQKGZGFWKZU, 5752399]
[paragraph, [144.0, 1599.0, 1359.0, 36.0], shoonya_2sHAQKGZGFWKZU, 5752399]
[paragraph, [144.0, 1635.0, 1359.0, 36.0], shoonya_2sHAQKGZGFWKZU, 5752399]
[paragraph, [140.0, 1697.0, 1377.0, 36.0], gXbyrvkn52, 5752399]
[paragraph, [140.0, 1733.0, 1377.0, 36.0], gXbyrvkn52, 5752399]
[paragraph, [140.0, 1769.0, 1377.0, 36.0], gXbyrvkn52, 5752399]
[paragraph, [140.0, 1805.0, 1377.0, 36.0], gXbyrvkn52, 5752399]
[paragraph, [140.0, 1841.0, 1377.0, 36.0], gXbyrvkn52, 5752399]
[paragraph, [140.0, 1877.0, 1377.0, 36.0], gXbyrvkn52, 5752399]
[paragraph, [140.0, 1913.0, 1377.0, 36.0], gXbyrvkn52, 5752399]
[paragraph, [140.0, 1949.0, 1377.0, 36.0], gXbyrvkn52, 5752399]
[paragraph, [140.0, 1985.0, 1377.0, 36.0], gXbyrvkn52, 5752399]
[paragraph, [140.0, 2021.0, 1377.0, 36.0], gXbyrvkn52, 5752399]
