[1625, 1211]
[paragraph, [109.0, 86.0, 271.0, 36.0], ZKxv3i-Nct, 5742188]
[paragraph, [794.0, 88.0, 340.0, 36.0], shoonya_2sAT5LHAMI0YK3, 5742188]
[paragraph, [794.0, 124.0, 340.0, 36.0], shoonya_2sAT5LHAMI0YK3, 5742188]
[paragraph, [794.0, 160.0, 340.0, 36.0], shoonya_2sAT5LHAMI0YK3, 5742188]
[paragraph, [433.0, 90.0, 336.0, 36.0], shoonya_4sJIN0PAZZPBPO, 5742188]
[paragraph, [433.0, 126.0, 336.0, 36.0], shoonya_4sJIN0PAZZPBPO, 5742188]
[paragraph, [433.0, 162.0, 336.0, 36.0], shoonya_4sJIN0PAZZPBPO, 5742188]
[paragraph, [433.0, 198.0, 336.0, 36.0], shoonya_4sJIN0PAZZPBPO, 5742188]
[paragraph, [433.0, 234.0, 336.0, 36.0], shoonya_4sJIN0PAZZPBPO, 5742188]
[paragraph, [433.0, 270.0, 336.0, 36.0], shoonya_4sJIN0PAZZPBPO, 5742188]
[paragraph, [433.0, 306.0, 336.0, 36.0], shoonya_4sJIN0PAZZPBPO, 5742188]
[paragraph, [433.0, 342.0, 336.0, 36.0], shoonya_4sJIN0PAZZPBPO, 5742188]
[paragraph, [433.0, 378.0, 336.0, 36.0], shoonya_4sJIN0PAZZPBPO, 5742188]
[paragraph, [433.0, 414.0, 336.0, 36.0], shoonya_4sJIN0PAZZPBPO, 5742188]
[paragraph, [433.0, 450.0, 336.0, 36.0], shoonya_4sJIN0PAZZPBPO, 5742188]
[paragraph, [72.0, 131.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 167.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 203.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 239.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 275.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 311.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 347.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 383.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 419.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 455.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 491.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 527.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 563.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 599.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 635.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 671.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 707.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 743.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 779.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 815.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 851.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 887.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 923.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 959.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 995.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 1031.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 1067.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 1103.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 1139.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 1175.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 1211.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 1247.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 1283.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 1319.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 1355.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 1391.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [72.0, 1427.0, 349.0, 36.0], tgdtxlTPGK, 5742188]
[paragraph, [787.0, 213.0, 334.0, 36.0], 6PlJg0uepU, 5742188]
[paragraph, [787.0, 249.0, 334.0, 36.0], 6PlJg0uepU, 5742188]
[paragraph, [787.0, 285.0, 334.0, 36.0], 6PlJg0uepU, 5742188]
[paragraph, [787.0, 321.0, 334.0, 36.0], 6PlJg0uepU, 5742188]
[paragraph, [787.0, 357.0, 334.0, 36.0], 6PlJg0uepU, 5742188]
[paragraph, [787.0, 393.0, 334.0, 36.0], 6PlJg0uepU, 5742188]
[paragraph, [787.0, 429.0, 334.0, 36.0], 6PlJg0uepU, 5742188]
[paragraph, [787.0, 465.0, 334.0, 36.0], 6PlJg0uepU, 5742188]
[paragraph, [787.0, 501.0, 334.0, 36.0], 6PlJg0uepU, 5742188]
[paragraph, [787.0, 537.0, 334.0, 36.0], 6PlJg0uepU, 5742188]
[paragraph, [787.0, 573.0, 334.0, 36.0], 6PlJg0uepU, 5742188]
[paragraph, [787.0, 609.0, 334.0, 36.0], 6PlJg0uepU, 5742188]
[paragraph, [787.0, 645.0, 334.0, 36.0], 6PlJg0uepU, 5742188]
[paragraph, [787.0, 681.0, 334.0, 36.0], 6PlJg0uepU, 5742188]
[paragraph, [787.0, 717.0, 334.0, 36.0], 6PlJg0uepU, 5742188]
[paragraph, [787.0, 753.0, 334.0, 36.0], 6PlJg0uepU, 5742188]
[paragraph, [787.0, 789.0, 334.0, 36.0], 6PlJg0uepU, 5742188]
