[889, 615]
[section-title, [184.0, 15.0, 266.0, 30.0], shoonya_0s7PCFEATVJQE4, 5705430]
[section-title, [184.0, 45.0, 266.0, 30.0], shoonya_0s7PCFEATVJQE4, 5705430]
[sub-section-title, [221.0, 98.0, 199.0, 25.5], gsDHH8kO5a, 5705430]
[ordered-list, [8.0, 171.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 189.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 207.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 225.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 243.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 261.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 279.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 297.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 315.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 333.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 351.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 369.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 387.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 405.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 423.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 441.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 459.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 477.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 495.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 513.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 531.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 549.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 567.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 585.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 603.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 621.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 639.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 657.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 675.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 693.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 711.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 729.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 747.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 765.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 783.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 801.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 819.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 837.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
[ordered-list, [8.0, 855.0, 606.0, 18.0], ezXBXzuPIF, 5705430]
