[1613, 1152]
[folio, [445.0, 82.0, 252.0, 36.0], QNq6M_43Sl, 5722557]
[paragraph, [768.0, 125.0, 298.0, 36.0], shoonya_3s6HQCS48B6JDP, 5722557]
[paragraph, [768.0, 161.0, 298.0, 36.0], shoonya_3s6HQCS48B6JDP, 5722557]
[paragraph, [768.0, 197.0, 298.0, 36.0], shoonya_3s6HQCS48B6JDP, 5722557]
[paragraph, [768.0, 233.0, 298.0, 36.0], shoonya_3s6HQCS48B6JDP, 5722557]
[paragraph, [768.0, 269.0, 298.0, 36.0], shoonya_3s6HQCS48B6JDP, 5722557]
[paragraph, [768.0, 305.0, 298.0, 36.0], shoonya_3s6HQCS48B6JDP, 5722557]
[paragraph, [768.0, 341.0, 298.0, 36.0], shoonya_3s6HQCS48B6JDP, 5722557]
[paragraph, [768.0, 377.0, 298.0, 36.0], shoonya_3s6HQCS48B6JDP, 5722557]
[paragraph, [770.0, 442.0, 297.0, 36.0], shoonya_1sZQDYCS9D83E7, 5722557]
[paragraph, [770.0, 478.0, 297.0, 36.0], shoonya_1sZQDYCS9D83E7, 5722557]
[paragraph, [770.0, 514.0, 297.0, 36.0], shoonya_1sZQDYCS9D83E7, 5722557]
[paragraph, [770.0, 550.0, 297.0, 36.0], shoonya_1sZQDYCS9D83E7, 5722557]
[paragraph, [770.0, 586.0, 297.0, 36.0], shoonya_1sZQDYCS9D83E7, 5722557]
[paragraph, [770.0, 622.0, 297.0, 36.0], shoonya_1sZQDYCS9D83E7, 5722557]
[paragraph, [770.0, 658.0, 297.0, 36.0], shoonya_1sZQDYCS9D83E7, 5722557]
[paragraph, [770.0, 694.0, 297.0, 36.0], shoonya_1sZQDYCS9D83E7, 5722557]
[paragraph, [770.0, 730.0, 297.0, 36.0], shoonya_1sZQDYCS9D83E7, 5722557]
[paragraph, [770.0, 766.0, 297.0, 36.0], shoonya_1sZQDYCS9D83E7, 5722557]
[paragraph, [770.0, 802.0, 297.0, 36.0], shoonya_1sZQDYCS9D83E7, 5722557]
[paragraph, [770.0, 838.0, 297.0, 36.0], shoonya_1sZQDYCS9D83E7, 5722557]
[paragraph, [770.0, 874.0, 297.0, 36.0], shoonya_1sZQDYCS9D83E7, 5722557]
[paragraph, [770.0, 910.0, 297.0, 36.0], shoonya_1sZQDYCS9D83E7, 5722557]
[paragraph, [770.0, 946.0, 297.0, 36.0], shoonya_1sZQDYCS9D83E7, 5722557]
[headline, [101.0, 813.0, 613.0, 37.5], shoonya_6sD5TSTYCEA303, 5722557]
[paragraph, [201.0, 889.0, 474.0, 36.0], 0R0dMpcUNw, 5722557]
[paragraph, [201.0, 925.0, 474.0, 36.0], 0R0dMpcUNw, 5722557]
[paragraph, [201.0, 961.0, 474.0, 36.0], 0R0dMpcUNw, 5722557]
[paragraph, [201.0, 997.0, 474.0, 36.0], 0R0dMpcUNw, 5722557]
[paragraph, [201.0, 1033.0, 474.0, 36.0], 0R0dMpcUNw, 5722557]
[paragraph, [201.0, 1069.0, 474.0, 36.0], 0R0dMpcUNw, 5722557]
[paragraph, [201.0, 1105.0, 474.0, 36.0], 0R0dMpcUNw, 5722557]
[paragraph, [201.0, 1141.0, 474.0, 36.0], 0R0dMpcUNw, 5722557]
[paragraph, [770.0, 1010.0, 296.0, 36.0], shoonya_2s685KMFGPCKM6, 5722557]
[paragraph, [770.0, 1046.0, 296.0, 36.0], shoonya_2s685KMFGPCKM6, 5722557]
[paragraph, [770.0, 1082.0, 296.0, 36.0], shoonya_2s685KMFGPCKM6, 5722557]
[paragraph, [770.0, 1118.0, 296.0, 36.0], shoonya_2s685KMFGPCKM6, 5722557]
[paragraph, [770.0, 1154.0, 296.0, 36.0], shoonya_2s685KMFGPCKM6, 5722557]
[paragraph, [770.0, 1190.0, 296.0, 36.0], shoonya_2s685KMFGPCKM6, 5722557]
[paragraph, [770.0, 1226.0, 296.0, 36.0], shoonya_2s685KMFGPCKM6, 5722557]
[paragraph, [770.0, 1262.0, 296.0, 36.0], shoonya_2s685KMFGPCKM6, 5722557]
[paragraph, [770.0, 1298.0, 296.0, 36.0], shoonya_2s685KMFGPCKM6, 5722557]
[paragraph, [770.0, 1334.0, 296.0, 36.0], shoonya_2s685KMFGPCKM6, 5722557]
[paragraph, [770.0, 1370.0, 296.0, 36.0], shoonya_2s685KMFGPCKM6, 5722557]
[paragraph, [770.0, 1406.0, 296.0, 36.0], shoonya_2s685KMFGPCKM6, 5722557]
[paragraph, [87.0, 1208.0, 668.0, 36.0], shoonya_4s52Q0RVTPNRK2, 5722557]
[paragraph, [87.0, 1244.0, 668.0, 36.0], shoonya_4s52Q0RVTPNRK2, 5722557]
[paragraph, [87.0, 1280.0, 668.0, 36.0], shoonya_4s52Q0RVTPNRK2, 5722557]
[paragraph, [87.0, 1316.0, 668.0, 36.0], shoonya_4s52Q0RVTPNRK2, 5722557]
[paragraph, [87.0, 1352.0, 668.0, 36.0], shoonya_4s52Q0RVTPNRK2, 5722557]
[paragraph, [87.0, 1388.0, 668.0, 36.0], shoonya_4s52Q0RVTPNRK2, 5722557]
[paragraph, [87.0, 1424.0, 668.0, 36.0], shoonya_4s52Q0RVTPNRK2, 5722557]
[footnote, [357.0, 1479.0, 441.0, 36.0], AMMrQZaOXT, 5722557]
