[3020, 1800]
[headline, [139.0, 1968.0, 701.0, 52.5], YdAHrezSJ8, 5693752]
[headline, [139.0, 2020.5, 701.0, 52.5], YdAHrezSJ8, 5693752]
[headline, [139.0, 2073.0, 701.0, 52.5], YdAHrezSJ8, 5693752]
[headline, [139.0, 2125.5, 701.0, 52.5], YdAHrezSJ8, 5693752]
[answer, [919.0, 2004.0, 721.0, 52.5], m8zfMePFSv, 5693752]
[answer, [919.0, 2056.5, 721.0, 52.5], m8zfMePFSv, 5693752]
[answer, [919.0, 2109.0, 721.0, 52.5], m8zfMePFSv, 5693752]
[answer, [919.0, 2161.5, 721.0, 52.5], m8zfMePFSv, 5693752]
[answer, [919.0, 2214.0, 721.0, 52.5], m8zfMePFSv, 5693752]
[answer, [919.0, 2266.5, 721.0, 52.5], m8zfMePFSv, 5693752]
[answer, [919.0, 2319.0, 721.0, 52.5], m8zfMePFSv, 5693752]
[answer, [919.0, 2371.5, 721.0, 52.5], m8zfMePFSv, 5693752]
[answer, [919.0, 2424.0, 721.0, 52.5], m8zfMePFSv, 5693752]
[answer, [919.0, 2476.5, 721.0, 52.5], m8zfMePFSv, 5693752]
[paragraph, [157.0, 2229.0, 728.0, 52.5], DYCNxt3X3L, 5693752]
[paragraph, [157.0, 2281.5, 728.0, 52.5], DYCNxt3X3L, 5693752]
[paragraph, [157.0, 2334.0, 728.0, 52.5], DYCNxt3X3L, 5693752]
[paragraph, [157.0, 2386.5, 728.0, 52.5], DYCNxt3X3L, 5693752]
[paragraph, [157.0, 2439.0, 728.0, 52.5], DYCNxt3X3L, 5693752]
[paragraph, [157.0, 2491.5, 728.0, 52.5], DYCNxt3X3L, 5693752]
[paragraph, [157.0, 2544.0, 728.0, 52.5], DYCNxt3X3L, 5693752]
[paragraph, [157.0, 2596.5, 728.0, 52.5], DYCNxt3X3L, 5693752]
[paragraph, [921.0, 2550.0, 730.0, 52.5], -wibrh1ipp, 5693752]
[paragraph, [921.0, 2602.5, 730.0, 52.5], -wibrh1ipp, 5693752]
[paragraph, [921.0, 2655.0, 730.0, 52.5], -wibrh1ipp, 5693752]
[paragraph, [921.0, 2707.5, 730.0, 52.5], -wibrh1ipp, 5693752]
