[792, 612]
[section-title, [354.0, 62.0, 173.0, 30.0], shoonya_7sTSVD1GVY6T3L, 5654682]
[paragraph, [347.0, 136.0, 214.0, 18.0], shoonya_0sGCB2ULW66NYF, 5654682]
[paragraph, [347.0, 154.0, 214.0, 18.0], shoonya_0sGCB2ULW66NYF, 5654682]
[paragraph, [347.0, 172.0, 214.0, 18.0], shoonya_0sGCB2ULW66NYF, 5654682]
[paragraph, [347.0, 190.0, 214.0, 18.0], shoonya_0sGCB2ULW66NYF, 5654682]
[paragraph, [347.0, 208.0, 214.0, 18.0], shoonya_0sGCB2ULW66NYF, 5654682]
[paragraph, [347.0, 226.0, 214.0, 18.0], shoonya_0sGCB2ULW66NYF, 5654682]
[paragraph, [347.0, 244.0, 214.0, 18.0], shoonya_0sGCB2ULW66NYF, 5654682]
[paragraph, [347.0, 262.0, 214.0, 18.0], shoonya_0sGCB2ULW66NYF, 5654682]
[paragraph, [347.0, 280.0, 214.0, 18.0], shoonya_0sGCB2ULW66NYF, 5654682]
[paragraph, [347.0, 298.0, 214.0, 18.0], shoonya_0sGCB2ULW66NYF, 5654682]
[paragraph, [347.0, 316.0, 214.0, 18.0], shoonya_0sGCB2ULW66NYF, 5654682]
[paragraph, [347.0, 334.0, 214.0, 18.0], shoonya_0sGCB2ULW66NYF, 5654682]
[paragraph, [347.0, 352.0, 214.0, 18.0], shoonya_0sGCB2ULW66NYF, 5654682]
[paragraph, [347.0, 370.0, 214.0, 18.0], shoonya_0sGCB2ULW66NYF, 5654682]
[section-title, [353.0, 449.0, 199.0, 30.0], shoonya_3s5N3IEX65GN30, 5654682]
[contact-info, [350.0, 491.0, 201.0, 18.0], D0jhbpJJpu, 5654682]
[paragraph, [354.0, 533.0, 202.0, 18.0], shoonya_1sWHQ3BUCO88AV, 5654682]
[paragraph, [354.0, 551.0, 202.0, 18.0], shoonya_1sWHQ3BUCO88AV, 5654682]
[paragraph, [354.0, 569.0, 202.0, 18.0], shoonya_1sWHQ3BUCO88AV, 5654682]
[paragraph, [354.0, 587.0, 202.0, 18.0], shoonya_1sWHQ3BUCO88AV, 5654682]
[paragraph, [354.0, 605.0, 202.0, 18.0], shoonya_1sWHQ3BUCO88AV, 5654682]
[paragraph, [354.0, 623.0, 202.0, 18.0], shoonya_1sWHQ3BUCO88AV, 5654682]
[paragraph, [354.0, 641.0, 202.0, 18.0], shoonya_1sWHQ3BUCO88AV, 5654682]
[paragraph, [354.0, 659.0, 202.0, 18.0], shoonya_1sWHQ3BUCO88AV, 5654682]
[paragraph, [354.0, 677.0, 202.0, 18.0], shoonya_1sWHQ3BUCO88AV, 5654682]
[paragraph, [354.0, 695.0, 202.0, 18.0], shoonya_1sWHQ3BUCO88AV, 5654682]
[folio, [475.0, 736.0, 59.0, 18.0], 8H1OAdtf5D, 5654682]
