[2020, 1545]
[folio, [40.0, 48.0, 183.0, 36.0], -qktLFJa2S, 5712404]
[paragraph, [756.0, 136.0, 705.0, 36.0], 1aFqxLeHMI, 5712404]
[paragraph, [756.0, 172.0, 705.0, 36.0], 1aFqxLeHMI, 5712404]
[paragraph, [756.0, 208.0, 705.0, 36.0], 1aFqxLeHMI, 5712404]
[paragraph, [96.0, 172.0, 653.0, 36.0], shoonya_8s831BH4QCLNYC, 5712404]
[paragraph, [96.0, 208.0, 653.0, 36.0], shoonya_8s831BH4QCLNYC, 5712404]
[paragraph, [96.0, 244.0, 653.0, 36.0], shoonya_8s831BH4QCLNYC, 5712404]
[paragraph, [96.0, 280.0, 653.0, 36.0], shoonya_8s831BH4QCLNYC, 5712404]
[paragraph, [96.0, 316.0, 653.0, 36.0], shoonya_8s831BH4QCLNYC, 5712404]
[paragraph, [96.0, 352.0, 653.0, 36.0], shoonya_8s831BH4QCLNYC, 5712404]
[paragraph, [96.0, 388.0, 653.0, 36.0], shoonya_8s831BH4QCLNYC, 5712404]
[paragraph, [96.0, 424.0, 653.0, 36.0], shoonya_8s831BH4QCLNYC, 5712404]
[paragraph, [750.0, 272.0, 711.0, 36.0], pjS86BYA2D, 5712404]
[paragraph, [750.0, 308.0, 711.0, 36.0], pjS86BYA2D, 5712404]
[paragraph, [750.0, 344.0, 711.0, 36.0], pjS86BYA2D, 5712404]
[paragraph, [750.0, 380.0, 711.0, 36.0], pjS86BYA2D, 5712404]
[paragraph, [750.0, 416.0, 711.0, 36.0], pjS86BYA2D, 5712404]
[paragraph, [750.0, 452.0, 711.0, 36.0], pjS86BYA2D, 5712404]
[paragraph, [750.0, 488.0, 711.0, 36.0], pjS86BYA2D, 5712404]
[paragraph, [750.0, 524.0, 711.0, 36.0], pjS86BYA2D, 5712404]
[paragraph, [750.0, 560.0, 711.0, 36.0], pjS86BYA2D, 5712404]
[paragraph, [89.0, 469.0, 659.0, 36.0], shoonya_3s8XP9ZY9V0Z1K, 5712404]
[paragraph, [89.0, 505.0, 659.0, 36.0], shoonya_3s8XP9ZY9V0Z1K, 5712404]
[paragraph, [89.0, 541.0, 659.0, 36.0], shoonya_3s8XP9ZY9V0Z1K, 5712404]
[paragraph, [89.0, 577.0, 659.0, 36.0], shoonya_3s8XP9ZY9V0Z1K, 5712404]
[paragraph, [89.0, 613.0, 659.0, 36.0], shoonya_3s8XP9ZY9V0Z1K, 5712404]
[paragraph, [89.0, 649.0, 659.0, 36.0], shoonya_3s8XP9ZY9V0Z1K, 5712404]
[paragraph, [89.0, 685.0, 659.0, 36.0], shoonya_3s8XP9ZY9V0Z1K, 5712404]
[paragraph, [89.0, 721.0, 659.0, 36.0], shoonya_3s8XP9ZY9V0Z1K, 5712404]
[paragraph, [743.0, 597.0, 536.0, 36.0], i4gPxQQ8Kd, 5712404]
[paragraph, [743.0, 633.0, 536.0, 36.0], i4gPxQQ8Kd, 5712404]
[reference, [755.0, 704.0, 521.0, 36.0], O1b1L6_xu0, 5712404]
[reference, [755.0, 740.0, 521.0, 36.0], O1b1L6_xu0, 5712404]
[paragraph, [88.0, 757.0, 669.0, 36.0], shoonya_2sIC3GTLSW90AA, 5712404]
[paragraph, [88.0, 793.0, 669.0, 36.0], shoonya_2sIC3GTLSW90AA, 5712404]
[paragraph, [88.0, 829.0, 669.0, 36.0], shoonya_2sIC3GTLSW90AA, 5712404]
[paragraph, [88.0, 865.0, 669.0, 36.0], shoonya_2sIC3GTLSW90AA, 5712404]
[paragraph, [88.0, 901.0, 669.0, 36.0], shoonya_2sIC3GTLSW90AA, 5712404]
[reference, [755.0, 791.0, 702.0, 36.0], po5HuOpUqY, 5712404]
[folio, [748.0, 860.0, 202.0, 36.0], v3Q0MltpPz, 5712404]
[paragraph, [746.0, 905.0, 713.0, 36.0], shoonya_6sKC48U4OLQGMU, 5712404]
[paragraph, [86.0, 957.0, 673.0, 36.0], shoonya_0sEKR6F46O45O8, 5712404]
[paragraph, [86.0, 993.0, 673.0, 36.0], shoonya_0sEKR6F46O45O8, 5712404]
[paragraph, [86.0, 1029.0, 673.0, 36.0], shoonya_0sEKR6F46O45O8, 5712404]
[paragraph, [86.0, 1065.0, 673.0, 36.0], shoonya_0sEKR6F46O45O8, 5712404]
[paragraph, [86.0, 1101.0, 673.0, 36.0], shoonya_0sEKR6F46O45O8, 5712404]
[paragraph, [86.0, 1137.0, 673.0, 36.0], shoonya_0sEKR6F46O45O8, 5712404]
[paragraph, [86.0, 1173.0, 673.0, 36.0], shoonya_0sEKR6F46O45O8, 5712404]
[paragraph, [86.0, 1209.0, 673.0, 36.0], shoonya_0sEKR6F46O45O8, 5712404]
[paragraph, [86.0, 1245.0, 673.0, 36.0], shoonya_0sEKR6F46O45O8, 5712404]
[paragraph, [759.0, 972.0, 700.0, 36.0], Davwm3-SV5, 5712404]
[paragraph, [759.0, 1008.0, 700.0, 36.0], Davwm3-SV5, 5712404]
[paragraph, [759.0, 1044.0, 700.0, 36.0], Davwm3-SV5, 5712404]
[paragraph, [759.0, 1080.0, 700.0, 36.0], Davwm3-SV5, 5712404]
[paragraph, [759.0, 1116.0, 700.0, 36.0], Davwm3-SV5, 5712404]
[paragraph, [759.0, 1152.0, 700.0, 36.0], Davwm3-SV5, 5712404]
[paragraph, [759.0, 1188.0, 700.0, 36.0], Davwm3-SV5, 5712404]
[paragraph, [759.0, 1224.0, 700.0, 36.0], Davwm3-SV5, 5712404]
[paragraph, [759.0, 1260.0, 700.0, 36.0], Davwm3-SV5, 5712404]
[paragraph, [759.0, 1296.0, 700.0, 36.0], Davwm3-SV5, 5712404]
[paragraph, [88.0, 1282.0, 665.0, 36.0], PA0m9ftVl5, 5712404]
[paragraph, [88.0, 1318.0, 665.0, 36.0], PA0m9ftVl5, 5712404]
[paragraph, [88.0, 1354.0, 665.0, 36.0], PA0m9ftVl5, 5712404]
[paragraph, [88.0, 1390.0, 665.0, 36.0], PA0m9ftVl5, 5712404]
[paragraph, [88.0, 1426.0, 665.0, 36.0], PA0m9ftVl5, 5712404]
[paragraph, [88.0, 1462.0, 665.0, 36.0], PA0m9ftVl5, 5712404]
[paragraph, [88.0, 1498.0, 665.0, 36.0], PA0m9ftVl5, 5712404]
[paragraph, [88.0, 1534.0, 665.0, 36.0], PA0m9ftVl5, 5712404]
[paragraph, [88.0, 1570.0, 665.0, 36.0], PA0m9ftVl5, 5712404]
[paragraph, [88.0, 1606.0, 665.0, 36.0], PA0m9ftVl5, 5712404]
[paragraph, [88.0, 1642.0, 665.0, 36.0], PA0m9ftVl5, 5712404]
[paragraph, [88.0, 1678.0, 665.0, 36.0], PA0m9ftVl5, 5712404]
[paragraph, [88.0, 1714.0, 665.0, 36.0], PA0m9ftVl5, 5712404]
[paragraph, [88.0, 1750.0, 665.0, 36.0], PA0m9ftVl5, 5712404]
[paragraph, [88.0, 1786.0, 665.0, 36.0], PA0m9ftVl5, 5712404]
[paragraph, [754.0, 1333.0, 711.0, 36.0], boeDZ5R877, 5712404]
[paragraph, [754.0, 1369.0, 711.0, 36.0], boeDZ5R877, 5712404]
[paragraph, [754.0, 1405.0, 711.0, 36.0], boeDZ5R877, 5712404]
