[792, 576]
[section-title, [29.0, 44.0, 397.0, 30.0], shoonya_0s9ZKB8NU1APWS, 5656131]
[paragraph, [15.0, 97.0, 417.0, 18.0], 7G3tA2ti_p, 5656131]
[paragraph, [15.0, 115.0, 417.0, 18.0], 7G3tA2ti_p, 5656131]
[paragraph, [15.0, 133.0, 417.0, 18.0], 7G3tA2ti_p, 5656131]
[paragraph, [15.0, 151.0, 417.0, 18.0], 7G3tA2ti_p, 5656131]
[unordered-list, [10.0, 187.0, 403.0, 18.0], Z00jKe-i8g, 5656131]
[unordered-list, [10.0, 205.0, 403.0, 18.0], Z00jKe-i8g, 5656131]
[unordered-list, [10.0, 223.0, 403.0, 18.0], Z00jKe-i8g, 5656131]
[unordered-list, [10.0, 241.0, 403.0, 18.0], Z00jKe-i8g, 5656131]
[unordered-list, [10.0, 259.0, 403.0, 18.0], Z00jKe-i8g, 5656131]
[unordered-list, [10.0, 277.0, 403.0, 18.0], Z00jKe-i8g, 5656131]
[unordered-list, [10.0, 295.0, 403.0, 18.0], Z00jKe-i8g, 5656131]
[unordered-list, [10.0, 313.0, 403.0, 18.0], Z00jKe-i8g, 5656131]
[unordered-list, [10.0, 331.0, 403.0, 18.0], Z00jKe-i8g, 5656131]
[unordered-list, [10.0, 349.0, 403.0, 18.0], Z00jKe-i8g, 5656131]
[unordered-list, [10.0, 367.0, 403.0, 18.0], Z00jKe-i8g, 5656131]
[unordered-list, [10.0, 385.0, 403.0, 18.0], Z00jKe-i8g, 5656131]
[unordered-list, [10.0, 403.0, 403.0, 18.0], Z00jKe-i8g, 5656131]
[unordered-list, [10.0, 421.0, 403.0, 18.0], Z00jKe-i8g, 5656131]
[unordered-list, [10.0, 439.0, 403.0, 18.0], Z00jKe-i8g, 5656131]
[unordered-list, [10.0, 457.0, 403.0, 18.0], Z00jKe-i8g, 5656131]
[unordered-list, [10.0, 475.0, 403.0, 18.0], Z00jKe-i8g, 5656131]
[unordered-list, [10.0, 493.0, 403.0, 18.0], Z00jKe-i8g, 5656131]
[unordered-list, [10.0, 511.0, 403.0, 18.0], Z00jKe-i8g, 5656131]
[unordered-list, [10.0, 529.0, 403.0, 18.0], Z00jKe-i8g, 5656131]
[unordered-list, [10.0, 547.0, 403.0, 18.0], Z00jKe-i8g, 5656131]
