[2481, 1654]
[folio, [1189.0, 107.0, 115.0, 36.0], shoonya_2sWUYJFZD1LM3K, 5721175]
[paragraph, [173.0, 221.0, 1261.0, 36.0], fCsQqmLKEH, 5721175]
[paragraph, [173.0, 257.0, 1261.0, 36.0], fCsQqmLKEH, 5721175]
[paragraph, [221.0, 322.0, 194.0, 36.0], aZQLnxOBjV, 5721175]
[paragraph, [227.0, 370.0, 698.0, 36.0], uFU-9AvBEP, 5721175]
[paragraph, [229.0, 421.0, 487.0, 36.0], r7ihsG8p0W, 5721175]
[paragraph, [233.0, 471.0, 568.0, 36.0], tBhLTEMVqm, 5721175]
[paragraph, [231.0, 523.0, 605.0, 36.0], OazNbX4vXq, 5721175]
[paragraph, [173.0, 574.0, 1257.0, 36.0], diaC4JsASC, 5721175]
[paragraph, [173.0, 610.0, 1257.0, 36.0], diaC4JsASC, 5721175]
[paragraph, [167.0, 674.0, 1275.0, 36.0], 2gxKiA829a, 5721175]
[paragraph, [167.0, 710.0, 1275.0, 36.0], 2gxKiA829a, 5721175]
[paragraph, [167.0, 746.0, 1275.0, 36.0], 2gxKiA829a, 5721175]
[paragraph, [167.0, 782.0, 1275.0, 36.0], 2gxKiA829a, 5721175]
[paragraph, [169.0, 827.0, 1257.0, 36.0], _LhKIlX0QW, 5721175]
[paragraph, [169.0, 863.0, 1257.0, 36.0], _LhKIlX0QW, 5721175]
[paragraph, [169.0, 928.0, 1263.0, 36.0], sfvPEOldRp, 5721175]
[paragraph, [169.0, 964.0, 1263.0, 36.0], sfvPEOldRp, 5721175]
[paragraph, [165.0, 1025.0, 1263.0, 36.0], ceotzMFJgw, 5721175]
[paragraph, [165.0, 1061.0, 1263.0, 36.0], ceotzMFJgw, 5721175]
[paragraph, [165.0, 1130.0, 891.0, 36.0], E0-JC1Fm1k, 5721175]
[paragraph, [163.0, 1180.0, 1267.0, 36.0], YSo2MoOWAD, 5721175]
[paragraph, [163.0, 1216.0, 1267.0, 36.0], YSo2MoOWAD, 5721175]
[paragraph, [163.0, 1252.0, 1267.0, 36.0], YSo2MoOWAD, 5721175]
[paragraph, [163.0, 1288.0, 1267.0, 36.0], YSo2MoOWAD, 5721175]
[paragraph, [163.0, 1327.0, 1267.0, 36.0], o_fkorUerA, 5721175]
[paragraph, [165.0, 1383.0, 1259.0, 36.0], azpO1qm445, 5721175]
[paragraph, [165.0, 1419.0, 1259.0, 36.0], azpO1qm445, 5721175]
[paragraph, [163.0, 1478.0, 1265.0, 36.0], FRcQME6Msj, 5721175]
[paragraph, [163.0, 1514.0, 1265.0, 36.0], FRcQME6Msj, 5721175]
[paragraph, [229.0, 1581.0, 481.0, 36.0], zfkI7qL_kY, 5721175]
[paragraph, [229.0, 1627.0, 518.0, 36.0], m_pnyj0xWk, 5721175]
[paragraph, [165.0, 1682.0, 1273.0, 36.0], PbUEfud8RT, 5721175]
[paragraph, [165.0, 1718.0, 1273.0, 36.0], PbUEfud8RT, 5721175]
[paragraph, [164.0, 1781.0, 1275.0, 36.0], shoonya_1sZWLUPRWICF2E, 5721175]
[paragraph, [164.0, 1817.0, 1275.0, 36.0], shoonya_1sZWLUPRWICF2E, 5721175]
[paragraph, [164.0, 1853.0, 1275.0, 36.0], shoonya_1sZWLUPRWICF2E, 5721175]
[paragraph, [164.0, 1889.0, 1275.0, 36.0], shoonya_1sZWLUPRWICF2E, 5721175]
[paragraph, [166.0, 1933.0, 1266.0, 36.0], shoonya_3sQG07Z76WQZ3T, 5721175]
[paragraph, [166.0, 1969.0, 1266.0, 36.0], shoonya_3sQG07Z76WQZ3T, 5721175]
[paragraph, [166.0, 2005.0, 1266.0, 36.0], shoonya_3sQG07Z76WQZ3T, 5721175]
[paragraph, [166.0, 2041.0, 1266.0, 36.0], shoonya_3sQG07Z76WQZ3T, 5721175]
[paragraph, [166.0, 2077.0, 1266.0, 36.0], shoonya_3sQG07Z76WQZ3T, 5721175]
[paragraph, [166.0, 2113.0, 1266.0, 36.0], shoonya_3sQG07Z76WQZ3T, 5721175]
[paragraph, [166.0, 2149.0, 1266.0, 36.0], shoonya_3sQG07Z76WQZ3T, 5721175]
