[567, 439]
[chapter-title, [232.0, 140.0, 178.0, 30.0], p1idlSdqwD, 6460630]
[paragraph, [226.0, 184.0, 184.0, 18.0], W5zBs7QtPB, 6460630]
[paragraph, [226.0, 202.0, 184.0, 18.0], W5zBs7QtPB, 6460630]
[paragraph, [32.0, 186.0, 194.0, 18.0], shoonya_0sGM57JXTZ0C3G, 6460630]
[paragraph, [32.0, 204.0, 194.0, 18.0], shoonya_0sGM57JXTZ0C3G, 6460630]
[paragraph, [32.0, 222.0, 194.0, 18.0], shoonya_0sGM57JXTZ0C3G, 6460630]
[paragraph, [32.0, 240.0, 194.0, 18.0], shoonya_0sGM57JXTZ0C3G, 6460630]
[paragraph, [32.0, 258.0, 194.0, 18.0], shoonya_0sGM57JXTZ0C3G, 6460630]
[paragraph, [32.0, 276.0, 194.0, 18.0], shoonya_0sGM57JXTZ0C3G, 6460630]
[paragraph, [32.0, 294.0, 194.0, 18.0], shoonya_0sGM57JXTZ0C3G, 6460630]
[paragraph, [32.0, 312.0, 194.0, 18.0], shoonya_0sGM57JXTZ0C3G, 6460630]
[paragraph, [227.0, 229.0, 188.0, 18.0], VltME4bkuo, 6460630]
[paragraph, [227.0, 247.0, 188.0, 18.0], VltME4bkuo, 6460630]
[paragraph, [227.0, 265.0, 188.0, 18.0], VltME4bkuo, 6460630]
[paragraph, [227.0, 281.0, 188.0, 18.0], DhC6aCoNYJ, 6460630]
[paragraph, [227.0, 299.0, 188.0, 18.0], DhC6aCoNYJ, 6460630]
[paragraph, [227.0, 317.0, 188.0, 18.0], DhC6aCoNYJ, 6460630]
[paragraph, [227.0, 335.0, 188.0, 18.0], DhC6aCoNYJ, 6460630]
[paragraph, [227.0, 353.0, 188.0, 18.0], DhC6aCoNYJ, 6460630]
[paragraph, [227.0, 371.0, 188.0, 18.0], DhC6aCoNYJ, 6460630]
[paragraph, [227.0, 389.0, 188.0, 18.0], DhC6aCoNYJ, 6460630]
[paragraph, [40.0, 338.0, 183.0, 18.0], s4h77YsWSl, 6460630]
[paragraph, [40.0, 356.0, 183.0, 18.0], s4h77YsWSl, 6460630]
[paragraph, [40.0, 374.0, 183.0, 18.0], s4h77YsWSl, 6460630]
[paragraph, [40.0, 392.0, 183.0, 18.0], s4h77YsWSl, 6460630]
[paragraph, [40.0, 410.0, 183.0, 18.0], s4h77YsWSl, 6460630]
[paragraph, [40.0, 428.0, 183.0, 18.0], s4h77YsWSl, 6460630]
[paragraph, [40.0, 446.0, 183.0, 18.0], s4h77YsWSl, 6460630]
[paragraph, [40.0, 464.0, 183.0, 18.0], s4h77YsWSl, 6460630]
[paragraph, [40.0, 482.0, 183.0, 18.0], s4h77YsWSl, 6460630]
[paragraph, [224.0, 412.0, 194.0, 18.0], tcT7ECBClM, 6460630]
[paragraph, [224.0, 430.0, 194.0, 18.0], tcT7ECBClM, 6460630]
[paragraph, [224.0, 448.0, 194.0, 18.0], tcT7ECBClM, 6460630]
[paragraph, [224.0, 466.0, 194.0, 18.0], tcT7ECBClM, 6460630]
[paragraph, [224.0, 484.0, 194.0, 18.0], tcT7ECBClM, 6460630]
[folio, [195.0, 516.0, 53.0, 18.0], yTCo8c8B_z, 6460630]
