[588, 379]
[section-title, [158.0, 95.0, 91.0, 30.0], HT4Z4Tazhh, 6493178]
[paragraph, [41.0, 139.0, 317.0, 18.0], jupr32tfEi, 6493178]
[paragraph, [41.0, 157.0, 317.0, 18.0], jupr32tfEi, 6493178]
[paragraph, [41.0, 175.0, 317.0, 18.0], jupr32tfEi, 6493178]
[paragraph, [41.0, 193.0, 317.0, 18.0], jupr32tfEi, 6493178]
[paragraph, [41.0, 211.0, 317.0, 18.0], jupr32tfEi, 6493178]
[paragraph, [41.0, 229.0, 317.0, 18.0], jupr32tfEi, 6493178]
[paragraph, [41.0, 247.0, 317.0, 18.0], jupr32tfEi, 6493178]
[paragraph, [41.0, 265.0, 317.0, 18.0], jupr32tfEi, 6493178]
[paragraph, [41.0, 283.0, 317.0, 18.0], jupr32tfEi, 6493178]
[paragraph, [41.0, 301.0, 317.0, 18.0], jupr32tfEi, 6493178]
[paragraph, [41.0, 319.0, 317.0, 18.0], jupr32tfEi, 6493178]
[paragraph, [41.0, 337.0, 317.0, 18.0], jupr32tfEi, 6493178]
[paragraph, [41.0, 355.0, 317.0, 18.0], jupr32tfEi, 6493178]
[paragraph, [41.0, 373.0, 317.0, 18.0], jupr32tfEi, 6493178]
[paragraph, [41.0, 391.0, 317.0, 18.0], jupr32tfEi, 6493178]
[paragraph, [41.0, 409.0, 317.0, 18.0], jupr32tfEi, 6493178]
[paragraph, [41.0, 427.0, 317.0, 18.0], jupr32tfEi, 6493178]
[paragraph, [41.0, 445.0, 317.0, 18.0], jupr32tfEi, 6493178]
[paragraph, [41.0, 463.0, 317.0, 18.0], jupr32tfEi, 6493178]
[paragraph, [41.0, 481.0, 317.0, 18.0], jupr32tfEi, 6493178]
[paragraph, [26.0, 514.0, 330.0, 18.0], Kse5whYwL6, 6493178]
[paragraph, [26.0, 532.0, 330.0, 18.0], Kse5whYwL6, 6493178]
