[1455, 1101]
[headline, [539.0, 81.0, 467.0, 25.5], L2j_gbhkqV, 5726313]
[headline, [539.0, 106.5, 467.0, 25.5], L2j_gbhkqV, 5726313]
[headline, [539.0, 132.0, 467.0, 25.5], L2j_gbhkqV, 5726313]
[headline, [539.0, 157.5, 467.0, 25.5], L2j_gbhkqV, 5726313]
[headline, [539.0, 183.0, 467.0, 25.5], L2j_gbhkqV, 5726313]
[sub-headline, [539.0, 209.0, 261.0, 25.5], H_QBrm-7zS, 5726313]
[sub-headline, [539.0, 234.5, 261.0, 25.5], H_QBrm-7zS, 5726313]
[sub-headline, [539.0, 260.0, 261.0, 25.5], H_QBrm-7zS, 5726313]
[sub-headline, [539.0, 285.5, 261.0, 25.5], H_QBrm-7zS, 5726313]
[sub-headline, [539.0, 311.0, 261.0, 25.5], H_QBrm-7zS, 5726313]
[paragraph, [578.0, 651.0, 266.0, 18.0], aZdpoFmRTk, 5726313]
[folio, [576.0, 758.0, 63.0, 18.0], UxL4HK3BrQ, 5726313]
[paragraph, [108.0, 856.0, 432.0, 18.0], shoonya_0sFFSKGXP2XOV7, 5726313]
[paragraph, [108.0, 874.0, 432.0, 18.0], shoonya_0sFFSKGXP2XOV7, 5726313]
[paragraph, [108.0, 892.0, 432.0, 18.0], shoonya_0sFFSKGXP2XOV7, 5726313]
[paragraph, [108.0, 910.0, 432.0, 18.0], shoonya_0sFFSKGXP2XOV7, 5726313]
[paragraph, [108.0, 928.0, 432.0, 18.0], shoonya_0sFFSKGXP2XOV7, 5726313]
[paragraph, [108.0, 946.0, 432.0, 18.0], shoonya_0sFFSKGXP2XOV7, 5726313]
[paragraph, [108.0, 964.0, 432.0, 18.0], shoonya_0sFFSKGXP2XOV7, 5726313]
[paragraph, [108.0, 982.0, 432.0, 18.0], shoonya_0sFFSKGXP2XOV7, 5726313]
[paragraph, [108.0, 1000.0, 432.0, 18.0], shoonya_0sFFSKGXP2XOV7, 5726313]
[paragraph, [108.0, 1018.0, 432.0, 18.0], shoonya_0sFFSKGXP2XOV7, 5726313]
[paragraph, [108.0, 1036.0, 432.0, 18.0], shoonya_0sFFSKGXP2XOV7, 5726313]
[paragraph, [108.0, 1054.0, 432.0, 18.0], shoonya_0sFFSKGXP2XOV7, 5726313]
[paragraph, [108.0, 1072.0, 432.0, 18.0], shoonya_0sFFSKGXP2XOV7, 5726313]
[paragraph, [108.0, 1090.0, 432.0, 18.0], shoonya_0sFFSKGXP2XOV7, 5726313]
[paragraph, [108.0, 1108.0, 432.0, 18.0], shoonya_0sFFSKGXP2XOV7, 5726313]
[paragraph, [579.0, 883.0, 389.0, 18.0], mPUGPAapSa, 5726313]
[paragraph, [579.0, 901.0, 389.0, 18.0], mPUGPAapSa, 5726313]
[paragraph, [579.0, 919.0, 389.0, 18.0], mPUGPAapSa, 5726313]
[paragraph, [579.0, 937.0, 389.0, 18.0], mPUGPAapSa, 5726313]
[paragraph, [579.0, 955.0, 389.0, 18.0], mPUGPAapSa, 5726313]
[paragraph, [579.0, 973.0, 389.0, 18.0], mPUGPAapSa, 5726313]
[paragraph, [579.0, 991.0, 389.0, 18.0], mPUGPAapSa, 5726313]
[paragraph, [579.0, 1009.0, 389.0, 18.0], mPUGPAapSa, 5726313]
[paragraph, [579.0, 1027.0, 389.0, 18.0], mPUGPAapSa, 5726313]
[paragraph, [108.0, 1218.0, 388.0, 18.0], 9Ss0_GzGUZ, 5726313]
[paragraph, [108.0, 1236.0, 388.0, 18.0], 9Ss0_GzGUZ, 5726313]
[paragraph, [108.0, 1254.0, 388.0, 18.0], 9Ss0_GzGUZ, 5726313]
[paragraph, [108.0, 1272.0, 388.0, 18.0], 9Ss0_GzGUZ, 5726313]
[contact-info, [692.0, 1300.0, 344.0, 18.0], IG6S2K3VXr, 5726313]
[contact-info, [692.0, 1318.0, 344.0, 18.0], IG6S2K3VXr, 5726313]
[contact-info, [692.0, 1336.0, 344.0, 18.0], IG6S2K3VXr, 5726313]
[contact-info, [692.0, 1354.0, 344.0, 18.0], IG6S2K3VXr, 5726313]
