[1050, 693]
[folio, [521.0, 77.0, 87.0, 18.0], shoonya_2sQKL91WZQTUMW, 5702531]
[folio, [521.0, 95.0, 87.0, 18.0], shoonya_2sQKL91WZQTUMW, 5702531]
[paragraph, [80.0, 132.0, 529.0, 18.0], shoonya_0sP2M6E6FL0JRX, 5702531]
[paragraph, [80.0, 150.0, 529.0, 18.0], shoonya_0sP2M6E6FL0JRX, 5702531]
[paragraph, [80.0, 168.0, 529.0, 18.0], shoonya_0sP2M6E6FL0JRX, 5702531]
[paragraph, [80.0, 186.0, 529.0, 18.0], shoonya_0sP2M6E6FL0JRX, 5702531]
[paragraph, [80.0, 204.0, 529.0, 18.0], shoonya_0sP2M6E6FL0JRX, 5702531]
[paragraph, [80.0, 222.0, 529.0, 18.0], shoonya_0sP2M6E6FL0JRX, 5702531]
[paragraph, [80.0, 240.0, 529.0, 18.0], shoonya_0sP2M6E6FL0JRX, 5702531]
[paragraph, [80.0, 258.0, 529.0, 18.0], shoonya_0sP2M6E6FL0JRX, 5702531]
[paragraph, [80.0, 276.0, 529.0, 18.0], shoonya_0sP2M6E6FL0JRX, 5702531]
[paragraph, [80.0, 294.0, 529.0, 18.0], shoonya_0sP2M6E6FL0JRX, 5702531]
[paragraph, [80.0, 312.0, 529.0, 18.0], shoonya_0sP2M6E6FL0JRX, 5702531]
[paragraph, [80.0, 330.0, 529.0, 18.0], shoonya_0sP2M6E6FL0JRX, 5702531]
[paragraph, [80.0, 348.0, 529.0, 18.0], shoonya_0sP2M6E6FL0JRX, 5702531]
[paragraph, [80.0, 366.0, 529.0, 18.0], shoonya_0sP2M6E6FL0JRX, 5702531]
[paragraph, [80.0, 384.0, 529.0, 18.0], shoonya_0sP2M6E6FL0JRX, 5702531]
[paragraph, [80.0, 402.0, 529.0, 18.0], shoonya_0sP2M6E6FL0JRX, 5702531]
[paragraph, [80.0, 420.0, 529.0, 18.0], shoonya_0sP2M6E6FL0JRX, 5702531]
[paragraph, [80.0, 438.0, 529.0, 18.0], shoonya_0sP2M6E6FL0JRX, 5702531]
[paragraph, [79.0, 480.0, 532.0, 18.0], shoonya_1s6T0GYS1WCDBF, 5702531]
[paragraph, [79.0, 498.0, 532.0, 18.0], shoonya_1s6T0GYS1WCDBF, 5702531]
[paragraph, [79.0, 516.0, 532.0, 18.0], shoonya_1s6T0GYS1WCDBF, 5702531]
[paragraph, [79.0, 534.0, 532.0, 18.0], shoonya_1s6T0GYS1WCDBF, 5702531]
[paragraph, [79.0, 552.0, 532.0, 18.0], shoonya_1s6T0GYS1WCDBF, 5702531]
[paragraph, [79.0, 570.0, 532.0, 18.0], shoonya_1s6T0GYS1WCDBF, 5702531]
[paragraph, [79.0, 588.0, 532.0, 18.0], shoonya_1s6T0GYS1WCDBF, 5702531]
[paragraph, [79.0, 606.0, 532.0, 18.0], shoonya_1s6T0GYS1WCDBF, 5702531]
[paragraph, [79.0, 624.0, 532.0, 18.0], shoonya_1s6T0GYS1WCDBF, 5702531]
[paragraph, [79.0, 642.0, 532.0, 18.0], shoonya_1s6T0GYS1WCDBF, 5702531]
[paragraph, [79.0, 660.0, 532.0, 18.0], shoonya_1s6T0GYS1WCDBF, 5702531]
[paragraph, [79.0, 678.0, 532.0, 18.0], shoonya_1s6T0GYS1WCDBF, 5702531]
[paragraph, [79.0, 696.0, 532.0, 18.0], shoonya_1s6T0GYS1WCDBF, 5702531]
[paragraph, [79.0, 714.0, 532.0, 18.0], shoonya_1s6T0GYS1WCDBF, 5702531]
[paragraph, [79.0, 732.0, 532.0, 18.0], shoonya_1s6T0GYS1WCDBF, 5702531]
[paragraph, [79.0, 750.0, 532.0, 18.0], shoonya_1s6T0GYS1WCDBF, 5702531]
[paragraph, [79.0, 768.0, 532.0, 18.0], shoonya_1s6T0GYS1WCDBF, 5702531]
[paragraph, [79.0, 786.0, 532.0, 18.0], shoonya_1s6T0GYS1WCDBF, 5702531]
[paragraph, [79.0, 804.0, 532.0, 18.0], shoonya_1s6T0GYS1WCDBF, 5702531]
[paragraph, [67.0, 847.0, 545.0, 18.0], 8Y2-UC8oIh, 5702531]
[paragraph, [67.0, 865.0, 545.0, 18.0], 8Y2-UC8oIh, 5702531]
[paragraph, [67.0, 883.0, 545.0, 18.0], 8Y2-UC8oIh, 5702531]
[paragraph, [67.0, 901.0, 545.0, 18.0], 8Y2-UC8oIh, 5702531]
[paragraph, [67.0, 919.0, 545.0, 18.0], 8Y2-UC8oIh, 5702531]
[paragraph, [67.0, 937.0, 545.0, 18.0], 8Y2-UC8oIh, 5702531]
[paragraph, [67.0, 955.0, 545.0, 18.0], 8Y2-UC8oIh, 5702531]
