[2200, 1700]
[section-title, [368.0, 189.0, 166.0, 52.5], khslZIS3K0, 5733961]
[chapter-title, [513.0, 289.0, 869.0, 70.5], 1h-hRsrWCw, 5733961]
[index, [375.0, 403.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 439.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 475.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 511.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 547.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 583.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 619.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 655.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 691.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 727.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 763.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 799.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 835.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 871.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 907.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 943.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 979.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 1015.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 1051.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 1087.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 1123.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 1159.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 1195.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 1231.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 1267.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 1303.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 1339.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 1375.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 1411.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 1447.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[index, [375.0, 1483.0, 1084.0, 36.0], shoonya_0sQLQAW01JJY0Y, 5733961]
[folio, [860.0, 2129.0, 595.0, 36.0], Y69i-QvrW6, 5733961]
