[843, 595]
[flag, [7.0, 19.0, 168.0, 18.0], shoonya_4sYVG08RZ2CSVK, 5780441]
[flag, [7.0, 37.0, 168.0, 18.0], shoonya_4sYVG08RZ2CSVK, 5780441]
[flag, [427.0, 20.0, 154.0, 18.0], shoonya_0sU4VK5J0B84LR, 5780441]
[flag, [427.0, 38.0, 154.0, 18.0], shoonya_0sU4VK5J0B84LR, 5780441]
[ordered-list, [18.0, 80.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 98.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 116.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 134.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 152.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 170.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 188.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 206.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 224.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 242.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 260.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 278.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 296.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 314.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 332.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 350.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 368.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 386.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 404.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 422.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 440.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 458.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 476.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 494.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 512.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 530.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 548.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 566.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 584.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 602.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 620.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 638.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 656.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 674.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 692.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 710.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 728.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[ordered-list, [18.0, 746.0, 558.0, 18.0], shoonya_8sHCII2FZOBCIB, 5780441]
[sub-ordered-list, [39.0, 309.0, 496.0, 18.0], kGgT2s6vcV, 5780441]
[sub-ordered-list, [39.0, 327.0, 496.0, 18.0], kGgT2s6vcV, 5780441]
[sub-ordered-list, [39.0, 345.0, 496.0, 18.0], kGgT2s6vcV, 5780441]
[sub-ordered-list, [39.0, 363.0, 496.0, 18.0], kGgT2s6vcV, 5780441]
[footnote, [137.0, 770.0, 303.0, 18.0], shoonya_9s50ZQAQUFCNHH, 5780441]
