[792, 612]
[paragraph, [228.0, 86.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 104.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 122.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 140.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 158.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 176.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 194.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 212.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 230.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 248.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 266.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 284.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 302.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 320.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 338.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 356.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 374.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 392.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 410.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 428.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 446.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 464.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 482.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 500.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 518.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 536.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 554.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 572.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [228.0, 590.0, 153.0, 18.0], MiNj4o-_hN, 6514531]
[paragraph, [409.0, 87.0, 152.0, 18.0], mLUJc3E6Et, 6514531]
[paragraph, [409.0, 105.0, 152.0, 18.0], mLUJc3E6Et, 6514531]
[paragraph, [50.0, 89.0, 151.0, 18.0], F8bDUfrMyH, 6514531]
[paragraph, [50.0, 107.0, 151.0, 18.0], F8bDUfrMyH, 6514531]
[paragraph, [50.0, 125.0, 151.0, 18.0], F8bDUfrMyH, 6514531]
[paragraph, [50.0, 143.0, 151.0, 18.0], F8bDUfrMyH, 6514531]
[paragraph, [50.0, 161.0, 151.0, 18.0], F8bDUfrMyH, 6514531]
[paragraph, [50.0, 179.0, 151.0, 18.0], F8bDUfrMyH, 6514531]
[paragraph, [50.0, 197.0, 151.0, 18.0], F8bDUfrMyH, 6514531]
[paragraph, [50.0, 215.0, 151.0, 18.0], F8bDUfrMyH, 6514531]
[paragraph, [50.0, 233.0, 151.0, 18.0], F8bDUfrMyH, 6514531]
[paragraph, [50.0, 251.0, 151.0, 18.0], F8bDUfrMyH, 6514531]
[paragraph, [50.0, 269.0, 151.0, 18.0], F8bDUfrMyH, 6514531]
[paragraph, [50.0, 287.0, 151.0, 18.0], F8bDUfrMyH, 6514531]
[paragraph, [50.0, 305.0, 151.0, 18.0], F8bDUfrMyH, 6514531]
[paragraph, [50.0, 323.0, 151.0, 18.0], F8bDUfrMyH, 6514531]
[paragraph, [50.0, 341.0, 151.0, 18.0], F8bDUfrMyH, 6514531]
[paragraph, [409.0, 127.0, 153.0, 18.0], 64fMI103Aq, 6514531]
[paragraph, [409.0, 145.0, 153.0, 18.0], 64fMI103Aq, 6514531]
[paragraph, [409.0, 163.0, 153.0, 18.0], 64fMI103Aq, 6514531]
