[2200, 1700]
[paragraph, [896.0, 208.0, 658.0, 36.0], oq-lv-2ZSd, 5753110]
[paragraph, [896.0, 244.0, 658.0, 36.0], oq-lv-2ZSd, 5753110]
[paragraph, [143.0, 209.0, 656.0, 36.0], shoonya_0sUFLLWT755QU6, 5753110]
[paragraph, [143.0, 245.0, 656.0, 36.0], shoonya_0sUFLLWT755QU6, 5753110]
[paragraph, [143.0, 281.0, 656.0, 36.0], shoonya_0sUFLLWT755QU6, 5753110]
[paragraph, [143.0, 317.0, 656.0, 36.0], shoonya_0sUFLLWT755QU6, 5753110]
[paragraph, [140.0, 367.0, 654.0, 36.0], gLDjSOV-hv, 5753110]
[paragraph, [140.0, 403.0, 654.0, 36.0], gLDjSOV-hv, 5753110]
[paragraph, [140.0, 439.0, 654.0, 36.0], gLDjSOV-hv, 5753110]
[paragraph, [898.0, 388.0, 660.0, 36.0], x6O8l_LQvO, 5753110]
[paragraph, [898.0, 424.0, 660.0, 36.0], x6O8l_LQvO, 5753110]
[paragraph, [898.0, 460.0, 660.0, 36.0], x6O8l_LQvO, 5753110]
[paragraph, [898.0, 496.0, 660.0, 36.0], x6O8l_LQvO, 5753110]
[paragraph, [898.0, 532.0, 660.0, 36.0], x6O8l_LQvO, 5753110]
[paragraph, [898.0, 568.0, 660.0, 36.0], x6O8l_LQvO, 5753110]
[paragraph, [898.0, 604.0, 660.0, 36.0], x6O8l_LQvO, 5753110]
[paragraph, [142.0, 533.0, 658.0, 36.0], X1-gm9SeyG, 5753110]
[paragraph, [142.0, 569.0, 658.0, 36.0], X1-gm9SeyG, 5753110]
[paragraph, [142.0, 605.0, 658.0, 36.0], X1-gm9SeyG, 5753110]
[paragraph, [142.0, 641.0, 658.0, 36.0], X1-gm9SeyG, 5753110]
[paragraph, [142.0, 677.0, 658.0, 36.0], X1-gm9SeyG, 5753110]
[paragraph, [142.0, 713.0, 658.0, 36.0], X1-gm9SeyG, 5753110]
[paragraph, [142.0, 749.0, 658.0, 36.0], X1-gm9SeyG, 5753110]
[paragraph, [142.0, 785.0, 658.0, 36.0], X1-gm9SeyG, 5753110]
[paragraph, [142.0, 821.0, 658.0, 36.0], X1-gm9SeyG, 5753110]
[paragraph, [142.0, 857.0, 658.0, 36.0], X1-gm9SeyG, 5753110]
[paragraph, [142.0, 893.0, 658.0, 36.0], X1-gm9SeyG, 5753110]
[paragraph, [142.0, 929.0, 658.0, 36.0], X1-gm9SeyG, 5753110]
[paragraph, [142.0, 965.0, 658.0, 36.0], X1-gm9SeyG, 5753110]
[paragraph, [142.0, 1001.0, 658.0, 36.0], X1-gm9SeyG, 5753110]
[paragraph, [900.0, 737.0, 658.0, 36.0], RMF2ARd5xF, 5753110]
[paragraph, [900.0, 773.0, 658.0, 36.0], RMF2ARd5xF, 5753110]
[paragraph, [900.0, 809.0, 658.0, 36.0], RMF2ARd5xF, 5753110]
[paragraph, [900.0, 845.0, 658.0, 36.0], RMF2ARd5xF, 5753110]
[paragraph, [900.0, 881.0, 658.0, 36.0], RMF2ARd5xF, 5753110]
[paragraph, [900.0, 917.0, 658.0, 36.0], RMF2ARd5xF, 5753110]
[paragraph, [911.0, 1088.0, 346.0, 36.0], 0NJLBaptIj, 5753110]
[paragraph, [911.0, 1124.0, 346.0, 36.0], 0NJLBaptIj, 5753110]
[paragraph, [911.0, 1160.0, 346.0, 36.0], 0NJLBaptIj, 5753110]
[paragraph, [911.0, 1196.0, 346.0, 36.0], 0NJLBaptIj, 5753110]
[paragraph, [911.0, 1232.0, 346.0, 36.0], 0NJLBaptIj, 5753110]
[paragraph, [911.0, 1268.0, 346.0, 36.0], 0NJLBaptIj, 5753110]
[paragraph, [911.0, 1304.0, 346.0, 36.0], 0NJLBaptIj, 5753110]
[paragraph, [911.0, 1340.0, 346.0, 36.0], 0NJLBaptIj, 5753110]
[paragraph, [911.0, 1376.0, 346.0, 36.0], 0NJLBaptIj, 5753110]
[paragraph, [911.0, 1412.0, 346.0, 36.0], 0NJLBaptIj, 5753110]
[paragraph, [911.0, 1448.0, 346.0, 36.0], 0NJLBaptIj, 5753110]
[paragraph, [911.0, 1484.0, 346.0, 36.0], 0NJLBaptIj, 5753110]
[paragraph, [911.0, 1520.0, 346.0, 36.0], 0NJLBaptIj, 5753110]
[paragraph, [911.0, 1556.0, 346.0, 36.0], 0NJLBaptIj, 5753110]
[paragraph, [911.0, 1592.0, 346.0, 36.0], 0NJLBaptIj, 5753110]
[paragraph, [911.0, 1628.0, 346.0, 36.0], 0NJLBaptIj, 5753110]
[paragraph, [911.0, 1664.0, 346.0, 36.0], 0NJLBaptIj, 5753110]
[paragraph, [911.0, 1700.0, 346.0, 36.0], 0NJLBaptIj, 5753110]
[paragraph, [911.0, 1736.0, 346.0, 36.0], 0NJLBaptIj, 5753110]
[paragraph, [911.0, 1772.0, 346.0, 36.0], 0NJLBaptIj, 5753110]
[paragraph, [911.0, 1808.0, 346.0, 36.0], 0NJLBaptIj, 5753110]
[paragraph, [911.0, 1844.0, 346.0, 36.0], 0NJLBaptIj, 5753110]
[headline, [159.0, 1096.0, 382.0, 67.5], _FYslLIx8s, 5753110]
[author, [150.0, 1213.0, 282.0, 36.0], J9ErYSfIx9, 5753110]
[paragraph, [152.0, 1290.0, 344.0, 36.0], 9Gs5iYeTc7, 5753110]
[paragraph, [152.0, 1326.0, 344.0, 36.0], 9Gs5iYeTc7, 5753110]
[paragraph, [152.0, 1362.0, 344.0, 36.0], 9Gs5iYeTc7, 5753110]
[paragraph, [152.0, 1398.0, 344.0, 36.0], 9Gs5iYeTc7, 5753110]
[paragraph, [152.0, 1434.0, 344.0, 36.0], 9Gs5iYeTc7, 5753110]
[paragraph, [152.0, 1470.0, 344.0, 36.0], 9Gs5iYeTc7, 5753110]
[paragraph, [152.0, 1506.0, 344.0, 36.0], 9Gs5iYeTc7, 5753110]
[paragraph, [152.0, 1542.0, 344.0, 36.0], 9Gs5iYeTc7, 5753110]
[paragraph, [152.0, 1578.0, 344.0, 36.0], 9Gs5iYeTc7, 5753110]
[paragraph, [152.0, 1614.0, 344.0, 36.0], 9Gs5iYeTc7, 5753110]
[paragraph, [152.0, 1650.0, 344.0, 36.0], 9Gs5iYeTc7, 5753110]
[paragraph, [152.0, 1686.0, 344.0, 36.0], 9Gs5iYeTc7, 5753110]
[paragraph, [152.0, 1722.0, 344.0, 36.0], 9Gs5iYeTc7, 5753110]
[paragraph, [152.0, 1758.0, 344.0, 36.0], 9Gs5iYeTc7, 5753110]
[paragraph, [152.0, 1794.0, 344.0, 36.0], 9Gs5iYeTc7, 5753110]
[paragraph, [152.0, 1830.0, 344.0, 36.0], 9Gs5iYeTc7, 5753110]
[paragraph, [152.0, 1866.0, 344.0, 36.0], 9Gs5iYeTc7, 5753110]
