[1637, 1070]
[paragraph, [69.0, 114.0, 880.0, 36.0], shoonya_0sTLWB48IS7BII, 5654393]
[paragraph, [69.0, 150.0, 880.0, 36.0], shoonya_0sTLWB48IS7BII, 5654393]
[paragraph, [69.0, 186.0, 880.0, 36.0], shoonya_0sTLWB48IS7BII, 5654393]
[paragraph, [69.0, 222.0, 880.0, 36.0], shoonya_0sTLWB48IS7BII, 5654393]
[paragraph, [69.0, 258.0, 880.0, 36.0], shoonya_0sTLWB48IS7BII, 5654393]
[paragraph, [69.0, 294.0, 880.0, 36.0], shoonya_0sTLWB48IS7BII, 5654393]
[paragraph, [69.0, 330.0, 880.0, 36.0], shoonya_0sTLWB48IS7BII, 5654393]
[paragraph, [69.0, 366.0, 880.0, 36.0], shoonya_0sTLWB48IS7BII, 5654393]
[paragraph, [69.0, 402.0, 880.0, 36.0], shoonya_0sTLWB48IS7BII, 5654393]
[paragraph, [69.0, 438.0, 880.0, 36.0], shoonya_0sTLWB48IS7BII, 5654393]
[paragraph, [69.0, 474.0, 880.0, 36.0], shoonya_0sTLWB48IS7BII, 5654393]
[paragraph, [69.0, 510.0, 880.0, 36.0], shoonya_0sTLWB48IS7BII, 5654393]
[paragraph, [69.0, 546.0, 880.0, 36.0], shoonya_0sTLWB48IS7BII, 5654393]
[paragraph, [69.0, 582.0, 880.0, 36.0], shoonya_0sTLWB48IS7BII, 5654393]
[paragraph, [69.0, 618.0, 880.0, 36.0], shoonya_0sTLWB48IS7BII, 5654393]
[paragraph, [69.0, 654.0, 880.0, 36.0], shoonya_0sTLWB48IS7BII, 5654393]
[paragraph, [69.0, 690.0, 880.0, 36.0], shoonya_0sTLWB48IS7BII, 5654393]
[paragraph, [69.0, 726.0, 880.0, 36.0], shoonya_0sTLWB48IS7BII, 5654393]
[paragraph, [69.0, 762.0, 880.0, 36.0], shoonya_0sTLWB48IS7BII, 5654393]
[paragraph, [69.0, 798.0, 880.0, 36.0], shoonya_0sTLWB48IS7BII, 5654393]
[paragraph, [69.0, 834.0, 880.0, 36.0], shoonya_0sTLWB48IS7BII, 5654393]
[paragraph, [71.0, 890.0, 880.0, 36.0], shoonya_1sG3M9XWKHDIN2, 5654393]
[paragraph, [71.0, 926.0, 880.0, 36.0], shoonya_1sG3M9XWKHDIN2, 5654393]
[paragraph, [71.0, 962.0, 880.0, 36.0], shoonya_1sG3M9XWKHDIN2, 5654393]
[paragraph, [71.0, 998.0, 880.0, 36.0], shoonya_1sG3M9XWKHDIN2, 5654393]
[paragraph, [71.0, 1034.0, 880.0, 36.0], shoonya_1sG3M9XWKHDIN2, 5654393]
[paragraph, [71.0, 1070.0, 880.0, 36.0], shoonya_1sG3M9XWKHDIN2, 5654393]
[paragraph, [71.0, 1106.0, 880.0, 36.0], shoonya_1sG3M9XWKHDIN2, 5654393]
[paragraph, [71.0, 1142.0, 880.0, 36.0], shoonya_1sG3M9XWKHDIN2, 5654393]
[paragraph, [71.0, 1178.0, 880.0, 36.0], shoonya_1sG3M9XWKHDIN2, 5654393]
[paragraph, [71.0, 1214.0, 880.0, 36.0], shoonya_1sG3M9XWKHDIN2, 5654393]
[paragraph, [71.0, 1250.0, 880.0, 36.0], shoonya_1sG3M9XWKHDIN2, 5654393]
[paragraph, [71.0, 1286.0, 880.0, 36.0], shoonya_1sG3M9XWKHDIN2, 5654393]
[paragraph, [71.0, 1322.0, 880.0, 36.0], shoonya_1sG3M9XWKHDIN2, 5654393]
[paragraph, [71.0, 1358.0, 880.0, 36.0], shoonya_1sG3M9XWKHDIN2, 5654393]
[paragraph, [71.0, 1394.0, 880.0, 36.0], shoonya_1sG3M9XWKHDIN2, 5654393]
[paragraph, [71.0, 1430.0, 880.0, 36.0], shoonya_1sG3M9XWKHDIN2, 5654393]
[paragraph, [71.0, 1466.0, 880.0, 36.0], shoonya_1sG3M9XWKHDIN2, 5654393]
[paragraph, [71.0, 1502.0, 880.0, 36.0], shoonya_1sG3M9XWKHDIN2, 5654393]
