[1241, 798]
[folio, [91.0, 66.0, 132.0, 18.0], shoonya_5sZ73S67CAKGHM, 5702222]
[paragraph, [86.0, 111.0, 620.0, 18.0], shoonya_2s4PPI3V773G1A, 5702222]
[paragraph, [86.0, 129.0, 620.0, 18.0], shoonya_2s4PPI3V773G1A, 5702222]
[paragraph, [86.0, 147.0, 620.0, 18.0], shoonya_2s4PPI3V773G1A, 5702222]
[paragraph, [86.0, 165.0, 620.0, 18.0], shoonya_2s4PPI3V773G1A, 5702222]
[paragraph, [86.0, 183.0, 620.0, 18.0], shoonya_2s4PPI3V773G1A, 5702222]
[paragraph, [86.0, 201.0, 620.0, 18.0], shoonya_2s4PPI3V773G1A, 5702222]
[paragraph, [86.0, 219.0, 620.0, 18.0], shoonya_2s4PPI3V773G1A, 5702222]
[paragraph, [86.0, 237.0, 620.0, 18.0], shoonya_2s4PPI3V773G1A, 5702222]
[paragraph, [88.0, 268.0, 619.0, 18.0], shoonya_1sC37WOYVASA3W, 5702222]
[paragraph, [88.0, 286.0, 619.0, 18.0], shoonya_1sC37WOYVASA3W, 5702222]
[paragraph, [88.0, 304.0, 619.0, 18.0], shoonya_1sC37WOYVASA3W, 5702222]
[paragraph, [88.0, 322.0, 619.0, 18.0], shoonya_1sC37WOYVASA3W, 5702222]
[paragraph, [88.0, 340.0, 619.0, 18.0], shoonya_1sC37WOYVASA3W, 5702222]
[paragraph, [88.0, 358.0, 619.0, 18.0], shoonya_1sC37WOYVASA3W, 5702222]
[paragraph, [88.0, 376.0, 619.0, 18.0], shoonya_1sC37WOYVASA3W, 5702222]
[paragraph, [88.0, 394.0, 619.0, 18.0], shoonya_1sC37WOYVASA3W, 5702222]
[paragraph, [88.0, 412.0, 619.0, 18.0], shoonya_1sC37WOYVASA3W, 5702222]
[paragraph, [88.0, 430.0, 619.0, 18.0], shoonya_1sC37WOYVASA3W, 5702222]
[paragraph, [88.0, 448.0, 619.0, 18.0], shoonya_1sC37WOYVASA3W, 5702222]
[paragraph, [88.0, 466.0, 619.0, 18.0], shoonya_1sC37WOYVASA3W, 5702222]
[paragraph, [88.0, 496.0, 617.0, 18.0], shoonya_0sCIJYYMTMBPB6, 5702222]
[paragraph, [88.0, 514.0, 617.0, 18.0], shoonya_0sCIJYYMTMBPB6, 5702222]
[paragraph, [88.0, 532.0, 617.0, 18.0], shoonya_0sCIJYYMTMBPB6, 5702222]
[paragraph, [88.0, 550.0, 617.0, 18.0], shoonya_0sCIJYYMTMBPB6, 5702222]
[paragraph, [88.0, 568.0, 617.0, 18.0], shoonya_0sCIJYYMTMBPB6, 5702222]
[paragraph, [88.0, 586.0, 617.0, 18.0], shoonya_0sCIJYYMTMBPB6, 5702222]
[paragraph, [88.0, 604.0, 617.0, 18.0], shoonya_0sCIJYYMTMBPB6, 5702222]
[paragraph, [88.0, 622.0, 617.0, 18.0], shoonya_0sCIJYYMTMBPB6, 5702222]
[paragraph, [88.0, 640.0, 617.0, 18.0], shoonya_0sCIJYYMTMBPB6, 5702222]
[paragraph, [88.0, 658.0, 617.0, 18.0], shoonya_0sCIJYYMTMBPB6, 5702222]
[paragraph, [88.0, 676.0, 617.0, 18.0], shoonya_0sCIJYYMTMBPB6, 5702222]
[paragraph, [88.0, 694.0, 617.0, 18.0], shoonya_0sCIJYYMTMBPB6, 5702222]
[paragraph, [88.0, 712.0, 617.0, 18.0], shoonya_0sCIJYYMTMBPB6, 5702222]
[paragraph, [88.0, 730.0, 617.0, 18.0], shoonya_0sCIJYYMTMBPB6, 5702222]
[paragraph, [88.0, 748.0, 617.0, 18.0], shoonya_0sCIJYYMTMBPB6, 5702222]
[paragraph, [88.0, 766.0, 617.0, 18.0], shoonya_0sCIJYYMTMBPB6, 5702222]
[paragraph, [88.0, 784.0, 617.0, 18.0], shoonya_0sCIJYYMTMBPB6, 5702222]
[paragraph, [88.0, 802.0, 617.0, 18.0], shoonya_0sCIJYYMTMBPB6, 5702222]
[paragraph, [88.0, 820.0, 617.0, 18.0], shoonya_0sCIJYYMTMBPB6, 5702222]
[paragraph, [88.0, 838.0, 617.0, 18.0], shoonya_0sCIJYYMTMBPB6, 5702222]
[paragraph, [88.0, 856.0, 617.0, 18.0], shoonya_0sCIJYYMTMBPB6, 5702222]
[paragraph, [88.0, 874.0, 617.0, 18.0], shoonya_0sCIJYYMTMBPB6, 5702222]
[paragraph, [88.0, 892.0, 617.0, 18.0], shoonya_0sCIJYYMTMBPB6, 5702222]
[paragraph, [88.0, 910.0, 617.0, 18.0], shoonya_0sCIJYYMTMBPB6, 5702222]
[paragraph, [88.0, 928.0, 617.0, 18.0], shoonya_0sCIJYYMTMBPB6, 5702222]
[paragraph, [88.0, 946.0, 617.0, 18.0], shoonya_0sCIJYYMTMBPB6, 5702222]
[paragraph, [88.0, 964.0, 617.0, 18.0], shoonya_0sCIJYYMTMBPB6, 5702222]
