[792, 612]
[folio, [206.0, 44.0, 228.0, 18.0], ZwLOmAo5b5, 5744419]
[paragraph, [114.0, 68.0, 415.0, 18.0], mcvL96WsoA, 5744419]
[paragraph, [114.0, 86.0, 415.0, 18.0], mcvL96WsoA, 5744419]
[paragraph, [114.0, 104.0, 415.0, 18.0], mcvL96WsoA, 5744419]
[paragraph, [113.0, 144.0, 415.0, 18.0], 7ZP1IanOU8, 5744419]
[paragraph, [113.0, 162.0, 415.0, 18.0], 7ZP1IanOU8, 5744419]
[paragraph, [113.0, 180.0, 415.0, 18.0], 7ZP1IanOU8, 5744419]
[paragraph, [113.0, 198.0, 415.0, 18.0], 7ZP1IanOU8, 5744419]
[paragraph, [113.0, 216.0, 415.0, 18.0], 7ZP1IanOU8, 5744419]
[paragraph, [113.0, 234.0, 415.0, 18.0], 7ZP1IanOU8, 5744419]
[paragraph, [113.0, 252.0, 415.0, 18.0], 7ZP1IanOU8, 5744419]
[paragraph, [113.0, 270.0, 415.0, 18.0], 7ZP1IanOU8, 5744419]
[paragraph, [113.0, 288.0, 415.0, 18.0], 7ZP1IanOU8, 5744419]
[paragraph, [113.0, 306.0, 415.0, 18.0], 7ZP1IanOU8, 5744419]
[paragraph, [113.0, 324.0, 415.0, 18.0], 7ZP1IanOU8, 5744419]
[paragraph, [113.0, 342.0, 415.0, 18.0], 7ZP1IanOU8, 5744419]
[paragraph, [113.0, 360.0, 415.0, 18.0], 7ZP1IanOU8, 5744419]
[paragraph, [113.0, 378.0, 415.0, 18.0], 7ZP1IanOU8, 5744419]
[paragraph, [113.0, 396.0, 415.0, 18.0], 7ZP1IanOU8, 5744419]
[paragraph, [113.0, 414.0, 415.0, 18.0], 7ZP1IanOU8, 5744419]
[paragraph, [113.0, 432.0, 415.0, 18.0], 7ZP1IanOU8, 5744419]
[paragraph, [113.0, 450.0, 415.0, 18.0], 7ZP1IanOU8, 5744419]
[paragraph, [113.0, 468.0, 415.0, 18.0], 7ZP1IanOU8, 5744419]
[paragraph, [113.0, 486.0, 415.0, 18.0], 7ZP1IanOU8, 5744419]
[paragraph, [113.0, 504.0, 415.0, 18.0], 7ZP1IanOU8, 5744419]
[paragraph, [113.0, 522.0, 415.0, 18.0], 7ZP1IanOU8, 5744419]
[paragraph, [112.0, 596.0, 415.0, 18.0], yLsf5bOKyx, 5744419]
[paragraph, [112.0, 614.0, 415.0, 18.0], yLsf5bOKyx, 5744419]
[paragraph, [112.0, 632.0, 415.0, 18.0], yLsf5bOKyx, 5744419]
[paragraph, [112.0, 650.0, 415.0, 18.0], yLsf5bOKyx, 5744419]
[paragraph, [112.0, 668.0, 415.0, 18.0], yLsf5bOKyx, 5744419]
[paragraph, [112.0, 686.0, 415.0, 18.0], yLsf5bOKyx, 5744419]
