[681, 511]
[paragraph, [29.0, 55.0, 220.0, 18.0], 2yLtDstqLa, 5761399]
[paragraph, [29.0, 73.0, 220.0, 18.0], 2yLtDstqLa, 5761399]
[paragraph, [29.0, 91.0, 220.0, 18.0], 2yLtDstqLa, 5761399]
[paragraph, [29.0, 109.0, 220.0, 18.0], 2yLtDstqLa, 5761399]
[paragraph, [29.0, 127.0, 220.0, 18.0], 2yLtDstqLa, 5761399]
[paragraph, [29.0, 145.0, 220.0, 18.0], 2yLtDstqLa, 5761399]
[paragraph, [259.0, 57.0, 217.0, 18.0], shoonya_6sSBDUZ2UDC6U9, 5761399]
[paragraph, [259.0, 75.0, 217.0, 18.0], shoonya_6sSBDUZ2UDC6U9, 5761399]
[paragraph, [260.0, 102.0, 216.0, 18.0], shoonya_5sCDMP03BIDIWK, 5761399]
[paragraph, [260.0, 120.0, 216.0, 18.0], shoonya_5sCDMP03BIDIWK, 5761399]
[unordered-list, [256.0, 159.0, 224.0, 18.0], nFFaMKPqdS, 5761399]
[unordered-list, [256.0, 177.0, 224.0, 18.0], nFFaMKPqdS, 5761399]
[unordered-list, [256.0, 195.0, 224.0, 18.0], nFFaMKPqdS, 5761399]
[unordered-list, [256.0, 213.0, 224.0, 18.0], nFFaMKPqdS, 5761399]
[unordered-list, [256.0, 231.0, 224.0, 18.0], nFFaMKPqdS, 5761399]
[unordered-list, [256.0, 249.0, 224.0, 18.0], nFFaMKPqdS, 5761399]
[unordered-list, [256.0, 267.0, 224.0, 18.0], nFFaMKPqdS, 5761399]
[unordered-list, [256.0, 285.0, 224.0, 18.0], nFFaMKPqdS, 5761399]
[unordered-list, [256.0, 303.0, 224.0, 18.0], nFFaMKPqdS, 5761399]
[unordered-list, [256.0, 321.0, 224.0, 18.0], nFFaMKPqdS, 5761399]
[unordered-list, [256.0, 339.0, 224.0, 18.0], nFFaMKPqdS, 5761399]
[paragraph, [27.0, 167.0, 224.0, 18.0], mxhEKlBbOz, 5761399]
[paragraph, [27.0, 185.0, 224.0, 18.0], mxhEKlBbOz, 5761399]
[paragraph, [27.0, 203.0, 224.0, 18.0], mxhEKlBbOz, 5761399]
[paragraph, [27.0, 221.0, 224.0, 18.0], mxhEKlBbOz, 5761399]
[paragraph, [27.0, 239.0, 224.0, 18.0], mxhEKlBbOz, 5761399]
[paragraph, [27.0, 257.0, 224.0, 18.0], mxhEKlBbOz, 5761399]
[paragraph, [27.0, 275.0, 224.0, 18.0], mxhEKlBbOz, 5761399]
[paragraph, [27.0, 293.0, 224.0, 18.0], mxhEKlBbOz, 5761399]
[paragraph, [27.0, 311.0, 224.0, 18.0], mxhEKlBbOz, 5761399]
[paragraph, [27.0, 329.0, 224.0, 18.0], mxhEKlBbOz, 5761399]
[paragraph, [27.0, 350.0, 224.0, 18.0], Mg4-lH_RoR, 5761399]
[paragraph, [27.0, 368.0, 224.0, 18.0], Mg4-lH_RoR, 5761399]
[paragraph, [27.0, 386.0, 224.0, 18.0], Mg4-lH_RoR, 5761399]
[paragraph, [27.0, 404.0, 224.0, 18.0], Mg4-lH_RoR, 5761399]
[paragraph, [27.0, 422.0, 224.0, 18.0], Mg4-lH_RoR, 5761399]
[paragraph, [27.0, 440.0, 224.0, 18.0], Mg4-lH_RoR, 5761399]
[paragraph, [27.0, 458.0, 224.0, 18.0], Mg4-lH_RoR, 5761399]
[paragraph, [259.0, 364.0, 216.0, 18.0], shoonya_4sTQ8TEGN3KB50, 5761399]
[paragraph, [259.0, 382.0, 216.0, 18.0], shoonya_4sTQ8TEGN3KB50, 5761399]
[paragraph, [259.0, 400.0, 216.0, 18.0], shoonya_4sTQ8TEGN3KB50, 5761399]
[paragraph, [259.0, 418.0, 216.0, 18.0], shoonya_4sTQ8TEGN3KB50, 5761399]
[paragraph, [259.0, 436.0, 216.0, 18.0], shoonya_4sTQ8TEGN3KB50, 5761399]
[paragraph, [260.0, 472.0, 215.0, 18.0], shoonya_1sOHXZFETGZJON, 5761399]
[paragraph, [260.0, 490.0, 215.0, 18.0], shoonya_1sOHXZFETGZJON, 5761399]
[paragraph, [260.0, 508.0, 215.0, 18.0], shoonya_1sOHXZFETGZJON, 5761399]
[paragraph, [260.0, 526.0, 215.0, 18.0], shoonya_1sOHXZFETGZJON, 5761399]
[paragraph, [260.0, 544.0, 215.0, 18.0], shoonya_1sOHXZFETGZJON, 5761399]
[section-title, [76.0, 500.0, 128.0, 30.0], shoonya_3s67W7ZCD9J7WV, 5761399]
[paragraph, [32.0, 539.0, 215.0, 18.0], shoonya_0s2UE0YTJ1EYH4, 5761399]
[paragraph, [32.0, 557.0, 215.0, 18.0], shoonya_0s2UE0YTJ1EYH4, 5761399]
[paragraph, [32.0, 575.0, 215.0, 18.0], shoonya_0s2UE0YTJ1EYH4, 5761399]
[paragraph, [32.0, 593.0, 215.0, 18.0], shoonya_0s2UE0YTJ1EYH4, 5761399]
[paragraph, [32.0, 611.0, 215.0, 18.0], shoonya_0s2UE0YTJ1EYH4, 5761399]
[paragraph, [260.0, 581.0, 215.0, 18.0], shoonya_2sYA3XLDCLRT2J, 5761399]
[paragraph, [260.0, 599.0, 215.0, 18.0], shoonya_2sYA3XLDCLRT2J, 5761399]
[paragraph, [260.0, 617.0, 215.0, 18.0], shoonya_2sYA3XLDCLRT2J, 5761399]
