[1755, 1240]
[folio, [638.0, 74.0, 485.0, 36.0], 0-TwNvCICF, 5744270]
[paragraph, [200.0, 205.0, 934.0, 36.0], shoonya_1sPMR6IMR0O6FQ, 5744270]
[paragraph, [200.0, 241.0, 934.0, 36.0], shoonya_1sPMR6IMR0O6FQ, 5744270]
[paragraph, [200.0, 277.0, 934.0, 36.0], shoonya_1sPMR6IMR0O6FQ, 5744270]
[paragraph, [200.0, 313.0, 934.0, 36.0], shoonya_1sPMR6IMR0O6FQ, 5744270]
[paragraph, [200.0, 349.0, 934.0, 36.0], shoonya_1sPMR6IMR0O6FQ, 5744270]
[paragraph, [200.0, 385.0, 934.0, 36.0], shoonya_1sPMR6IMR0O6FQ, 5744270]
[paragraph, [200.0, 421.0, 934.0, 36.0], shoonya_1sPMR6IMR0O6FQ, 5744270]
[paragraph, [200.0, 457.0, 934.0, 36.0], shoonya_1sPMR6IMR0O6FQ, 5744270]
[paragraph, [200.0, 493.0, 934.0, 36.0], shoonya_1sPMR6IMR0O6FQ, 5744270]
[paragraph, [200.0, 529.0, 934.0, 36.0], shoonya_1sPMR6IMR0O6FQ, 5744270]
[paragraph, [200.0, 565.0, 934.0, 36.0], shoonya_1sPMR6IMR0O6FQ, 5744270]
[paragraph, [200.0, 675.0, 929.0, 36.0], shoonya_2s7RW17JS1THKR, 5744270]
[paragraph, [200.0, 711.0, 929.0, 36.0], shoonya_2s7RW17JS1THKR, 5744270]
[paragraph, [200.0, 747.0, 929.0, 36.0], shoonya_2s7RW17JS1THKR, 5744270]
[paragraph, [200.0, 783.0, 929.0, 36.0], shoonya_2s7RW17JS1THKR, 5744270]
[paragraph, [200.0, 819.0, 929.0, 36.0], shoonya_2s7RW17JS1THKR, 5744270]
[paragraph, [200.0, 855.0, 929.0, 36.0], shoonya_2s7RW17JS1THKR, 5744270]
[paragraph, [200.0, 891.0, 929.0, 36.0], shoonya_2s7RW17JS1THKR, 5744270]
[paragraph, [200.0, 927.0, 929.0, 36.0], shoonya_2s7RW17JS1THKR, 5744270]
[paragraph, [200.0, 963.0, 929.0, 36.0], shoonya_2s7RW17JS1THKR, 5744270]
[paragraph, [200.0, 999.0, 929.0, 36.0], shoonya_2s7RW17JS1THKR, 5744270]
[paragraph, [200.0, 1035.0, 929.0, 36.0], shoonya_2s7RW17JS1THKR, 5744270]
[paragraph, [200.0, 1071.0, 929.0, 36.0], shoonya_2s7RW17JS1THKR, 5744270]
[paragraph, [199.0, 1198.0, 933.0, 36.0], shoonya_0sX5CHIJ95XJ3U, 5744270]
[paragraph, [199.0, 1234.0, 933.0, 36.0], shoonya_0sX5CHIJ95XJ3U, 5744270]
[paragraph, [199.0, 1270.0, 933.0, 36.0], shoonya_0sX5CHIJ95XJ3U, 5744270]
[paragraph, [199.0, 1306.0, 933.0, 36.0], shoonya_0sX5CHIJ95XJ3U, 5744270]
[paragraph, [199.0, 1342.0, 933.0, 36.0], shoonya_0sX5CHIJ95XJ3U, 5744270]
[paragraph, [199.0, 1378.0, 933.0, 36.0], shoonya_0sX5CHIJ95XJ3U, 5744270]
[paragraph, [199.0, 1414.0, 933.0, 36.0], shoonya_0sX5CHIJ95XJ3U, 5744270]
[paragraph, [199.0, 1450.0, 933.0, 36.0], shoonya_0sX5CHIJ95XJ3U, 5744270]
[paragraph, [199.0, 1486.0, 933.0, 36.0], shoonya_0sX5CHIJ95XJ3U, 5744270]
[paragraph, [199.0, 1522.0, 933.0, 36.0], shoonya_0sX5CHIJ95XJ3U, 5744270]
[paragraph, [199.0, 1558.0, 933.0, 36.0], shoonya_0sX5CHIJ95XJ3U, 5744270]
