[1725, 1313]
[paragraph, [291.0, 135.0, 687.0, 36.0], shoonya_0sY6X4GBAR7EX6, 5771606]
[paragraph, [291.0, 171.0, 687.0, 36.0], shoonya_0sY6X4GBAR7EX6, 5771606]
[paragraph, [291.0, 207.0, 687.0, 36.0], shoonya_0sY6X4GBAR7EX6, 5771606]
[paragraph, [291.0, 243.0, 687.0, 36.0], shoonya_0sY6X4GBAR7EX6, 5771606]
[paragraph, [291.0, 279.0, 687.0, 36.0], shoonya_0sY6X4GBAR7EX6, 5771606]
[paragraph, [655.0, 347.0, 538.0, 36.0], shoonya_6sCJYK2IY6AF7G, 5771606]
[paragraph, [655.0, 383.0, 538.0, 36.0], shoonya_6sCJYK2IY6AF7G, 5771606]
[paragraph, [655.0, 419.0, 538.0, 36.0], shoonya_6sCJYK2IY6AF7G, 5771606]
[paragraph, [655.0, 455.0, 538.0, 36.0], shoonya_6sCJYK2IY6AF7G, 5771606]
[paragraph, [108.0, 352.0, 550.0, 36.0], shoonya_1sXMVRTSUGL515, 5771606]
[paragraph, [108.0, 388.0, 550.0, 36.0], shoonya_1sXMVRTSUGL515, 5771606]
[paragraph, [108.0, 424.0, 550.0, 36.0], shoonya_1sXMVRTSUGL515, 5771606]
[paragraph, [108.0, 460.0, 550.0, 36.0], shoonya_1sXMVRTSUGL515, 5771606]
[paragraph, [108.0, 496.0, 550.0, 36.0], shoonya_1sXMVRTSUGL515, 5771606]
[paragraph, [108.0, 532.0, 550.0, 36.0], shoonya_1sXMVRTSUGL515, 5771606]
[paragraph, [108.0, 568.0, 550.0, 36.0], shoonya_1sXMVRTSUGL515, 5771606]
[paragraph, [108.0, 604.0, 550.0, 36.0], shoonya_1sXMVRTSUGL515, 5771606]
[paragraph, [108.0, 640.0, 550.0, 36.0], shoonya_1sXMVRTSUGL515, 5771606]
[paragraph, [108.0, 676.0, 550.0, 36.0], shoonya_1sXMVRTSUGL515, 5771606]
[paragraph, [651.0, 492.0, 537.0, 36.0], shoonya_7s5VV77Q3LFV2D, 5771606]
[paragraph, [651.0, 528.0, 537.0, 36.0], shoonya_7s5VV77Q3LFV2D, 5771606]
[paragraph, [651.0, 564.0, 537.0, 36.0], shoonya_7s5VV77Q3LFV2D, 5771606]
[paragraph, [655.0, 596.0, 537.0, 36.0], shoonya_8sIVATIFCRCAYH, 5771606]
[paragraph, [655.0, 632.0, 537.0, 36.0], shoonya_8sIVATIFCRCAYH, 5771606]
[paragraph, [653.0, 690.0, 540.0, 36.0], shoonya_9sXPEJCAXZS8LD, 5771606]
[paragraph, [653.0, 726.0, 540.0, 36.0], shoonya_9sXPEJCAXZS8LD, 5771606]
[paragraph, [653.0, 762.0, 540.0, 36.0], shoonya_9sXPEJCAXZS8LD, 5771606]
[paragraph, [653.0, 798.0, 540.0, 36.0], shoonya_9sXPEJCAXZS8LD, 5771606]
[paragraph, [653.0, 834.0, 540.0, 36.0], shoonya_9sXPEJCAXZS8LD, 5771606]
[paragraph, [653.0, 870.0, 540.0, 36.0], shoonya_9sXPEJCAXZS8LD, 5771606]
[paragraph, [653.0, 906.0, 540.0, 36.0], shoonya_9sXPEJCAXZS8LD, 5771606]
[paragraph, [659.0, 967.0, 530.0, 36.0], shoonya_10s869AS8BTWC7, 5771606]
[paragraph, [659.0, 1003.0, 530.0, 36.0], shoonya_10s869AS8BTWC7, 5771606]
[paragraph, [659.0, 1039.0, 530.0, 36.0], shoonya_10s869AS8BTWC7, 5771606]
[paragraph, [659.0, 1075.0, 530.0, 36.0], shoonya_10s869AS8BTWC7, 5771606]
[paragraph, [659.0, 1111.0, 530.0, 36.0], shoonya_10s869AS8BTWC7, 5771606]
[paragraph, [659.0, 1147.0, 530.0, 36.0], shoonya_10s869AS8BTWC7, 5771606]
[paragraph, [659.0, 1183.0, 530.0, 36.0], shoonya_10s869AS8BTWC7, 5771606]
[paragraph, [659.0, 1219.0, 530.0, 36.0], shoonya_10s869AS8BTWC7, 5771606]
