[2339, 1653]
[paragraph, [246.0, 246.0, 1157.0, 36.0], shoonya_3sVRJMYZS4VSVG, 5685986]
[paragraph, [246.0, 282.0, 1157.0, 36.0], shoonya_3sVRJMYZS4VSVG, 5685986]
[paragraph, [246.0, 318.0, 1157.0, 36.0], shoonya_3sVRJMYZS4VSVG, 5685986]
[paragraph, [246.0, 354.0, 1157.0, 36.0], shoonya_3sVRJMYZS4VSVG, 5685986]
[paragraph, [246.0, 390.0, 1157.0, 36.0], shoonya_3sVRJMYZS4VSVG, 5685986]
[paragraph, [246.0, 426.0, 1157.0, 36.0], shoonya_3sVRJMYZS4VSVG, 5685986]
[paragraph, [246.0, 462.0, 1157.0, 36.0], shoonya_3sVRJMYZS4VSVG, 5685986]
[paragraph, [244.0, 525.0, 1161.0, 36.0], shoonya_2sUPF4BX9GW93S, 5685986]
[paragraph, [244.0, 561.0, 1161.0, 36.0], shoonya_2sUPF4BX9GW93S, 5685986]
[paragraph, [244.0, 597.0, 1161.0, 36.0], shoonya_2sUPF4BX9GW93S, 5685986]
[paragraph, [244.0, 633.0, 1161.0, 36.0], shoonya_2sUPF4BX9GW93S, 5685986]
[paragraph, [244.0, 669.0, 1161.0, 36.0], shoonya_2sUPF4BX9GW93S, 5685986]
[paragraph, [244.0, 705.0, 1161.0, 36.0], shoonya_2sUPF4BX9GW93S, 5685986]
[paragraph, [244.0, 741.0, 1161.0, 36.0], shoonya_2sUPF4BX9GW93S, 5685986]
[paragraph, [244.0, 777.0, 1161.0, 36.0], shoonya_2sUPF4BX9GW93S, 5685986]
[paragraph, [244.0, 813.0, 1161.0, 36.0], shoonya_2sUPF4BX9GW93S, 5685986]
[paragraph, [246.0, 867.0, 1161.0, 36.0], shoonya_1sS7QAG1Y4CQT3, 5685986]
[paragraph, [246.0, 903.0, 1161.0, 36.0], shoonya_1sS7QAG1Y4CQT3, 5685986]
[paragraph, [246.0, 939.0, 1161.0, 36.0], shoonya_1sS7QAG1Y4CQT3, 5685986]
[paragraph, [246.0, 975.0, 1161.0, 36.0], shoonya_1sS7QAG1Y4CQT3, 5685986]
[paragraph, [246.0, 1011.0, 1161.0, 36.0], shoonya_1sS7QAG1Y4CQT3, 5685986]
[paragraph, [246.0, 1047.0, 1161.0, 36.0], shoonya_1sS7QAG1Y4CQT3, 5685986]
[paragraph, [246.0, 1083.0, 1161.0, 36.0], shoonya_1sS7QAG1Y4CQT3, 5685986]
[paragraph, [246.0, 1119.0, 1161.0, 36.0], shoonya_1sS7QAG1Y4CQT3, 5685986]
[paragraph, [246.0, 1155.0, 1161.0, 36.0], shoonya_1sS7QAG1Y4CQT3, 5685986]
[paragraph, [246.0, 1191.0, 1161.0, 36.0], shoonya_1sS7QAG1Y4CQT3, 5685986]
[paragraph, [246.0, 1227.0, 1161.0, 36.0], shoonya_1sS7QAG1Y4CQT3, 5685986]
[paragraph, [440.0, 1290.0, 970.0, 36.0], shoonya_6s8PEEO33W70OB, 5685986]
[paragraph, [440.0, 1326.0, 970.0, 36.0], shoonya_6s8PEEO33W70OB, 5685986]
[paragraph, [440.0, 1362.0, 970.0, 36.0], shoonya_6s8PEEO33W70OB, 5685986]
[paragraph, [440.0, 1398.0, 970.0, 36.0], shoonya_6s8PEEO33W70OB, 5685986]
[paragraph, [245.0, 1484.0, 1171.0, 36.0], shoonya_0sTINBOKX10HEL, 5685986]
[paragraph, [245.0, 1520.0, 1171.0, 36.0], shoonya_0sTINBOKX10HEL, 5685986]
[paragraph, [245.0, 1556.0, 1171.0, 36.0], shoonya_0sTINBOKX10HEL, 5685986]
[paragraph, [245.0, 1592.0, 1171.0, 36.0], shoonya_0sTINBOKX10HEL, 5685986]
[paragraph, [245.0, 1628.0, 1171.0, 36.0], shoonya_0sTINBOKX10HEL, 5685986]
[paragraph, [245.0, 1664.0, 1171.0, 36.0], shoonya_0sTINBOKX10HEL, 5685986]
[paragraph, [245.0, 1700.0, 1171.0, 36.0], shoonya_0sTINBOKX10HEL, 5685986]
[paragraph, [245.0, 1736.0, 1171.0, 36.0], shoonya_0sTINBOKX10HEL, 5685986]
[paragraph, [245.0, 1772.0, 1171.0, 36.0], shoonya_0sTINBOKX10HEL, 5685986]
[paragraph, [245.0, 1808.0, 1171.0, 36.0], shoonya_0sTINBOKX10HEL, 5685986]
[paragraph, [245.0, 1844.0, 1171.0, 36.0], shoonya_0sTINBOKX10HEL, 5685986]
[paragraph, [245.0, 1880.0, 1171.0, 36.0], shoonya_0sTINBOKX10HEL, 5685986]
[paragraph, [245.0, 1916.0, 1171.0, 36.0], shoonya_0sTINBOKX10HEL, 5685986]
[paragraph, [245.0, 1952.0, 1171.0, 36.0], shoonya_0sTINBOKX10HEL, 5685986]
[paragraph, [245.0, 1988.0, 1171.0, 36.0], shoonya_0sTINBOKX10HEL, 5685986]
[reference, [252.0, 2068.0, 554.0, 36.0], shoonya_4sIJ9OY5CL0KMX, 5685986]
