[834, 609]
[folio, [43.0, 41.0, 83.0, 18.0], kE6FWv_lxr, 5713028]
[paragraph, [227.0, 131.0, 321.0, 18.0], UclXGl-98i, 5713028]
[paragraph, [227.0, 149.0, 321.0, 18.0], UclXGl-98i, 5713028]
[paragraph, [227.0, 167.0, 321.0, 18.0], UclXGl-98i, 5713028]
[paragraph, [227.0, 185.0, 321.0, 18.0], UclXGl-98i, 5713028]
[paragraph, [231.0, 212.0, 191.0, 18.0], I2GSTRtDy0, 5713028]
[paragraph, [231.0, 230.0, 191.0, 18.0], I2GSTRtDy0, 5713028]
[paragraph, [231.0, 248.0, 191.0, 18.0], I2GSTRtDy0, 5713028]
[paragraph, [231.0, 266.0, 191.0, 18.0], I2GSTRtDy0, 5713028]
[paragraph, [231.0, 284.0, 191.0, 18.0], I2GSTRtDy0, 5713028]
[paragraph, [227.0, 317.0, 318.0, 18.0], V_EFrWtIvw, 5713028]
[paragraph, [227.0, 335.0, 318.0, 18.0], V_EFrWtIvw, 5713028]
[paragraph, [227.0, 353.0, 318.0, 18.0], V_EFrWtIvw, 5713028]
[section-title, [45.0, 389.0, 178.0, 30.0], shoonya_3sWAY14VOJBL2T, 5713028]
[section-title, [261.0, 389.0, 216.0, 30.0], shoonya_4sJ1JJJUXXSCS9, 5713028]
[paragraph, [42.0, 441.0, 203.0, 18.0], shoonya_1sFQLL5D5N7RS2, 5713028]
[paragraph, [42.0, 459.0, 203.0, 18.0], shoonya_1sFQLL5D5N7RS2, 5713028]
[paragraph, [42.0, 477.0, 203.0, 18.0], shoonya_1sFQLL5D5N7RS2, 5713028]
[paragraph, [42.0, 495.0, 203.0, 18.0], shoonya_1sFQLL5D5N7RS2, 5713028]
[paragraph, [42.0, 513.0, 203.0, 18.0], shoonya_1sFQLL5D5N7RS2, 5713028]
[paragraph, [42.0, 531.0, 203.0, 18.0], shoonya_1sFQLL5D5N7RS2, 5713028]
[paragraph, [42.0, 549.0, 203.0, 18.0], shoonya_1sFQLL5D5N7RS2, 5713028]
[paragraph, [42.0, 567.0, 203.0, 18.0], shoonya_1sFQLL5D5N7RS2, 5713028]
[paragraph, [42.0, 585.0, 203.0, 18.0], shoonya_1sFQLL5D5N7RS2, 5713028]
[paragraph, [42.0, 603.0, 203.0, 18.0], shoonya_1sFQLL5D5N7RS2, 5713028]
[paragraph, [42.0, 621.0, 203.0, 18.0], shoonya_1sFQLL5D5N7RS2, 5713028]
[paragraph, [42.0, 639.0, 203.0, 18.0], shoonya_1sFQLL5D5N7RS2, 5713028]
[paragraph, [42.0, 657.0, 203.0, 18.0], shoonya_1sFQLL5D5N7RS2, 5713028]
[paragraph, [42.0, 675.0, 203.0, 18.0], shoonya_1sFQLL5D5N7RS2, 5713028]
[paragraph, [42.0, 693.0, 203.0, 18.0], shoonya_1sFQLL5D5N7RS2, 5713028]
[paragraph, [42.0, 711.0, 203.0, 18.0], shoonya_1sFQLL5D5N7RS2, 5713028]
[paragraph, [42.0, 729.0, 203.0, 18.0], shoonya_1sFQLL5D5N7RS2, 5713028]
[paragraph, [246.0, 526.0, 325.0, 18.0], G6TwyTRj6v, 5713028]
[paragraph, [246.0, 544.0, 325.0, 18.0], G6TwyTRj6v, 5713028]
[paragraph, [246.0, 562.0, 325.0, 18.0], G6TwyTRj6v, 5713028]
[paragraph, [246.0, 580.0, 325.0, 18.0], G6TwyTRj6v, 5713028]
[paragraph, [246.0, 598.0, 325.0, 18.0], G6TwyTRj6v, 5713028]
[paragraph, [246.0, 616.0, 325.0, 18.0], G6TwyTRj6v, 5713028]
[paragraph, [246.0, 634.0, 325.0, 18.0], G6TwyTRj6v, 5713028]
[paragraph, [246.0, 652.0, 325.0, 18.0], G6TwyTRj6v, 5713028]
[paragraph, [246.0, 670.0, 325.0, 18.0], G6TwyTRj6v, 5713028]
[paragraph, [246.0, 688.0, 325.0, 18.0], G6TwyTRj6v, 5713028]
[paragraph, [246.0, 706.0, 325.0, 18.0], G6TwyTRj6v, 5713028]
[paragraph, [246.0, 724.0, 325.0, 18.0], G6TwyTRj6v, 5713028]
