[911, 559]
[chapter-title, [171.0, 11.0, 242.0, 30.0], shoonya_0sRJQQV6NNDXHI, 5775733]
[paragraph, [30.0, 54.0, 523.0, 18.0], -P4Yq03jKp, 5775733]
[paragraph, [30.0, 72.0, 523.0, 18.0], -P4Yq03jKp, 5775733]
[paragraph, [30.0, 90.0, 523.0, 18.0], -P4Yq03jKp, 5775733]
[paragraph, [30.0, 108.0, 523.0, 18.0], -P4Yq03jKp, 5775733]
[paragraph, [30.0, 126.0, 523.0, 18.0], -P4Yq03jKp, 5775733]
[paragraph, [31.0, 153.0, 525.0, 18.0], WPj8RI-F9L, 5775733]
[paragraph, [31.0, 171.0, 525.0, 18.0], WPj8RI-F9L, 5775733]
[paragraph, [31.0, 189.0, 525.0, 18.0], WPj8RI-F9L, 5775733]
[paragraph, [31.0, 207.0, 525.0, 18.0], WPj8RI-F9L, 5775733]
[paragraph, [31.0, 225.0, 525.0, 18.0], WPj8RI-F9L, 5775733]
[paragraph, [31.0, 243.0, 525.0, 18.0], WPj8RI-F9L, 5775733]
[paragraph, [31.0, 261.0, 525.0, 18.0], WPj8RI-F9L, 5775733]
[paragraph, [31.0, 279.0, 525.0, 18.0], WPj8RI-F9L, 5775733]
[paragraph, [31.0, 297.0, 525.0, 18.0], WPj8RI-F9L, 5775733]
[paragraph, [31.0, 315.0, 525.0, 18.0], WPj8RI-F9L, 5775733]
[paragraph, [31.0, 333.0, 525.0, 18.0], WPj8RI-F9L, 5775733]
[paragraph, [34.0, 345.0, 521.0, 18.0], cvzD14dV84, 5775733]
[paragraph, [34.0, 363.0, 521.0, 18.0], cvzD14dV84, 5775733]
[paragraph, [34.0, 381.0, 521.0, 18.0], cvzD14dV84, 5775733]
[paragraph, [45.0, 403.0, 509.0, 18.0], s7EDbK_AVF, 5775733]
[paragraph, [45.0, 421.0, 509.0, 18.0], s7EDbK_AVF, 5775733]
[paragraph, [33.0, 445.0, 523.0, 18.0], 2wdcy7AfML, 5775733]
[paragraph, [33.0, 463.0, 523.0, 18.0], 2wdcy7AfML, 5775733]
[paragraph, [33.0, 481.0, 523.0, 18.0], 2wdcy7AfML, 5775733]
[paragraph, [24.0, 498.0, 533.0, 18.0], FL6xXKgju2, 5775733]
[paragraph, [24.0, 516.0, 533.0, 18.0], FL6xXKgju2, 5775733]
[paragraph, [24.0, 534.0, 533.0, 18.0], FL6xXKgju2, 5775733]
[paragraph, [24.0, 552.0, 533.0, 18.0], FL6xXKgju2, 5775733]
[paragraph, [24.0, 570.0, 533.0, 18.0], FL6xXKgju2, 5775733]
[paragraph, [24.0, 588.0, 533.0, 18.0], FL6xXKgju2, 5775733]
[paragraph, [24.0, 606.0, 533.0, 18.0], FL6xXKgju2, 5775733]
[paragraph, [23.0, 614.0, 535.0, 18.0], tsw-WIK4A3, 5775733]
[paragraph, [23.0, 632.0, 535.0, 18.0], tsw-WIK4A3, 5775733]
[paragraph, [23.0, 650.0, 535.0, 18.0], tsw-WIK4A3, 5775733]
[paragraph, [23.0, 668.0, 535.0, 18.0], tsw-WIK4A3, 5775733]
[paragraph, [23.0, 692.0, 536.0, 18.0], b85CqGKBVS, 5775733]
[paragraph, [23.0, 710.0, 536.0, 18.0], b85CqGKBVS, 5775733]
[paragraph, [21.0, 727.0, 536.0, 18.0], aea6UL23ye, 5775733]
[paragraph, [21.0, 745.0, 536.0, 18.0], aea6UL23ye, 5775733]
[paragraph, [21.0, 763.0, 536.0, 18.0], aea6UL23ye, 5775733]
[paragraph, [21.0, 781.0, 536.0, 18.0], aea6UL23ye, 5775733]
[paragraph, [21.0, 799.0, 536.0, 18.0], aea6UL23ye, 5775733]
[paragraph, [21.0, 817.0, 536.0, 18.0], aea6UL23ye, 5775733]
[paragraph, [21.0, 835.0, 536.0, 18.0], aea6UL23ye, 5775733]
[paragraph, [21.0, 853.0, 536.0, 18.0], aea6UL23ye, 5775733]
