[1755, 1241]
[folio, [668.0, 103.0, 345.0, 36.0], a_rAvRkMZG, 5760432]
[paragraph, [218.0, 166.0, 803.0, 36.0], shoonya_1sWDN7N07R4RX7, 5760432]
[paragraph, [218.0, 202.0, 803.0, 36.0], shoonya_1sWDN7N07R4RX7, 5760432]
[paragraph, [218.0, 238.0, 803.0, 36.0], shoonya_1sWDN7N07R4RX7, 5760432]
[paragraph, [218.0, 274.0, 803.0, 36.0], shoonya_1sWDN7N07R4RX7, 5760432]
[paragraph, [218.0, 310.0, 803.0, 36.0], shoonya_1sWDN7N07R4RX7, 5760432]
[paragraph, [218.0, 346.0, 803.0, 36.0], shoonya_1sWDN7N07R4RX7, 5760432]
[paragraph, [218.0, 382.0, 803.0, 36.0], shoonya_1sWDN7N07R4RX7, 5760432]
[paragraph, [218.0, 418.0, 803.0, 36.0], shoonya_1sWDN7N07R4RX7, 5760432]
[paragraph, [218.0, 454.0, 803.0, 36.0], shoonya_1sWDN7N07R4RX7, 5760432]
[paragraph, [218.0, 490.0, 803.0, 36.0], shoonya_1sWDN7N07R4RX7, 5760432]
[paragraph, [221.0, 541.0, 805.0, 36.0], WDZ4l7D8Uv, 5760432]
[paragraph, [221.0, 577.0, 805.0, 36.0], WDZ4l7D8Uv, 5760432]
[paragraph, [221.0, 613.0, 805.0, 36.0], WDZ4l7D8Uv, 5760432]
[paragraph, [221.0, 649.0, 805.0, 36.0], WDZ4l7D8Uv, 5760432]
[paragraph, [221.0, 685.0, 805.0, 36.0], WDZ4l7D8Uv, 5760432]
[paragraph, [221.0, 721.0, 805.0, 36.0], WDZ4l7D8Uv, 5760432]
[paragraph, [221.0, 757.0, 805.0, 36.0], WDZ4l7D8Uv, 5760432]
[paragraph, [221.0, 793.0, 805.0, 36.0], WDZ4l7D8Uv, 5760432]
[paragraph, [221.0, 829.0, 805.0, 36.0], WDZ4l7D8Uv, 5760432]
[paragraph, [221.0, 865.0, 805.0, 36.0], WDZ4l7D8Uv, 5760432]
[paragraph, [224.0, 915.0, 801.0, 36.0], aeN8_7gRBm, 5760432]
[paragraph, [224.0, 951.0, 801.0, 36.0], aeN8_7gRBm, 5760432]
[paragraph, [224.0, 987.0, 801.0, 36.0], aeN8_7gRBm, 5760432]
[paragraph, [224.0, 1023.0, 801.0, 36.0], aeN8_7gRBm, 5760432]
[paragraph, [224.0, 1059.0, 801.0, 36.0], aeN8_7gRBm, 5760432]
[paragraph, [301.0, 1161.0, 608.0, 36.0], shoonya_0s58278D90452S, 5760432]
[paragraph, [301.0, 1197.0, 608.0, 36.0], shoonya_0s58278D90452S, 5760432]
[paragraph, [301.0, 1233.0, 608.0, 36.0], shoonya_0s58278D90452S, 5760432]
[paragraph, [301.0, 1269.0, 608.0, 36.0], shoonya_0s58278D90452S, 5760432]
[paragraph, [301.0, 1305.0, 608.0, 36.0], shoonya_0s58278D90452S, 5760432]
[paragraph, [301.0, 1341.0, 608.0, 36.0], shoonya_0s58278D90452S, 5760432]
[paragraph, [301.0, 1377.0, 608.0, 36.0], shoonya_0s58278D90452S, 5760432]
[paragraph, [301.0, 1413.0, 608.0, 36.0], shoonya_0s58278D90452S, 5760432]
[paragraph, [301.0, 1449.0, 608.0, 36.0], shoonya_0s58278D90452S, 5760432]
[paragraph, [301.0, 1485.0, 608.0, 36.0], shoonya_0s58278D90452S, 5760432]
[paragraph, [301.0, 1521.0, 608.0, 36.0], shoonya_0s58278D90452S, 5760432]
[paragraph, [301.0, 1557.0, 608.0, 36.0], shoonya_0s58278D90452S, 5760432]
