[864, 612]
[section-title, [107.0, 60.0, 396.0, 30.0], shoonya_0s5TWOWE5XD5YM, 5717373]
[folio, [95.0, 97.0, 422.0, 18.0], XOzEVSf83Z, 5717373]
[subsub-section-title, [88.0, 157.0, 58.0, 15.0], lnwflXZKOT, 5717373]
[ordered-list, [65.0, 181.0, 463.0, 18.0], EAurd-Ieed, 5717373]
[ordered-list, [65.0, 199.0, 463.0, 18.0], EAurd-Ieed, 5717373]
[ordered-list, [65.0, 217.0, 463.0, 18.0], EAurd-Ieed, 5717373]
[ordered-list, [65.0, 235.0, 463.0, 18.0], EAurd-Ieed, 5717373]
[ordered-list, [65.0, 253.0, 463.0, 18.0], EAurd-Ieed, 5717373]
[ordered-list, [65.0, 271.0, 463.0, 18.0], EAurd-Ieed, 5717373]
[ordered-list, [65.0, 289.0, 463.0, 18.0], EAurd-Ieed, 5717373]
[ordered-list, [65.0, 307.0, 463.0, 18.0], EAurd-Ieed, 5717373]
[ordered-list, [65.0, 325.0, 463.0, 18.0], EAurd-Ieed, 5717373]
[ordered-list, [65.0, 343.0, 463.0, 18.0], EAurd-Ieed, 5717373]
[ordered-list, [65.0, 361.0, 463.0, 18.0], EAurd-Ieed, 5717373]
[ordered-list, [65.0, 379.0, 463.0, 18.0], EAurd-Ieed, 5717373]
[ordered-list, [65.0, 397.0, 463.0, 18.0], EAurd-Ieed, 5717373]
[ordered-list, [65.0, 415.0, 463.0, 18.0], EAurd-Ieed, 5717373]
[ordered-list, [65.0, 433.0, 463.0, 18.0], EAurd-Ieed, 5717373]
[ordered-list, [65.0, 451.0, 463.0, 18.0], EAurd-Ieed, 5717373]
[ordered-list, [65.0, 469.0, 463.0, 18.0], EAurd-Ieed, 5717373]
[ordered-list, [65.0, 487.0, 463.0, 18.0], EAurd-Ieed, 5717373]
[ordered-list, [65.0, 505.0, 463.0, 18.0], EAurd-Ieed, 5717373]
[ordered-list, [65.0, 523.0, 463.0, 18.0], EAurd-Ieed, 5717373]
[ordered-list, [65.0, 541.0, 463.0, 18.0], EAurd-Ieed, 5717373]
[ordered-list, [65.0, 559.0, 463.0, 18.0], EAurd-Ieed, 5717373]
[ordered-list, [65.0, 577.0, 463.0, 18.0], EAurd-Ieed, 5717373]
[ordered-list, [65.0, 595.0, 463.0, 18.0], EAurd-Ieed, 5717373]
