[792, 612]
[headline, [220.0, 97.0, 173.0, 25.5], Mxm35MAak3, 6515642]
[paragraph, [53.0, 155.0, 171.0, 18.0], c9Yw_6mQO5, 6515642]
[paragraph, [53.0, 173.0, 171.0, 18.0], c9Yw_6mQO5, 6515642]
[paragraph, [53.0, 191.0, 171.0, 18.0], c9Yw_6mQO5, 6515642]
[paragraph, [53.0, 209.0, 171.0, 18.0], c9Yw_6mQO5, 6515642]
[paragraph, [53.0, 227.0, 171.0, 18.0], c9Yw_6mQO5, 6515642]
[paragraph, [53.0, 245.0, 171.0, 18.0], c9Yw_6mQO5, 6515642]
[paragraph, [391.0, 161.0, 160.0, 18.0], HHoiPXa0_2, 6515642]
[paragraph, [391.0, 179.0, 160.0, 18.0], HHoiPXa0_2, 6515642]
[paragraph, [227.0, 177.0, 158.0, 18.0], UCOkqU--nY, 6515642]
[paragraph, [227.0, 195.0, 158.0, 18.0], UCOkqU--nY, 6515642]
[paragraph, [390.0, 215.0, 162.0, 18.0], LjKNdXlCk2, 6515642]
[paragraph, [390.0, 233.0, 162.0, 18.0], LjKNdXlCk2, 6515642]
[paragraph, [390.0, 251.0, 162.0, 18.0], LjKNdXlCk2, 6515642]
[paragraph, [228.0, 217.0, 160.0, 18.0], EDXYvY83Ob, 6515642]
[paragraph, [228.0, 235.0, 160.0, 18.0], EDXYvY83Ob, 6515642]
[paragraph, [228.0, 253.0, 160.0, 18.0], EDXYvY83Ob, 6515642]
[paragraph, [228.0, 271.0, 160.0, 18.0], EDXYvY83Ob, 6515642]
[paragraph, [228.0, 289.0, 160.0, 18.0], EDXYvY83Ob, 6515642]
[paragraph, [55.0, 270.0, 169.0, 18.0], aE1AcRQNAs, 6515642]
[paragraph, [55.0, 288.0, 169.0, 18.0], aE1AcRQNAs, 6515642]
[paragraph, [55.0, 306.0, 169.0, 18.0], aE1AcRQNAs, 6515642]
[paragraph, [409.0, 282.0, 76.0, 18.0], 9R0Gx9tbw_, 6515642]
[paragraph, [409.0, 300.0, 76.0, 18.0], 9R0Gx9tbw_, 6515642]
[paragraph, [409.0, 318.0, 76.0, 18.0], 9R0Gx9tbw_, 6515642]
[paragraph, [226.0, 310.0, 160.0, 18.0], lA71dkECul, 6515642]
[paragraph, [226.0, 328.0, 160.0, 18.0], lA71dkECul, 6515642]
[paragraph, [226.0, 346.0, 160.0, 18.0], lA71dkECul, 6515642]
[paragraph, [226.0, 364.0, 160.0, 18.0], lA71dkECul, 6515642]
[paragraph, [226.0, 382.0, 160.0, 18.0], lA71dkECul, 6515642]
[paragraph, [226.0, 400.0, 160.0, 18.0], lA71dkECul, 6515642]
[paragraph, [226.0, 418.0, 160.0, 18.0], lA71dkECul, 6515642]
[paragraph, [59.0, 335.0, 163.0, 18.0], iwEGHmXJmO, 6515642]
[paragraph, [391.0, 348.0, 162.0, 18.0], jDtGt11Fo4, 6515642]
[paragraph, [391.0, 366.0, 162.0, 18.0], jDtGt11Fo4, 6515642]
[ordered-list, [56.0, 362.0, 166.0, 18.0], ikjjSqLJl8, 6515642]
[ordered-list, [56.0, 380.0, 166.0, 18.0], ikjjSqLJl8, 6515642]
[ordered-list, [56.0, 398.0, 166.0, 18.0], ikjjSqLJl8, 6515642]
[ordered-list, [56.0, 416.0, 166.0, 18.0], ikjjSqLJl8, 6515642]
[paragraph, [390.0, 400.0, 159.0, 18.0], flY42P8OBp, 6515642]
[paragraph, [390.0, 418.0, 159.0, 18.0], flY42P8OBp, 6515642]
[paragraph, [224.0, 442.0, 163.0, 18.0], AEBHu59EhI, 6515642]
[paragraph, [224.0, 460.0, 163.0, 18.0], AEBHu59EhI, 6515642]
[paragraph, [224.0, 478.0, 163.0, 18.0], AEBHu59EhI, 6515642]
[paragraph, [224.0, 496.0, 163.0, 18.0], AEBHu59EhI, 6515642]
[paragraph, [224.0, 514.0, 163.0, 18.0], AEBHu59EhI, 6515642]
[paragraph, [224.0, 532.0, 163.0, 18.0], AEBHu59EhI, 6515642]
[paragraph, [390.0, 443.0, 159.0, 18.0], viTXWjqsK4, 6515642]
[paragraph, [390.0, 461.0, 159.0, 18.0], viTXWjqsK4, 6515642]
[paragraph, [61.0, 453.0, 160.0, 18.0], 4zIT4okZkT, 6515642]
[paragraph, [61.0, 471.0, 160.0, 18.0], 4zIT4okZkT, 6515642]
[paragraph, [61.0, 489.0, 160.0, 18.0], 4zIT4okZkT, 6515642]
[paragraph, [389.0, 480.0, 160.0, 18.0], nyBwWelc5F, 6515642]
[paragraph, [389.0, 498.0, 160.0, 18.0], nyBwWelc5F, 6515642]
[paragraph, [62.0, 520.0, 160.0, 18.0], wFMtS_Rjbp, 6515642]
[paragraph, [62.0, 538.0, 160.0, 18.0], wFMtS_Rjbp, 6515642]
[paragraph, [391.0, 533.0, 159.0, 18.0], 2d7fKYb8vv, 6515642]
[paragraph, [391.0, 551.0, 159.0, 18.0], 2d7fKYb8vv, 6515642]
[paragraph, [225.0, 560.0, 160.0, 18.0], DT-K0o-riR, 6515642]
[paragraph, [225.0, 578.0, 160.0, 18.0], DT-K0o-riR, 6515642]
[paragraph, [225.0, 596.0, 160.0, 18.0], DT-K0o-riR, 6515642]
[paragraph, [225.0, 614.0, 160.0, 18.0], DT-K0o-riR, 6515642]
[paragraph, [225.0, 632.0, 160.0, 18.0], DT-K0o-riR, 6515642]
[paragraph, [225.0, 650.0, 160.0, 18.0], DT-K0o-riR, 6515642]
[paragraph, [225.0, 668.0, 160.0, 18.0], DT-K0o-riR, 6515642]
[paragraph, [225.0, 686.0, 160.0, 18.0], DT-K0o-riR, 6515642]
[ordered-list, [60.0, 571.0, 162.0, 18.0], WCfWf7sIb3, 6515642]
[ordered-list, [60.0, 589.0, 162.0, 18.0], WCfWf7sIb3, 6515642]
[ordered-list, [60.0, 607.0, 162.0, 18.0], WCfWf7sIb3, 6515642]
