[842, 595]
[paragraph, [96.0, 113.0, 396.0, 18.0], shoonya_0s6IXIPAN0M9U7, 6459390]
[paragraph, [96.0, 131.0, 396.0, 18.0], shoonya_0s6IXIPAN0M9U7, 6459390]
[paragraph, [96.0, 149.0, 396.0, 18.0], shoonya_0s6IXIPAN0M9U7, 6459390]
[paragraph, [93.0, 167.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 185.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 203.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 221.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 239.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 257.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 275.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 293.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 311.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 329.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 347.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 365.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 383.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 401.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 419.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 437.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 455.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 473.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 491.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 509.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 527.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 545.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 563.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 581.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 599.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 617.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 635.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 653.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 671.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 689.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 707.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 725.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[paragraph, [93.0, 743.0, 395.0, 18.0], shoonya_1sNJHWDHSBY2CE, 6459390]
[folio, [479.0, 799.0, 101.0, 18.0], Rw0aojw-Pz, 6459390]
[folio, [479.0, 817.0, 101.0, 18.0], Rw0aojw-Pz, 6459390]
