[2175, 1429]
[folio, [155.0, 139.0, 176.0, 36.0], Px2fcBWrFJ, 5655251]
[paragraph, [156.0, 250.0, 1168.0, 36.0], shoonya_2sL0UKE8SCSABE, 5655251]
[paragraph, [156.0, 286.0, 1168.0, 36.0], shoonya_2sL0UKE8SCSABE, 5655251]
[paragraph, [156.0, 322.0, 1168.0, 36.0], shoonya_2sL0UKE8SCSABE, 5655251]
[paragraph, [156.0, 358.0, 1168.0, 36.0], shoonya_2sL0UKE8SCSABE, 5655251]
[paragraph, [156.0, 394.0, 1168.0, 36.0], shoonya_2sL0UKE8SCSABE, 5655251]
[paragraph, [156.0, 430.0, 1168.0, 36.0], shoonya_2sL0UKE8SCSABE, 5655251]
[paragraph, [156.0, 466.0, 1168.0, 36.0], shoonya_2sL0UKE8SCSABE, 5655251]
[paragraph, [142.0, 681.0, 1204.0, 36.0], IrI3ypCH7o, 5655251]
[paragraph, [142.0, 717.0, 1204.0, 36.0], IrI3ypCH7o, 5655251]
[paragraph, [142.0, 753.0, 1204.0, 36.0], IrI3ypCH7o, 5655251]
[paragraph, [230.0, 838.0, 569.0, 36.0], N3ZiWZaLt-, 5655251]
[paragraph, [230.0, 874.0, 569.0, 36.0], N3ZiWZaLt-, 5655251]
[paragraph, [230.0, 910.0, 569.0, 36.0], N3ZiWZaLt-, 5655251]
[paragraph, [162.0, 992.0, 1162.0, 36.0], shoonya_8sR6LGUNYC4GN9, 5655251]
[paragraph, [162.0, 1028.0, 1162.0, 36.0], shoonya_8sR6LGUNYC4GN9, 5655251]
[paragraph, [162.0, 1064.0, 1162.0, 36.0], shoonya_8sR6LGUNYC4GN9, 5655251]
[paragraph, [243.0, 1259.0, 936.0, 36.0], shoonya_7s89FQGWOPNNEN, 5655251]
[paragraph, [243.0, 1295.0, 936.0, 36.0], shoonya_7s89FQGWOPNNEN, 5655251]
[paragraph, [243.0, 1331.0, 936.0, 36.0], shoonya_7s89FQGWOPNNEN, 5655251]
[paragraph, [243.0, 1367.0, 936.0, 36.0], shoonya_7s89FQGWOPNNEN, 5655251]
[paragraph, [162.0, 1463.0, 1164.0, 36.0], shoonya_1sIXWKR7YNMMUJ, 5655251]
[paragraph, [162.0, 1499.0, 1164.0, 36.0], shoonya_1sIXWKR7YNMMUJ, 5655251]
[paragraph, [162.0, 1535.0, 1164.0, 36.0], shoonya_1sIXWKR7YNMMUJ, 5655251]
[paragraph, [162.0, 1571.0, 1164.0, 36.0], shoonya_1sIXWKR7YNMMUJ, 5655251]
[paragraph, [162.0, 1607.0, 1164.0, 36.0], shoonya_1sIXWKR7YNMMUJ, 5655251]
[paragraph, [162.0, 1643.0, 1164.0, 36.0], shoonya_1sIXWKR7YNMMUJ, 5655251]
[paragraph, [162.0, 1679.0, 1164.0, 36.0], shoonya_1sIXWKR7YNMMUJ, 5655251]
[paragraph, [167.0, 1794.0, 1156.0, 36.0], shoonya_6sM6G38FR6OUIQ, 5655251]
[paragraph, [167.0, 1830.0, 1156.0, 36.0], shoonya_6sM6G38FR6OUIQ, 5655251]
[paragraph, [167.0, 1866.0, 1156.0, 36.0], shoonya_6sM6G38FR6OUIQ, 5655251]
[reference, [159.0, 1969.0, 415.0, 36.0], shoonya_0sV69G7C9DJL7E, 5655251]
[reference, [159.0, 2005.0, 415.0, 36.0], shoonya_0sV69G7C9DJL7E, 5655251]
