[3509, 2480]
[paragraph, [337.0, 396.0, 1847.0, 52.5], be-zzYX8wX, 5724110]
[paragraph, [337.0, 448.5, 1847.0, 52.5], be-zzYX8wX, 5724110]
[paragraph, [337.0, 501.0, 1847.0, 52.5], be-zzYX8wX, 5724110]
[paragraph, [337.0, 553.5, 1847.0, 52.5], be-zzYX8wX, 5724110]
[paragraph, [337.0, 606.0, 1847.0, 52.5], be-zzYX8wX, 5724110]
[paragraph, [337.0, 658.5, 1847.0, 52.5], be-zzYX8wX, 5724110]
[paragraph, [337.0, 711.0, 1847.0, 52.5], be-zzYX8wX, 5724110]
[paragraph, [337.0, 763.5, 1847.0, 52.5], be-zzYX8wX, 5724110]
[paragraph, [337.0, 816.0, 1847.0, 52.5], be-zzYX8wX, 5724110]
[paragraph, [337.0, 868.5, 1847.0, 52.5], be-zzYX8wX, 5724110]
[paragraph, [337.0, 921.0, 1847.0, 52.5], be-zzYX8wX, 5724110]
[paragraph, [337.0, 973.5, 1847.0, 52.5], be-zzYX8wX, 5724110]
[paragraph, [337.0, 1026.0, 1847.0, 52.5], be-zzYX8wX, 5724110]
[paragraph, [337.0, 1078.5, 1847.0, 52.5], be-zzYX8wX, 5724110]
[paragraph, [337.0, 1131.0, 1847.0, 52.5], be-zzYX8wX, 5724110]
[paragraph, [337.0, 1183.5, 1847.0, 52.5], be-zzYX8wX, 5724110]
[paragraph, [337.0, 1236.0, 1847.0, 52.5], be-zzYX8wX, 5724110]
[paragraph, [337.0, 1288.5, 1847.0, 52.5], be-zzYX8wX, 5724110]
[paragraph, [337.0, 1341.0, 1847.0, 52.5], be-zzYX8wX, 5724110]
[paragraph, [337.0, 1393.5, 1847.0, 52.5], be-zzYX8wX, 5724110]
[paragraph, [337.0, 1446.0, 1847.0, 52.5], be-zzYX8wX, 5724110]
[paragraph, [337.0, 1498.5, 1847.0, 52.5], be-zzYX8wX, 5724110]
[paragraph, [337.0, 1551.0, 1847.0, 52.5], be-zzYX8wX, 5724110]
[paragraph, [337.0, 1603.5, 1847.0, 52.5], be-zzYX8wX, 5724110]
[paragraph, [337.0, 1656.0, 1847.0, 52.5], be-zzYX8wX, 5724110]
[paragraph, [337.0, 1708.5, 1847.0, 52.5], be-zzYX8wX, 5724110]
[paragraph, [337.0, 1761.0, 1847.0, 52.5], be-zzYX8wX, 5724110]
[section-title, [376.0, 1880.0, 878.0, 93.0], shoonya_0sHTQRL80FOJJD, 5724110]
[paragraph, [340.0, 2016.0, 1811.0, 52.5], XY4TkXd-OC, 5724110]
[paragraph, [340.0, 2068.5, 1811.0, 52.5], XY4TkXd-OC, 5724110]
[paragraph, [340.0, 2121.0, 1811.0, 52.5], XY4TkXd-OC, 5724110]
[paragraph, [340.0, 2173.5, 1811.0, 52.5], XY4TkXd-OC, 5724110]
[paragraph, [340.0, 2226.0, 1811.0, 52.5], XY4TkXd-OC, 5724110]
[paragraph, [340.0, 2278.5, 1811.0, 52.5], XY4TkXd-OC, 5724110]
[paragraph, [340.0, 2331.0, 1811.0, 52.5], XY4TkXd-OC, 5724110]
[paragraph, [340.0, 2383.5, 1811.0, 52.5], XY4TkXd-OC, 5724110]
[paragraph, [340.0, 2436.0, 1811.0, 52.5], XY4TkXd-OC, 5724110]
[paragraph, [340.0, 2488.5, 1811.0, 52.5], XY4TkXd-OC, 5724110]
[paragraph, [340.0, 2541.0, 1811.0, 52.5], XY4TkXd-OC, 5724110]
[paragraph, [340.0, 2593.5, 1811.0, 52.5], XY4TkXd-OC, 5724110]
[paragraph, [340.0, 2646.0, 1811.0, 52.5], XY4TkXd-OC, 5724110]
[paragraph, [340.0, 2698.5, 1811.0, 52.5], XY4TkXd-OC, 5724110]
[paragraph, [340.0, 2751.0, 1811.0, 52.5], XY4TkXd-OC, 5724110]
[paragraph, [340.0, 2803.5, 1811.0, 52.5], XY4TkXd-OC, 5724110]
[paragraph, [340.0, 2856.0, 1811.0, 52.5], XY4TkXd-OC, 5724110]
[paragraph, [340.0, 2908.5, 1811.0, 52.5], XY4TkXd-OC, 5724110]
[paragraph, [340.0, 2961.0, 1811.0, 52.5], XY4TkXd-OC, 5724110]
[paragraph, [340.0, 3013.5, 1811.0, 52.5], XY4TkXd-OC, 5724110]
