[1787, 1218]
[chapter-title, [301.0, 252.0, 592.0, 58.5], 4GvlAN8mSy, 5651620]
[author, [895.0, 358.0, 210.0, 36.0], 3YXRIDSwvS, 5651620]
[paragraph, [89.0, 431.0, 1035.0, 36.0], shoonya_1s5FA4615A2WP6, 5651620]
[paragraph, [89.0, 467.0, 1035.0, 36.0], shoonya_1s5FA4615A2WP6, 5651620]
[paragraph, [89.0, 503.0, 1035.0, 36.0], shoonya_1s5FA4615A2WP6, 5651620]
[paragraph, [89.0, 539.0, 1035.0, 36.0], shoonya_1s5FA4615A2WP6, 5651620]
[paragraph, [89.0, 575.0, 1035.0, 36.0], shoonya_1s5FA4615A2WP6, 5651620]
[paragraph, [89.0, 611.0, 1035.0, 36.0], shoonya_1s5FA4615A2WP6, 5651620]
[paragraph, [89.0, 647.0, 1035.0, 36.0], shoonya_1s5FA4615A2WP6, 5651620]
[paragraph, [89.0, 683.0, 1035.0, 36.0], shoonya_1s5FA4615A2WP6, 5651620]
[paragraph, [89.0, 719.0, 1035.0, 36.0], shoonya_1s5FA4615A2WP6, 5651620]
[paragraph, [89.0, 755.0, 1035.0, 36.0], shoonya_1s5FA4615A2WP6, 5651620]
[paragraph, [89.0, 791.0, 1035.0, 36.0], shoonya_1s5FA4615A2WP6, 5651620]
[paragraph, [89.0, 827.0, 1035.0, 36.0], shoonya_1s5FA4615A2WP6, 5651620]
[paragraph, [89.0, 863.0, 1035.0, 36.0], shoonya_1s5FA4615A2WP6, 5651620]
[paragraph, [89.0, 899.0, 1035.0, 36.0], shoonya_1s5FA4615A2WP6, 5651620]
[paragraph, [105.0, 936.0, 1004.0, 36.0], XqVALfPrSl, 5651620]
[paragraph, [105.0, 972.0, 1004.0, 36.0], XqVALfPrSl, 5651620]
[paragraph, [105.0, 1008.0, 1004.0, 36.0], XqVALfPrSl, 5651620]
[paragraph, [105.0, 1044.0, 1004.0, 36.0], XqVALfPrSl, 5651620]
[paragraph, [105.0, 1080.0, 1004.0, 36.0], XqVALfPrSl, 5651620]
[paragraph, [98.0, 1139.0, 1035.0, 36.0], shoonya_0sS8IWR45YHKZM, 5651620]
[paragraph, [98.0, 1175.0, 1035.0, 36.0], shoonya_0sS8IWR45YHKZM, 5651620]
[paragraph, [98.0, 1211.0, 1035.0, 36.0], shoonya_0sS8IWR45YHKZM, 5651620]
[paragraph, [98.0, 1247.0, 1035.0, 36.0], shoonya_0sS8IWR45YHKZM, 5651620]
[paragraph, [98.0, 1283.0, 1035.0, 36.0], shoonya_0sS8IWR45YHKZM, 5651620]
[paragraph, [98.0, 1319.0, 1035.0, 36.0], shoonya_0sS8IWR45YHKZM, 5651620]
[paragraph, [98.0, 1355.0, 1035.0, 36.0], shoonya_0sS8IWR45YHKZM, 5651620]
[paragraph, [98.0, 1391.0, 1035.0, 36.0], shoonya_0sS8IWR45YHKZM, 5651620]
[paragraph, [98.0, 1427.0, 1035.0, 36.0], shoonya_0sS8IWR45YHKZM, 5651620]
[paragraph, [98.0, 1463.0, 1035.0, 36.0], shoonya_0sS8IWR45YHKZM, 5651620]
[paragraph, [98.0, 1499.0, 1035.0, 36.0], shoonya_0sS8IWR45YHKZM, 5651620]
[paragraph, [98.0, 1535.0, 1035.0, 36.0], shoonya_0sS8IWR45YHKZM, 5651620]
[footnote, [458.0, 1628.0, 234.0, 36.0], SOeuIiXp23, 5651620]
