[950, 553]
[paragraph, [21.0, 72.0, 508.0, 18.0], shoonya_5sLSTU5V7FKCQT, 5776308]
[paragraph, [21.0, 90.0, 508.0, 18.0], shoonya_5sLSTU5V7FKCQT, 5776308]
[paragraph, [21.0, 108.0, 508.0, 18.0], shoonya_5sLSTU5V7FKCQT, 5776308]
[paragraph, [16.0, 108.0, 514.0, 18.0], qlYhuQeNOL, 5776308]
[paragraph, [16.0, 126.0, 514.0, 18.0], qlYhuQeNOL, 5776308]
[paragraph, [16.0, 144.0, 514.0, 18.0], qlYhuQeNOL, 5776308]
[paragraph, [16.0, 162.0, 514.0, 18.0], qlYhuQeNOL, 5776308]
[paragraph, [16.0, 180.0, 514.0, 18.0], qlYhuQeNOL, 5776308]
[paragraph, [37.0, 203.0, 292.0, 18.0], shoonya_7s13A6B0IFS3YE, 5776308]
[paragraph, [24.0, 211.0, 506.0, 18.0], shoonya_6sR19UVM3UTPTG, 5776308]
[paragraph, [24.0, 229.0, 506.0, 18.0], shoonya_6sR19UVM3UTPTG, 5776308]
[paragraph, [27.0, 248.0, 506.0, 18.0], shoonya_2s86ZHNTJ9UFCN, 5776308]
[paragraph, [27.0, 266.0, 506.0, 18.0], shoonya_2s86ZHNTJ9UFCN, 5776308]
[paragraph, [27.0, 284.0, 506.0, 18.0], shoonya_2s86ZHNTJ9UFCN, 5776308]
[paragraph, [27.0, 302.0, 506.0, 18.0], shoonya_2s86ZHNTJ9UFCN, 5776308]
[paragraph, [27.0, 320.0, 506.0, 18.0], shoonya_2s86ZHNTJ9UFCN, 5776308]
[paragraph, [27.0, 338.0, 506.0, 18.0], shoonya_2s86ZHNTJ9UFCN, 5776308]
[paragraph, [27.0, 356.0, 506.0, 18.0], shoonya_2s86ZHNTJ9UFCN, 5776308]
[paragraph, [27.0, 374.0, 506.0, 18.0], shoonya_2s86ZHNTJ9UFCN, 5776308]
[paragraph, [29.0, 386.0, 504.0, 18.0], shoonya_0sRHNYXUYKKJE7, 5776308]
[paragraph, [29.0, 404.0, 504.0, 18.0], shoonya_0sRHNYXUYKKJE7, 5776308]
[paragraph, [29.0, 422.0, 504.0, 18.0], shoonya_0sRHNYXUYKKJE7, 5776308]
[paragraph, [29.0, 440.0, 504.0, 18.0], shoonya_0sRHNYXUYKKJE7, 5776308]
[paragraph, [29.0, 458.0, 504.0, 18.0], shoonya_0sRHNYXUYKKJE7, 5776308]
[paragraph, [32.0, 477.0, 503.0, 18.0], shoonya_3sBFSR9Q5ABH0Z, 5776308]
[paragraph, [32.0, 495.0, 503.0, 18.0], shoonya_3sBFSR9Q5ABH0Z, 5776308]
[paragraph, [32.0, 513.0, 503.0, 18.0], shoonya_3sBFSR9Q5ABH0Z, 5776308]
[paragraph, [32.0, 531.0, 503.0, 18.0], shoonya_3sBFSR9Q5ABH0Z, 5776308]
[paragraph, [32.0, 549.0, 503.0, 18.0], shoonya_3sBFSR9Q5ABH0Z, 5776308]
[paragraph, [35.0, 556.0, 507.0, 18.0], shoonya_1sYL5JNZC7SLID, 5776308]
[paragraph, [35.0, 574.0, 507.0, 18.0], shoonya_1sYL5JNZC7SLID, 5776308]
[paragraph, [35.0, 592.0, 507.0, 18.0], shoonya_1sYL5JNZC7SLID, 5776308]
[paragraph, [35.0, 610.0, 507.0, 18.0], shoonya_1sYL5JNZC7SLID, 5776308]
[paragraph, [35.0, 628.0, 507.0, 18.0], shoonya_1sYL5JNZC7SLID, 5776308]
[paragraph, [35.0, 646.0, 507.0, 18.0], shoonya_1sYL5JNZC7SLID, 5776308]
[paragraph, [35.0, 664.0, 507.0, 18.0], shoonya_1sYL5JNZC7SLID, 5776308]
[paragraph, [35.0, 682.0, 507.0, 18.0], shoonya_1sYL5JNZC7SLID, 5776308]
[paragraph, [35.0, 700.0, 507.0, 18.0], shoonya_1sYL5JNZC7SLID, 5776308]
[paragraph, [35.0, 718.0, 507.0, 18.0], shoonya_1sYL5JNZC7SLID, 5776308]
[paragraph, [35.0, 736.0, 507.0, 18.0], shoonya_1sYL5JNZC7SLID, 5776308]
[paragraph, [35.0, 754.0, 507.0, 18.0], shoonya_1sYL5JNZC7SLID, 5776308]
[paragraph, [35.0, 772.0, 507.0, 18.0], shoonya_1sYL5JNZC7SLID, 5776308]
[paragraph, [35.0, 790.0, 507.0, 18.0], shoonya_1sYL5JNZC7SLID, 5776308]
[paragraph, [35.0, 808.0, 507.0, 18.0], shoonya_1sYL5JNZC7SLID, 5776308]
[paragraph, [35.0, 826.0, 507.0, 18.0], shoonya_1sYL5JNZC7SLID, 5776308]
[paragraph, [35.0, 844.0, 507.0, 18.0], shoonya_1sYL5JNZC7SLID, 5776308]
[paragraph, [35.0, 862.0, 507.0, 18.0], shoonya_1sYL5JNZC7SLID, 5776308]
[paragraph, [57.0, 873.0, 487.0, 18.0], shoonya_8sB5V7CCJZZWIC, 5776308]
