[1447, 1063]
[folio, [429.0, 46.0, 204.0, 18.0], -OxV0nv2Pj, 5762648]
[folio, [429.0, 64.0, 204.0, 18.0], -OxV0nv2Pj, 5762648]
[paragraph, [88.0, 101.0, 436.0, 18.0], shoonya_5sRHQ3JE55H34V, 5762648]
[paragraph, [88.0, 119.0, 436.0, 18.0], shoonya_5sRHQ3JE55H34V, 5762648]
[paragraph, [88.0, 137.0, 436.0, 18.0], shoonya_5sRHQ3JE55H34V, 5762648]
[paragraph, [88.0, 155.0, 436.0, 18.0], shoonya_5sRHQ3JE55H34V, 5762648]
[paragraph, [88.0, 173.0, 436.0, 18.0], shoonya_5sRHQ3JE55H34V, 5762648]
[paragraph, [88.0, 191.0, 436.0, 18.0], shoonya_5sRHQ3JE55H34V, 5762648]
[paragraph, [88.0, 209.0, 436.0, 18.0], shoonya_5sRHQ3JE55H34V, 5762648]
[paragraph, [535.0, 102.0, 433.0, 18.0], shoonya_3sRN1S2PTW9TWH, 5762648]
[paragraph, [535.0, 120.0, 433.0, 18.0], shoonya_3sRN1S2PTW9TWH, 5762648]
[paragraph, [535.0, 138.0, 433.0, 18.0], shoonya_3sRN1S2PTW9TWH, 5762648]
[paragraph, [535.0, 156.0, 433.0, 18.0], shoonya_3sRN1S2PTW9TWH, 5762648]
[paragraph, [535.0, 174.0, 433.0, 18.0], shoonya_3sRN1S2PTW9TWH, 5762648]
[paragraph, [535.0, 192.0, 433.0, 18.0], shoonya_3sRN1S2PTW9TWH, 5762648]
[paragraph, [535.0, 210.0, 433.0, 18.0], shoonya_3sRN1S2PTW9TWH, 5762648]
[paragraph, [534.0, 240.0, 436.0, 18.0], shoonya_4sPHDGDV8RUHA3, 5762648]
[paragraph, [534.0, 258.0, 436.0, 18.0], shoonya_4sPHDGDV8RUHA3, 5762648]
[paragraph, [534.0, 276.0, 436.0, 18.0], shoonya_4sPHDGDV8RUHA3, 5762648]
[paragraph, [534.0, 294.0, 436.0, 18.0], shoonya_4sPHDGDV8RUHA3, 5762648]
[paragraph, [534.0, 312.0, 436.0, 18.0], shoonya_4sPHDGDV8RUHA3, 5762648]
[paragraph, [534.0, 330.0, 436.0, 18.0], shoonya_4sPHDGDV8RUHA3, 5762648]
[paragraph, [534.0, 348.0, 436.0, 18.0], shoonya_4sPHDGDV8RUHA3, 5762648]
[paragraph, [534.0, 366.0, 436.0, 18.0], shoonya_4sPHDGDV8RUHA3, 5762648]
[paragraph, [534.0, 384.0, 436.0, 18.0], shoonya_4sPHDGDV8RUHA3, 5762648]
[paragraph, [534.0, 402.0, 436.0, 18.0], shoonya_4sPHDGDV8RUHA3, 5762648]
[paragraph, [534.0, 420.0, 436.0, 18.0], shoonya_4sPHDGDV8RUHA3, 5762648]
[paragraph, [534.0, 438.0, 436.0, 18.0], shoonya_4sPHDGDV8RUHA3, 5762648]
[paragraph, [534.0, 456.0, 436.0, 18.0], shoonya_4sPHDGDV8RUHA3, 5762648]
[paragraph, [534.0, 474.0, 436.0, 18.0], shoonya_4sPHDGDV8RUHA3, 5762648]
[paragraph, [534.0, 492.0, 436.0, 18.0], shoonya_4sPHDGDV8RUHA3, 5762648]
[paragraph, [534.0, 510.0, 436.0, 18.0], shoonya_4sPHDGDV8RUHA3, 5762648]
[paragraph, [534.0, 528.0, 436.0, 18.0], shoonya_4sPHDGDV8RUHA3, 5762648]
[paragraph, [534.0, 546.0, 436.0, 18.0], shoonya_4sPHDGDV8RUHA3, 5762648]
[paragraph, [534.0, 564.0, 436.0, 18.0], shoonya_4sPHDGDV8RUHA3, 5762648]
[paragraph, [534.0, 582.0, 436.0, 18.0], shoonya_4sPHDGDV8RUHA3, 5762648]
[paragraph, [534.0, 600.0, 436.0, 18.0], shoonya_4sPHDGDV8RUHA3, 5762648]
[paragraph, [534.0, 618.0, 436.0, 18.0], shoonya_4sPHDGDV8RUHA3, 5762648]
[paragraph, [534.0, 636.0, 436.0, 18.0], shoonya_4sPHDGDV8RUHA3, 5762648]
