[2200, 1700]
[answer, [326.0, 127.0, 1088.0, 36.0], GXUOI2QQLt, 5730872]
[answer, [326.0, 163.0, 1088.0, 36.0], GXUOI2QQLt, 5730872]
[answer, [326.0, 199.0, 1088.0, 36.0], GXUOI2QQLt, 5730872]
[answer, [326.0, 235.0, 1088.0, 36.0], GXUOI2QQLt, 5730872]
[answer, [326.0, 403.0, 1105.0, 36.0], W0eisd4hQ1, 5730872]
[answer, [326.0, 439.0, 1105.0, 36.0], W0eisd4hQ1, 5730872]
[answer, [326.0, 475.0, 1105.0, 36.0], W0eisd4hQ1, 5730872]
[answer, [326.0, 511.0, 1105.0, 36.0], W0eisd4hQ1, 5730872]
[answer, [326.0, 547.0, 1105.0, 36.0], W0eisd4hQ1, 5730872]
[answer, [326.0, 583.0, 1105.0, 36.0], W0eisd4hQ1, 5730872]
[answer, [326.0, 619.0, 1105.0, 36.0], W0eisd4hQ1, 5730872]
[answer, [326.0, 655.0, 1105.0, 36.0], W0eisd4hQ1, 5730872]
[answer, [331.0, 838.0, 1112.0, 36.0], 0CMbw_IH7m, 5730872]
[answer, [331.0, 874.0, 1112.0, 36.0], 0CMbw_IH7m, 5730872]
[answer, [331.0, 910.0, 1112.0, 36.0], 0CMbw_IH7m, 5730872]
[answer, [331.0, 946.0, 1112.0, 36.0], 0CMbw_IH7m, 5730872]
[answer, [331.0, 982.0, 1112.0, 36.0], 0CMbw_IH7m, 5730872]
[answer, [331.0, 1018.0, 1112.0, 36.0], 0CMbw_IH7m, 5730872]
[answer, [331.0, 1054.0, 1112.0, 36.0], 0CMbw_IH7m, 5730872]
[answer, [331.0, 1090.0, 1112.0, 36.0], 0CMbw_IH7m, 5730872]
[answer, [331.0, 1126.0, 1112.0, 36.0], 0CMbw_IH7m, 5730872]
[answer, [331.0, 1162.0, 1112.0, 36.0], 0CMbw_IH7m, 5730872]
[answer, [331.0, 1198.0, 1112.0, 36.0], 0CMbw_IH7m, 5730872]
[answer, [331.0, 1234.0, 1112.0, 36.0], 0CMbw_IH7m, 5730872]
[answer, [331.0, 1270.0, 1112.0, 36.0], 0CMbw_IH7m, 5730872]
[answer, [333.0, 1378.0, 1114.0, 36.0], pbmRfIVe7M, 5730872]
[answer, [333.0, 1414.0, 1114.0, 36.0], pbmRfIVe7M, 5730872]
[answer, [333.0, 1450.0, 1114.0, 36.0], pbmRfIVe7M, 5730872]
[answer, [333.0, 1486.0, 1114.0, 36.0], pbmRfIVe7M, 5730872]
[answer, [333.0, 1522.0, 1114.0, 36.0], pbmRfIVe7M, 5730872]
[answer, [333.0, 1558.0, 1114.0, 36.0], pbmRfIVe7M, 5730872]
[answer, [333.0, 1594.0, 1114.0, 36.0], pbmRfIVe7M, 5730872]
[answer, [333.0, 1630.0, 1114.0, 36.0], pbmRfIVe7M, 5730872]
[answer, [337.0, 1762.0, 1103.0, 36.0], FzeM22Vb0k, 5730872]
[answer, [337.0, 1798.0, 1103.0, 36.0], FzeM22Vb0k, 5730872]
[answer, [337.0, 1834.0, 1103.0, 36.0], FzeM22Vb0k, 5730872]
[answer, [337.0, 1870.0, 1103.0, 36.0], FzeM22Vb0k, 5730872]
[folio, [978.0, 2027.0, 362.0, 36.0], QXFB8n2skz, 5730872]
