[1754, 1241]
[paragraph, [189.0, 114.0, 941.0, 36.0], shoonya_0sOIJG5BBJ44OJ, 5714169]
[paragraph, [189.0, 150.0, 941.0, 36.0], shoonya_0sOIJG5BBJ44OJ, 5714169]
[paragraph, [189.0, 186.0, 941.0, 36.0], shoonya_0sOIJG5BBJ44OJ, 5714169]
[paragraph, [186.0, 253.0, 949.0, 36.0], shoonya_1s4Z4P4A4OUP91, 5714169]
[paragraph, [186.0, 289.0, 949.0, 36.0], shoonya_1s4Z4P4A4OUP91, 5714169]
[paragraph, [186.0, 325.0, 949.0, 36.0], shoonya_1s4Z4P4A4OUP91, 5714169]
[paragraph, [186.0, 361.0, 949.0, 36.0], shoonya_1s4Z4P4A4OUP91, 5714169]
[paragraph, [186.0, 397.0, 949.0, 36.0], shoonya_1s4Z4P4A4OUP91, 5714169]
[paragraph, [186.0, 433.0, 949.0, 36.0], shoonya_1s4Z4P4A4OUP91, 5714169]
[paragraph, [186.0, 469.0, 949.0, 36.0], shoonya_1s4Z4P4A4OUP91, 5714169]
[paragraph, [186.0, 505.0, 949.0, 36.0], shoonya_1s4Z4P4A4OUP91, 5714169]
[paragraph, [186.0, 541.0, 949.0, 36.0], shoonya_1s4Z4P4A4OUP91, 5714169]
[paragraph, [186.0, 577.0, 949.0, 36.0], shoonya_1s4Z4P4A4OUP91, 5714169]
[paragraph, [186.0, 613.0, 949.0, 36.0], shoonya_1s4Z4P4A4OUP91, 5714169]
[paragraph, [186.0, 649.0, 949.0, 36.0], shoonya_1s4Z4P4A4OUP91, 5714169]
[paragraph, [186.0, 685.0, 949.0, 36.0], shoonya_1s4Z4P4A4OUP91, 5714169]
[paragraph, [186.0, 721.0, 949.0, 36.0], shoonya_1s4Z4P4A4OUP91, 5714169]
[paragraph, [184.0, 774.0, 946.0, 36.0], shoonya_2sLO06RZ2VY8I0, 5714169]
[paragraph, [184.0, 810.0, 946.0, 36.0], shoonya_2sLO06RZ2VY8I0, 5714169]
[paragraph, [184.0, 846.0, 946.0, 36.0], shoonya_2sLO06RZ2VY8I0, 5714169]
[paragraph, [184.0, 882.0, 946.0, 36.0], shoonya_2sLO06RZ2VY8I0, 5714169]
[paragraph, [184.0, 918.0, 946.0, 36.0], shoonya_2sLO06RZ2VY8I0, 5714169]
[paragraph, [184.0, 954.0, 946.0, 36.0], shoonya_2sLO06RZ2VY8I0, 5714169]
[paragraph, [184.0, 990.0, 946.0, 36.0], shoonya_2sLO06RZ2VY8I0, 5714169]
[paragraph, [184.0, 1026.0, 946.0, 36.0], shoonya_2sLO06RZ2VY8I0, 5714169]
[paragraph, [184.0, 1062.0, 946.0, 36.0], shoonya_2sLO06RZ2VY8I0, 5714169]
[paragraph, [184.0, 1098.0, 946.0, 36.0], shoonya_2sLO06RZ2VY8I0, 5714169]
[paragraph, [184.0, 1134.0, 946.0, 36.0], shoonya_2sLO06RZ2VY8I0, 5714169]
[paragraph, [184.0, 1170.0, 946.0, 36.0], shoonya_2sLO06RZ2VY8I0, 5714169]
[paragraph, [184.0, 1206.0, 946.0, 36.0], shoonya_2sLO06RZ2VY8I0, 5714169]
[paragraph, [184.0, 1242.0, 946.0, 36.0], shoonya_2sLO06RZ2VY8I0, 5714169]
[paragraph, [184.0, 1278.0, 946.0, 36.0], shoonya_2sLO06RZ2VY8I0, 5714169]
[paragraph, [184.0, 1314.0, 946.0, 36.0], shoonya_2sLO06RZ2VY8I0, 5714169]
[paragraph, [184.0, 1350.0, 946.0, 36.0], shoonya_2sLO06RZ2VY8I0, 5714169]
[paragraph, [184.0, 1386.0, 946.0, 36.0], shoonya_2sLO06RZ2VY8I0, 5714169]
[paragraph, [184.0, 1422.0, 946.0, 36.0], shoonya_2sLO06RZ2VY8I0, 5714169]
[paragraph, [184.0, 1458.0, 946.0, 36.0], shoonya_2sLO06RZ2VY8I0, 5714169]
[paragraph, [184.0, 1494.0, 946.0, 36.0], shoonya_2sLO06RZ2VY8I0, 5714169]
