[590, 389]
[section-title, [133.0, 120.0, 134.0, 30.0], shoonya_4s50A7NQC40HVS, 6495172]
[paragraph, [54.0, 165.0, 291.0, 18.0], shoonya_0sGGV8E0D8VZQ5, 6495172]
[paragraph, [54.0, 183.0, 291.0, 18.0], shoonya_0sGGV8E0D8VZQ5, 6495172]
[paragraph, [54.0, 201.0, 291.0, 18.0], shoonya_0sGGV8E0D8VZQ5, 6495172]
[paragraph, [54.0, 219.0, 291.0, 18.0], shoonya_0sGGV8E0D8VZQ5, 6495172]
[paragraph, [53.0, 251.0, 293.0, 18.0], shoonya_1s72HTRFKDSFJE, 6495172]
[paragraph, [53.0, 269.0, 293.0, 18.0], shoonya_1s72HTRFKDSFJE, 6495172]
[paragraph, [53.0, 287.0, 293.0, 18.0], shoonya_1s72HTRFKDSFJE, 6495172]
[paragraph, [53.0, 305.0, 293.0, 18.0], shoonya_1s72HTRFKDSFJE, 6495172]
[paragraph, [53.0, 323.0, 293.0, 18.0], shoonya_1s72HTRFKDSFJE, 6495172]
[paragraph, [53.0, 341.0, 293.0, 18.0], shoonya_1s72HTRFKDSFJE, 6495172]
[paragraph, [53.0, 359.0, 293.0, 18.0], shoonya_1s72HTRFKDSFJE, 6495172]
[author, [256.0, 418.0, 97.0, 18.0], shoonya_2sWY5H9WA4FNJW, 6495172]
