[1132, 807]
[paragraph, [106.0, 63.0, 627.0, 18.0], shoonya_2sU88YXOVG5W55, 5776067]
[paragraph, [106.0, 81.0, 627.0, 18.0], shoonya_2sU88YXOVG5W55, 5776067]
[paragraph, [106.0, 99.0, 627.0, 18.0], shoonya_2sU88YXOVG5W55, 5776067]
[paragraph, [106.0, 117.0, 627.0, 18.0], shoonya_2sU88YXOVG5W55, 5776067]
[paragraph, [106.0, 135.0, 627.0, 18.0], shoonya_2sU88YXOVG5W55, 5776067]
[paragraph, [106.0, 153.0, 627.0, 18.0], shoonya_2sU88YXOVG5W55, 5776067]
[paragraph, [106.0, 171.0, 627.0, 18.0], shoonya_2sU88YXOVG5W55, 5776067]
[paragraph, [106.0, 189.0, 627.0, 18.0], shoonya_2sU88YXOVG5W55, 5776067]
[paragraph, [106.0, 207.0, 627.0, 18.0], shoonya_2sU88YXOVG5W55, 5776067]
[paragraph, [106.0, 225.0, 627.0, 18.0], shoonya_2sU88YXOVG5W55, 5776067]
[paragraph, [106.0, 243.0, 627.0, 18.0], shoonya_2sU88YXOVG5W55, 5776067]
[paragraph, [106.0, 261.0, 627.0, 18.0], shoonya_2sU88YXOVG5W55, 5776067]
[paragraph, [108.0, 293.0, 624.0, 18.0], shoonya_0sLGEIHCG90S05, 5776067]
[paragraph, [108.0, 311.0, 624.0, 18.0], shoonya_0sLGEIHCG90S05, 5776067]
[paragraph, [108.0, 329.0, 624.0, 18.0], shoonya_0sLGEIHCG90S05, 5776067]
[paragraph, [108.0, 347.0, 624.0, 18.0], shoonya_0sLGEIHCG90S05, 5776067]
[paragraph, [108.0, 365.0, 624.0, 18.0], shoonya_0sLGEIHCG90S05, 5776067]
[paragraph, [108.0, 383.0, 624.0, 18.0], shoonya_0sLGEIHCG90S05, 5776067]
[paragraph, [108.0, 401.0, 624.0, 18.0], shoonya_0sLGEIHCG90S05, 5776067]
[paragraph, [108.0, 419.0, 624.0, 18.0], shoonya_0sLGEIHCG90S05, 5776067]
[paragraph, [108.0, 437.0, 624.0, 18.0], shoonya_0sLGEIHCG90S05, 5776067]
[paragraph, [108.0, 455.0, 624.0, 18.0], shoonya_0sLGEIHCG90S05, 5776067]
[paragraph, [108.0, 473.0, 624.0, 18.0], shoonya_0sLGEIHCG90S05, 5776067]
[paragraph, [108.0, 491.0, 624.0, 18.0], shoonya_0sLGEIHCG90S05, 5776067]
[paragraph, [108.0, 519.0, 626.0, 18.0], shoonya_4sO3MJMON7PL02, 5776067]
[paragraph, [108.0, 537.0, 626.0, 18.0], shoonya_4sO3MJMON7PL02, 5776067]
[paragraph, [108.0, 555.0, 626.0, 18.0], shoonya_4sO3MJMON7PL02, 5776067]
[paragraph, [108.0, 573.0, 626.0, 18.0], shoonya_4sO3MJMON7PL02, 5776067]
[paragraph, [107.0, 595.0, 623.0, 18.0], shoonya_1sLBL1C0RMJWKX, 5776067]
[paragraph, [107.0, 613.0, 623.0, 18.0], shoonya_1sLBL1C0RMJWKX, 5776067]
[paragraph, [107.0, 631.0, 623.0, 18.0], shoonya_1sLBL1C0RMJWKX, 5776067]
[paragraph, [107.0, 649.0, 623.0, 18.0], shoonya_1sLBL1C0RMJWKX, 5776067]
[paragraph, [107.0, 667.0, 623.0, 18.0], shoonya_1sLBL1C0RMJWKX, 5776067]
[paragraph, [107.0, 685.0, 623.0, 18.0], shoonya_1sLBL1C0RMJWKX, 5776067]
[paragraph, [107.0, 703.0, 623.0, 18.0], shoonya_1sLBL1C0RMJWKX, 5776067]
[paragraph, [107.0, 721.0, 623.0, 18.0], shoonya_1sLBL1C0RMJWKX, 5776067]
[paragraph, [107.0, 739.0, 623.0, 18.0], shoonya_1sLBL1C0RMJWKX, 5776067]
[paragraph, [107.0, 757.0, 623.0, 18.0], shoonya_1sLBL1C0RMJWKX, 5776067]
[paragraph, [107.0, 775.0, 623.0, 18.0], shoonya_1sLBL1C0RMJWKX, 5776067]
[paragraph, [107.0, 793.0, 623.0, 18.0], shoonya_1sLBL1C0RMJWKX, 5776067]
[paragraph, [107.0, 811.0, 623.0, 18.0], shoonya_1sLBL1C0RMJWKX, 5776067]
[paragraph, [107.0, 829.0, 623.0, 18.0], shoonya_1sLBL1C0RMJWKX, 5776067]
[paragraph, [107.0, 847.0, 623.0, 18.0], shoonya_1sLBL1C0RMJWKX, 5776067]
[paragraph, [107.0, 865.0, 623.0, 18.0], shoonya_1sLBL1C0RMJWKX, 5776067]
[paragraph, [107.0, 883.0, 623.0, 18.0], shoonya_1sLBL1C0RMJWKX, 5776067]
[paragraph, [107.0, 901.0, 623.0, 18.0], shoonya_1sLBL1C0RMJWKX, 5776067]
[paragraph, [107.0, 919.0, 623.0, 18.0], shoonya_1sLBL1C0RMJWKX, 5776067]
[paragraph, [107.0, 937.0, 623.0, 18.0], shoonya_1sLBL1C0RMJWKX, 5776067]
[paragraph, [108.0, 972.0, 628.0, 18.0], shoonya_3sOXFHLY7GO3LW, 5776067]
[paragraph, [108.0, 990.0, 628.0, 18.0], shoonya_3sOXFHLY7GO3LW, 5776067]
[paragraph, [108.0, 1008.0, 628.0, 18.0], shoonya_3sOXFHLY7GO3LW, 5776067]
[paragraph, [108.0, 1026.0, 628.0, 18.0], shoonya_3sOXFHLY7GO3LW, 5776067]
[paragraph, [108.0, 1044.0, 628.0, 18.0], shoonya_3sOXFHLY7GO3LW, 5776067]
