[1601, 1128]
[section-title, [74.0, 52.0, 399.0, 49.5], 3etXeE50qN, 6472181]
[headline, [76.0, 132.0, 622.0, 37.5], Avk9O3S2m7, 6472181]
[headline, [76.0, 169.5, 622.0, 37.5], Avk9O3S2m7, 6472181]
[author, [750.0, 152.0, 226.0, 36.0], 0jBr0sdhLc, 6472181]
[quote, [81.0, 275.0, 480.0, 36.0], Ox7s5fUtCY, 6472181]
[sidebar, [584.0, 277.0, 243.0, 36.0], 7cxZ1IErBf, 6472181]
[sidebar, [584.0, 313.0, 243.0, 36.0], 7cxZ1IErBf, 6472181]
[sidebar, [584.0, 349.0, 243.0, 36.0], 7cxZ1IErBf, 6472181]
[sidebar, [584.0, 385.0, 243.0, 36.0], 7cxZ1IErBf, 6472181]
[sidebar, [584.0, 421.0, 243.0, 36.0], 7cxZ1IErBf, 6472181]
[sidebar, [584.0, 457.0, 243.0, 36.0], 7cxZ1IErBf, 6472181]
[sidebar, [584.0, 493.0, 243.0, 36.0], 7cxZ1IErBf, 6472181]
[sidebar, [584.0, 529.0, 243.0, 36.0], 7cxZ1IErBf, 6472181]
[sidebar, [584.0, 565.0, 243.0, 36.0], 7cxZ1IErBf, 6472181]
[paragraph, [78.0, 367.0, 485.0, 36.0], shoonya_0sNVV2XCO6BOLW, 6472181]
[paragraph, [78.0, 403.0, 485.0, 36.0], shoonya_0sNVV2XCO6BOLW, 6472181]
[paragraph, [78.0, 439.0, 485.0, 36.0], shoonya_0sNVV2XCO6BOLW, 6472181]
[paragraph, [78.0, 475.0, 485.0, 36.0], shoonya_0sNVV2XCO6BOLW, 6472181]
[paragraph, [78.0, 511.0, 485.0, 36.0], shoonya_0sNVV2XCO6BOLW, 6472181]
[paragraph, [78.0, 547.0, 485.0, 36.0], shoonya_0sNVV2XCO6BOLW, 6472181]
[paragraph, [78.0, 583.0, 485.0, 36.0], shoonya_0sNVV2XCO6BOLW, 6472181]
[paragraph, [76.0, 623.0, 487.0, 36.0], hiFEWRHTDv, 6472181]
[paragraph, [76.0, 659.0, 487.0, 36.0], hiFEWRHTDv, 6472181]
[paragraph, [76.0, 695.0, 487.0, 36.0], hiFEWRHTDv, 6472181]
[paragraph, [76.0, 731.0, 487.0, 36.0], hiFEWRHTDv, 6472181]
[paragraph, [76.0, 767.0, 487.0, 36.0], hiFEWRHTDv, 6472181]
[paragraph, [76.0, 803.0, 487.0, 36.0], hiFEWRHTDv, 6472181]
[paragraph, [76.0, 839.0, 487.0, 36.0], hiFEWRHTDv, 6472181]
[paragraph, [76.0, 875.0, 487.0, 36.0], hiFEWRHTDv, 6472181]
[paragraph, [583.0, 661.0, 480.0, 36.0], wAxPFpJ3aj, 6472181]
[paragraph, [583.0, 697.0, 480.0, 36.0], wAxPFpJ3aj, 6472181]
[paragraph, [583.0, 733.0, 480.0, 36.0], wAxPFpJ3aj, 6472181]
[paragraph, [581.0, 798.0, 484.0, 36.0], 8qPwm1_Qry, 6472181]
[paragraph, [583.0, 868.0, 483.0, 36.0], EA4A8s_17P, 6472181]
[paragraph, [583.0, 904.0, 483.0, 36.0], EA4A8s_17P, 6472181]
[paragraph, [583.0, 940.0, 483.0, 36.0], EA4A8s_17P, 6472181]
[paragraph, [583.0, 976.0, 483.0, 36.0], EA4A8s_17P, 6472181]
[paragraph, [583.0, 1012.0, 483.0, 36.0], EA4A8s_17P, 6472181]
[paragraph, [583.0, 1048.0, 483.0, 36.0], EA4A8s_17P, 6472181]
[paragraph, [583.0, 1084.0, 483.0, 36.0], EA4A8s_17P, 6472181]
[paragraph, [583.0, 1120.0, 483.0, 36.0], EA4A8s_17P, 6472181]
[paragraph, [77.0, 947.0, 483.0, 36.0], 44K9mAI1Uj, 6472181]
[paragraph, [77.0, 983.0, 483.0, 36.0], 44K9mAI1Uj, 6472181]
[paragraph, [77.0, 1019.0, 483.0, 36.0], 44K9mAI1Uj, 6472181]
[paragraph, [77.0, 1055.0, 483.0, 36.0], 44K9mAI1Uj, 6472181]
[paragraph, [77.0, 1091.0, 483.0, 36.0], 44K9mAI1Uj, 6472181]
[paragraph, [77.0, 1127.0, 483.0, 36.0], 44K9mAI1Uj, 6472181]
[paragraph, [77.0, 1163.0, 483.0, 36.0], 44K9mAI1Uj, 6472181]
[paragraph, [77.0, 1199.0, 483.0, 36.0], 44K9mAI1Uj, 6472181]
[paragraph, [584.0, 1170.0, 487.0, 36.0], OhCBS57ILP, 6472181]
[paragraph, [588.0, 1217.0, 473.0, 36.0], vwYwB0KBh8, 6472181]
[paragraph, [588.0, 1253.0, 473.0, 36.0], vwYwB0KBh8, 6472181]
[paragraph, [588.0, 1289.0, 473.0, 36.0], vwYwB0KBh8, 6472181]
[paragraph, [588.0, 1325.0, 473.0, 36.0], vwYwB0KBh8, 6472181]
[paragraph, [588.0, 1361.0, 473.0, 36.0], vwYwB0KBh8, 6472181]
[paragraph, [588.0, 1397.0, 473.0, 36.0], vwYwB0KBh8, 6472181]
[paragraph, [588.0, 1433.0, 473.0, 36.0], vwYwB0KBh8, 6472181]
[paragraph, [77.0, 1244.0, 485.0, 36.0], UyfKJxsPlB, 6472181]
[paragraph, [77.0, 1280.0, 485.0, 36.0], UyfKJxsPlB, 6472181]
[paragraph, [77.0, 1316.0, 485.0, 36.0], UyfKJxsPlB, 6472181]
[paragraph, [77.0, 1352.0, 485.0, 36.0], UyfKJxsPlB, 6472181]
[paragraph, [77.0, 1388.0, 485.0, 36.0], UyfKJxsPlB, 6472181]
[paragraph, [77.0, 1424.0, 485.0, 36.0], UyfKJxsPlB, 6472181]
