[1958, 1371]
[headline, [353.0, 187.0, 704.0, 37.5], 9YQoTVdA1V, 5773774]
[headline, [353.0, 224.5, 704.0, 37.5], 9YQoTVdA1V, 5773774]
[headline, [353.0, 262.0, 704.0, 37.5], 9YQoTVdA1V, 5773774]
[headline, [353.0, 299.5, 704.0, 37.5], 9YQoTVdA1V, 5773774]
[headline, [353.0, 337.0, 704.0, 37.5], 9YQoTVdA1V, 5773774]
[headline, [353.0, 374.5, 704.0, 37.5], 9YQoTVdA1V, 5773774]
[headline, [353.0, 412.0, 704.0, 37.5], 9YQoTVdA1V, 5773774]
[paragraph, [151.0, 472.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 508.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 544.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 580.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 616.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 652.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 688.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 724.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 760.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 796.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 832.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 868.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 904.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 940.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 976.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 1012.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 1048.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 1084.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 1120.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 1156.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 1192.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 1228.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 1264.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 1300.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 1336.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 1372.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 1408.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 1444.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 1480.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 1516.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [151.0, 1552.0, 1130.0, 36.0], vzM85j3GNQ, 5773774]
[paragraph, [135.0, 1599.0, 1149.0, 36.0], kSCH-mUv4l, 5773774]
[paragraph, [135.0, 1635.0, 1149.0, 36.0], kSCH-mUv4l, 5773774]
[paragraph, [135.0, 1671.0, 1149.0, 36.0], kSCH-mUv4l, 5773774]
[paragraph, [135.0, 1707.0, 1149.0, 36.0], kSCH-mUv4l, 5773774]
[paragraph, [135.0, 1743.0, 1149.0, 36.0], kSCH-mUv4l, 5773774]
[paragraph, [135.0, 1779.0, 1149.0, 36.0], kSCH-mUv4l, 5773774]
[paragraph, [135.0, 1815.0, 1149.0, 36.0], kSCH-mUv4l, 5773774]
