[515, 727]
[paragraph, [424.0, 33.0, 275.0, 18.0], 2Zb2H04h-4, 6534167]
[paragraph, [424.0, 51.0, 275.0, 18.0], 2Zb2H04h-4, 6534167]
[paragraph, [130.0, 49.0, 270.0, 18.0], eXVnqWiV7b, 6534167]
[paragraph, [130.0, 67.0, 270.0, 18.0], eXVnqWiV7b, 6534167]
[paragraph, [130.0, 85.0, 270.0, 18.0], eXVnqWiV7b, 6534167]
[paragraph, [130.0, 103.0, 270.0, 18.0], eXVnqWiV7b, 6534167]
[paragraph, [130.0, 121.0, 270.0, 18.0], eXVnqWiV7b, 6534167]
[paragraph, [130.0, 139.0, 270.0, 18.0], eXVnqWiV7b, 6534167]
[paragraph, [130.0, 157.0, 270.0, 18.0], eXVnqWiV7b, 6534167]
[paragraph, [130.0, 175.0, 270.0, 18.0], eXVnqWiV7b, 6534167]
[paragraph, [130.0, 193.0, 270.0, 18.0], eXVnqWiV7b, 6534167]
[paragraph, [130.0, 211.0, 270.0, 18.0], eXVnqWiV7b, 6534167]
[paragraph, [130.0, 229.0, 270.0, 18.0], eXVnqWiV7b, 6534167]
[paragraph, [130.0, 247.0, 270.0, 18.0], eXVnqWiV7b, 6534167]
[paragraph, [417.0, 73.0, 277.0, 18.0], shoonya_0sEX6PXJHR7FCP, 6534167]
[paragraph, [417.0, 91.0, 277.0, 18.0], shoonya_0sEX6PXJHR7FCP, 6534167]
[paragraph, [417.0, 109.0, 277.0, 18.0], shoonya_0sEX6PXJHR7FCP, 6534167]
[paragraph, [417.0, 127.0, 277.0, 18.0], shoonya_0sEX6PXJHR7FCP, 6534167]
[paragraph, [417.0, 145.0, 277.0, 18.0], shoonya_0sEX6PXJHR7FCP, 6534167]
[paragraph, [417.0, 163.0, 277.0, 18.0], shoonya_0sEX6PXJHR7FCP, 6534167]
[paragraph, [417.0, 181.0, 277.0, 18.0], shoonya_0sEX6PXJHR7FCP, 6534167]
[paragraph, [417.0, 199.0, 277.0, 18.0], shoonya_0sEX6PXJHR7FCP, 6534167]
[paragraph, [417.0, 217.0, 277.0, 18.0], shoonya_0sEX6PXJHR7FCP, 6534167]
[paragraph, [419.0, 242.0, 278.0, 18.0], G0NsDSpGdy, 6534167]
[paragraph, [419.0, 260.0, 278.0, 18.0], G0NsDSpGdy, 6534167]
[paragraph, [419.0, 278.0, 278.0, 18.0], G0NsDSpGdy, 6534167]
[paragraph, [136.0, 275.0, 264.0, 18.0], wJRHo0vhU-, 6534167]
[paragraph, [136.0, 293.0, 264.0, 18.0], wJRHo0vhU-, 6534167]
[paragraph, [136.0, 311.0, 264.0, 18.0], wJRHo0vhU-, 6534167]
[paragraph, [136.0, 329.0, 264.0, 18.0], wJRHo0vhU-, 6534167]
[paragraph, [136.0, 347.0, 264.0, 18.0], wJRHo0vhU-, 6534167]
[paragraph, [136.0, 365.0, 264.0, 18.0], wJRHo0vhU-, 6534167]
[paragraph, [136.0, 383.0, 264.0, 18.0], wJRHo0vhU-, 6534167]
[paragraph, [136.0, 401.0, 264.0, 18.0], wJRHo0vhU-, 6534167]
[paragraph, [136.0, 419.0, 264.0, 18.0], wJRHo0vhU-, 6534167]
[paragraph, [424.0, 304.0, 266.0, 18.0], sbcrRUNZNE, 6534167]
[paragraph, [424.0, 322.0, 266.0, 18.0], sbcrRUNZNE, 6534167]
[paragraph, [424.0, 340.0, 266.0, 18.0], sbcrRUNZNE, 6534167]
[paragraph, [424.0, 358.0, 266.0, 18.0], sbcrRUNZNE, 6534167]
[paragraph, [424.0, 376.0, 266.0, 18.0], sbcrRUNZNE, 6534167]
[paragraph, [424.0, 394.0, 266.0, 18.0], sbcrRUNZNE, 6534167]
[folio, [430.0, 424.0, 78.0, 18.0], EMn4YmNLnI, 6534167]
[folio, [321.0, 437.0, 75.0, 18.0], lJFWdmS5l9, 6534167]
