[6000, 4167]
[folio, [1244.0, 630.0, 1760.0, 52.5], L0s78HcV5o, 5721451]
[folio, [1244.0, 682.5, 1760.0, 52.5], L0s78HcV5o, 5721451]
[folio, [1244.0, 735.0, 1760.0, 52.5], L0s78HcV5o, 5721451]
[paragraph, [572.0, 906.0, 2984.0, 52.5], CvTssUxDOi, 5721451]
[paragraph, [572.0, 958.5, 2984.0, 52.5], CvTssUxDOi, 5721451]
[paragraph, [572.0, 1011.0, 2984.0, 52.5], CvTssUxDOi, 5721451]
[paragraph, [572.0, 1063.5, 2984.0, 52.5], CvTssUxDOi, 5721451]
[paragraph, [572.0, 1116.0, 2984.0, 52.5], CvTssUxDOi, 5721451]
[paragraph, [572.0, 1168.5, 2984.0, 52.5], CvTssUxDOi, 5721451]
[paragraph, [572.0, 1221.0, 2984.0, 52.5], CvTssUxDOi, 5721451]
[paragraph, [572.0, 1273.5, 2984.0, 52.5], CvTssUxDOi, 5721451]
[paragraph, [572.0, 1326.0, 2984.0, 52.5], CvTssUxDOi, 5721451]
[paragraph, [572.0, 1378.5, 2984.0, 52.5], CvTssUxDOi, 5721451]
[paragraph, [572.0, 1431.0, 2984.0, 52.5], CvTssUxDOi, 5721451]
[paragraph, [572.0, 1483.5, 2984.0, 52.5], CvTssUxDOi, 5721451]
[paragraph, [572.0, 1536.0, 2984.0, 52.5], CvTssUxDOi, 5721451]
[paragraph, [572.0, 1588.5, 2984.0, 52.5], CvTssUxDOi, 5721451]
[paragraph, [572.0, 1641.0, 2984.0, 52.5], CvTssUxDOi, 5721451]
[paragraph, [572.0, 1693.5, 2984.0, 52.5], CvTssUxDOi, 5721451]
[paragraph, [572.0, 1746.0, 2984.0, 52.5], CvTssUxDOi, 5721451]
[paragraph, [572.0, 1798.5, 2984.0, 52.5], CvTssUxDOi, 5721451]
[paragraph, [572.0, 1851.0, 2984.0, 52.5], CvTssUxDOi, 5721451]
[paragraph, [572.0, 1903.5, 2984.0, 52.5], CvTssUxDOi, 5721451]
[paragraph, [572.0, 1956.0, 2984.0, 52.5], CvTssUxDOi, 5721451]
[paragraph, [572.0, 2008.5, 2984.0, 52.5], CvTssUxDOi, 5721451]
[paragraph, [572.0, 2061.0, 2984.0, 52.5], CvTssUxDOi, 5721451]
[paragraph, [572.0, 2113.5, 2984.0, 52.5], CvTssUxDOi, 5721451]
[paragraph, [572.0, 2166.0, 2984.0, 52.5], CvTssUxDOi, 5721451]
[paragraph, [572.0, 2218.5, 2984.0, 52.5], CvTssUxDOi, 5721451]
