[1240, 875]
[paragraph, [69.0, 43.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 61.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 79.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 97.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 115.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 133.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 151.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 169.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 187.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 205.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 223.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 241.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 259.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 277.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 295.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 313.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 331.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 349.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 367.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 385.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 403.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 421.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 439.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 457.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 475.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 493.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 511.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 529.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 547.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 565.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 583.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 601.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 619.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 637.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 655.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 673.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 691.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 709.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 727.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 745.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 763.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 781.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 799.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 817.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
[paragraph, [69.0, 835.0, 729.0, 18.0], SwyYUIt7BF, 5774124]
