[789, 571]
[folio, [256.0, 51.0, 68.0, 18.0], 41VDDKalt4, 5702375]
[paragraph, [56.0, 94.0, 465.0, 18.0], qbF8JOq7zC, 5702375]
[paragraph, [57.0, 121.0, 131.0, 18.0], ALREPzIpxS, 5702375]
[paragraph, [62.0, 147.0, 462.0, 18.0], E0m7ZfCEtT, 5702375]
[paragraph, [62.0, 165.0, 462.0, 18.0], E0m7ZfCEtT, 5702375]
[paragraph, [62.0, 183.0, 462.0, 18.0], E0m7ZfCEtT, 5702375]
[paragraph, [62.0, 212.0, 459.0, 18.0], shoonya_1sZ2ZC0XAZQX6G, 5702375]
[paragraph, [62.0, 230.0, 459.0, 18.0], shoonya_1sZ2ZC0XAZQX6G, 5702375]
[paragraph, [62.0, 248.0, 459.0, 18.0], shoonya_1sZ2ZC0XAZQX6G, 5702375]
[paragraph, [62.0, 266.0, 459.0, 18.0], shoonya_1sZ2ZC0XAZQX6G, 5702375]
[paragraph, [62.0, 284.0, 459.0, 18.0], shoonya_1sZ2ZC0XAZQX6G, 5702375]
[paragraph, [62.0, 302.0, 459.0, 18.0], shoonya_1sZ2ZC0XAZQX6G, 5702375]
[paragraph, [61.0, 349.0, 462.0, 18.0], shoonya_0sHG5N3WDE00LI, 5702375]
[paragraph, [61.0, 367.0, 462.0, 18.0], shoonya_0sHG5N3WDE00LI, 5702375]
[paragraph, [61.0, 385.0, 462.0, 18.0], shoonya_0sHG5N3WDE00LI, 5702375]
[paragraph, [61.0, 403.0, 462.0, 18.0], shoonya_0sHG5N3WDE00LI, 5702375]
[paragraph, [61.0, 421.0, 462.0, 18.0], shoonya_0sHG5N3WDE00LI, 5702375]
[paragraph, [61.0, 439.0, 462.0, 18.0], shoonya_0sHG5N3WDE00LI, 5702375]
[paragraph, [61.0, 466.0, 467.0, 18.0], CE1btsYHD2, 5702375]
[paragraph, [61.0, 484.0, 467.0, 18.0], CE1btsYHD2, 5702375]
[paragraph, [61.0, 513.0, 406.0, 18.0], MfdiwIaZsL, 5702375]
[paragraph, [61.0, 535.0, 463.0, 18.0], IvcR1N_Rnz, 5702375]
[paragraph, [61.0, 553.0, 463.0, 18.0], IvcR1N_Rnz, 5702375]
[paragraph, [61.0, 571.0, 463.0, 18.0], IvcR1N_Rnz, 5702375]
[paragraph, [60.0, 592.0, 462.0, 18.0], shoonya_5sWOL2VFEOP8NH, 5702375]
[paragraph, [60.0, 610.0, 462.0, 18.0], shoonya_5sWOL2VFEOP8NH, 5702375]
[paragraph, [60.0, 628.0, 462.0, 18.0], shoonya_5sWOL2VFEOP8NH, 5702375]
[paragraph, [60.0, 646.0, 462.0, 18.0], shoonya_5sWOL2VFEOP8NH, 5702375]
[paragraph, [60.0, 664.0, 462.0, 18.0], shoonya_5sWOL2VFEOP8NH, 5702375]
[paragraph, [60.0, 682.0, 462.0, 18.0], shoonya_5sWOL2VFEOP8NH, 5702375]
[paragraph, [60.0, 700.0, 462.0, 18.0], shoonya_5sWOL2VFEOP8NH, 5702375]
